,Median gross rent,Median INC adjusted to year,Per capita income adjusted to year,Total,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
"Saratoga County, New York: Summary level: 050, state:36> county:091",913,64250,33413,90230,4441,3072,2862,2776,4022,3465,4142,4295,3646,8534,10162,13588,9560,6096,5406,4163
"Schenectady County, New York: Summary level: 050, state:36> county:093",823,52505,27153,57691,3899,3226,3588,3202,2167,3364,3125,2427,2511,4819,6606,7686,5032,2080,2317,1642
"Steuben County, New York: Summary level: 050, state:36> county:101",605,43457,23238,41843,3323,2691,2532,2381,3671,2458,2301,2172,2164,4041,3981,4517,2977,1051,899,684
"Suffolk County, New York: Summary level: 050, state:36> county:103",1445,84106,35049,500776,15208,13937,14021,18466,13596,17072,15599,15872,14069,33790,50092,72253,65656,42515,53775,44855
"Sullivan County, New York: Summary level: 050, state:36> county:105",800,47978,23751,27431,2186,1494,1949,1646,1150,1323,1691,1555,1265,2016,3701,2955,1696,970,1148,686
"Tompkins County, New York: Summary level: 050, state:36> county:109",931,51586,26435,39145,5260,1959,2352,1662,1394,1646,1850,1804,1013,2786,4167,4187,3408,1936,2346,1375
"Ulster County, New York: Summary level: 050, state:36> county:111",981,55006,27797,69127,4891,3165,4695,4160,2960,3213,2899,2700,3417,5211,6726,9475,5787,3638,3269,2921
"Warren County, New York: Summary level: 050, state:36> county:113",783,53110,27902,27884,2384,1966,1452,1644,1005,1462,1223,1162,909,2959,2969,3531,2076,1282,1001,859
"Wayne County, New York: Summary level: 050, state:36> county:117",660,52597,26010,36428,1777,2101,2186,2409,1692,1987,1888,1553,1388,3553,3160,6951,2652,1181,1598,352
"Westchester County, New York: Summary level: 050, state:36> county:119",1278,77006,45450,343481,16951,13261,14380,14935,12859,12340,13286,12357,8653,21114,27291,38111,30276,21522,30603,55542
