,Median gross rent,Median INC adjusted to year,Per capita income adjusted to year,Total,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
"Albany County, New York: Summary level: 050, state:36> county:001",876,57062,30154,122551,7613,6467,6695,4540,5704,3842,6474,5703,4810,11686,13403,16121,12122,6842,6457,4072
"Bronx County, New York: Summary level: 050, state:36> county:005",1012,32058,16879,467138,77527,44849,38899,33774,26767,25760,21869,20443,18098,32461,35636,39354,25797,10359,10020,5525
"Broome County, New York: Summary level: 050, state:36> county:007",674,44158,23667,79727,7884,5321,5508,5718,3614,4686,3850,3889,2852,7945,7749,7277,6222,2905,3153,1154
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",635,38932,20950,31938,2623,3164,2554,2639,1806,1933,1612,1910,1334,2643,2948,3917,1386,376,608,485
"Cayuga County, New York: Summary level: 050, state:36> county:011",598,49256,24139,31533,1638,1868,2145,2478,1482,1869,996,1742,1727,3090,3360,4051,2728,899,935,525
"Chautauqua County, New York: Summary level: 050, state:36> county:013",610,40927,20693,56033,5232,4248,3915,3928,3814,3424,2478,4175,3310,5008,5769,5446,2768,920,1171,427
"Chemung County, New York: Summary level: 050, state:36> county:015",686,50120,26467,35644,3484,1921,1907,2173,2187,1599,1386,1438,1668,3227,3598,4111,2824,1650,1317,1154
"Clinton County, New York: Summary level: 050, state:36> county:019",737,50872,24050,32323,2352,2246,1559,1832,1776,2341,1234,800,1731,2686,4555,4135,2580,1306,666,524
"Dutchess County, New York: Summary level: 050, state:36> county:027",1090,67727,31667,107263,5384,4585,4740,5314,3994,4119,4824,4110,2914,7603,11633,14050,11597,7760,8132,6504
"Erie County, New York: Summary level: 050, state:36> county:029",695,47533,26817,379687,34409,24089,24341,22509,21112,21229,17519,16025,17170,31855,35390,43953,30411,15784,12916,10975
"Jefferson County, New York: Summary level: 050, state:36> county:045",939,45500,21908,46322,3137,3414,2533,4126,3555,1492,2195,2358,2883,4656,5748,5829,1581,1259,1086,470
"Kings County, New York: Summary level: 050, state:36> county:047",1113,42752,23577,901062,114781,66978,56840,54190,45243,46682,39417,41042,33237,61841,83770,92570,57292,36813,36083,34283
"Livingston County, New York: Summary level: 050, state:36> county:051",703,50513,22218,24342,1872,1203,1164,1265,1824,1547,1369,791,982,2178,2828,4000,1893,668,613,145
"Madison County, New York: Summary level: 050, state:36> county:053",669,50173,24653,26805,1541,1064,1802,1548,1408,1597,1172,1722,1481,2423,2954,3839,1791,1136,675,652
"Monroe County, New York: Summary level: 050, state:36> county:055",780,50204,27165,296558,26934,16271,16497,16691,15688,16064,13739,14253,11579,23576,27692,40466,21402,13793,11284,10629
"Nassau County, New York: Summary level: 050, state:36> county:059",1447,91414,40351,442039,15839,11421,14032,13203,12294,14194,13306,11934,12318,24848,37245,60328,50714,38624,49105,62634
"New York County, New York: Summary level: 050, state:36> county:061",1403,66299,59398,728520,75192,39312,34083,31151,26727,26501,23784,24516,17541,38773,55939,68209,54418,34615,56994,120765
"Niagara County, New York: Summary level: 050, state:36> county:063",622,45398,24856,87848,7311,4723,6050,5187,5467,5477,5322,4023,3714,7198,9590,10771,5862,3239,2295,1619
"Oneida County, New York: Summary level: 050, state:36> county:065",669,46736,24872,91133,7891,5975,5754,5169,5125,4897,4585,4688,3917,7749,9169,10772,6537,3644,3149,2112
"Onondaga County, New York: Summary level: 050, state:36> county:067",758,53946,27216,181113,15109,10097,10358,10289,8815,8082,7649,8094,6149,13782,19918,23430,16340,9142,8045,5814
"Ontario County, New York: Summary level: 050, state:36> county:069",737,52162,28536,45029,1551,1848,2248,1970,3059,1460,3253,3733,1794,4438,5293,5173,3711,2363,1619,1516
"Orange County, New York: Summary level: 050, state:36> county:071",1127,66224,29089,125643,8199,6380,5385,4757,4922,4128,4973,5385,3830,8612,13969,16231,13349,8623,10096,6804
"Oswego County, New York: Summary level: 050, state:36> county:075",712,43372,21161,44297,4008,2130,2250,3440,3092,3157,2041,2677,1991,4179,4643,5282,2362,1303,839,903
"Putnam County, New York: Summary level: 050, state:36> county:079",1155,90735,39611,35352,892,744,1260,1205,1547,1285,616,879,1249,2183,3119,3971,4401,3399,4288,4314
"Queens County, New York: Summary level: 050, state:36> county:081",1276,53572,25088,764825,58576,41020,40810,44266,36568,37988,32972,36461,28629,60226,77969,94684,66947,38772,40046,28891
"Rensselaer County, New York: Summary level: 050, state:36> county:083",815,58943,28615,62712,4505,2477,2501,3302,3055,2493,2605,3677,2385,4733,7241,8659,6800,3653,3145,1481
"Richmond County, New York: Summary level: 050, state:36> county:085",1112,70578,30274,161785,9998,6224,5981,7034,6680,5818,4340,6476,5495,11786,16054,23573,16564,10841,14540,10381
"Rockland County, New York: Summary level: 050, state:36> county:087",1330,82217,33209,98214,3693,3284,4677,2990,2114,2931,2440,4484,2851,5647,9381,14112,11051,7230,11029,10300
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",685,43578,21169,40937,4502,2122,2871,2295,2563,2481,1936,2385,1828,4161,4007,4850,1852,1507,1249,328
