,Median gross rent,Median INC adjusted to year,Per capita income adjusted to year,Total,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
"Albany County, New York: Summary level: 050, state:36> county:001",945,61754,34857,125329,7803,5733,6168,5556,5139,5589,4731,6238,4154,9709,13213,14325,12415,8160,7520,8876
"Bronx County, New York: Summary level: 050, state:36> county:005",1130,37525,19369,498539,71574,44087,35197,29987,27678,26378,25091,22142,20607,35025,45935,45667,29923,15074,14302,9872
"Broome County, New York: Summary level: 050, state:36> county:007",745,50463,27373,76957,5005,4635,5204,4899,3819,4246,3509,2955,3796,7152,7716,9614,5735,2939,3267,2466
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",619,46842,23841,31409,2469,2235,1675,1751,1592,1724,1748,2106,1273,2799,3471,3488,2990,1031,694,363
"Cayuga County, New York: Summary level: 050, state:36> county:011",731,54995,28023,30966,1843,1135,1497,1343,1689,1567,2071,1509,1688,2326,3752,4179,3389,1283,1020,675
"Chautauqua County, New York: Summary level: 050, state:36> county:013",618,42204,23049,51705,3895,3568,3661,3813,3794,2339,3280,2622,2470,4001,4804,6144,3634,1828,1178,674
"Chemung County, New York: Summary level: 050, state:36> county:015",780,51269,27636,34418,2593,1953,2073,2483,1564,2065,1001,1283,1564,2537,3336,4804,2549,1804,1644,1165
"Clinton County, New York: Summary level: 050, state:36> county:019",759,55316,25278,30624,1737,2012,1561,1376,1681,1460,1488,1413,1211,3002,3282,4598,2606,818,1867,512
"Dutchess County, New York: Summary level: 050, state:36> county:027",1142,74115,37559,108200,4040,4293,3346,4232,3799,4761,4371,4068,3857,7486,10346,13297,12180,8325,10080,9719
"Erie County, New York: Summary level: 050, state:36> county:029",764,54246,31450,380473,31128,21417,20044,18907,18211,18792,17156,16614,12961,29868,36836,49123,32038,19852,20604,16922
"Jefferson County, New York: Summary level: 050, state:36> county:045",942,45624,23964,41415,3493,1893,2183,2633,2548,2795,2409,2482,1826,2385,3616,5717,3757,1615,1232,831
"Kings County, New York: Summary level: 050, state:36> county:047",1343,55150,30526,941871,100789,55450,47768,47059,37210,43759,39267,34306,30022,60857,79013,106682,78096,51707,59452,70434
"Livingston County, New York: Summary level: 050, state:36> county:051",679,53121,23687,23904,1684,1262,990,1051,626,1247,1591,1633,1095,2439,2782,3732,2101,610,853,208
"Madison County, New York: Summary level: 050, state:36> county:053",705,60630,29509,25612,1242,1219,1195,1647,1108,1171,1122,949,904,2116,2662,2825,4074,1089,1126,1163
"Monroe County, New York: Summary level: 050, state:36> county:055",856,54492,31269,299224,24726,15071,12867,15676,15199,13963,14043,12946,12136,25097,26831,37751,25853,17519,15965,13581
