,Median gross rent,Median INC adjusted to year,Per capita income adjusted to year,Total,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
"Bronx County, New York: Summary level: 050, state:36> county:005",1231,41432,22647,513890,75619,43661,31091,29795,21982,24793,21157,23189,18661,36014,50817,49307,33588,17732,19726,16758
"Onondaga County, New York: Summary level: 050, state:36> county:067",863,61577,34439,183218,14820,7904,8313,7046,6195,7189,8224,7424,8407,13225,18871,24076,16421,11453,11114,12536
"Clinton County, New York: Summary level: 050, state:36> county:019",820,60198,32638,31422,2948,1048,943,1395,1733,1052,1499,1555,563,2902,3969,4620,2741,1389,2161,904
"Putnam County, New York: Summary level: 050, state:36> county:079",1676,106204,48664,34470,763,388,534,611,921,934,467,1365,542,1938,1682,5595,4860,3617,4339,5914
"Ontario County, New York: Summary level: 050, state:36> county:069",900,66568,39492,46025,2228,1569,1273,1624,2139,1640,1611,1762,1410,4876,5153,6218,4500,2881,3523,3618
"Steuben County, New York: Summary level: 050, state:36> county:101",709,52951,29849,39283,2447,2001,2443,2513,1982,2153,1431,1830,1646,3510,3430,4597,3943,2735,1253,1369
"Chautauqua County, New York: Summary level: 050, state:36> county:013",664,50272,28735,55345,4908,3573,3968,3699,2011,2500,2295,2549,2005,4120,4878,6559,5980,2365,2518,1417
"Kings County, New York: Summary level: 050, state:36> county:047",1483,66937,37352,978091,77053,54891,41927,42780,37364,37425,31645,35062,30489,59429,83324,110588,82322,62124,80364,111304
"Saratoga County, New York: Summary level: 050, state:36> county:091",1190,89932,43468,93547,1834,3103,2050,2747,2568,3625,3760,3072,3218,6618,7924,11709,11432,8246,12215,9426
"Westchester County, New York: Summary level: 050, state:36> county:119",1604,101908,60213,355136,19309,11531,8031,8032,8794,9454,9089,10318,9411,15217,24765,38545,35263,24490,33939,88948
"Richmond County, New York: Summary level: 050, state:36> county:085",1299,89821,39743,166297,6432,5540,5274,4548,4341,5010,5273,6661,5412,9269,15109,16794,20747,14205,18741,22941
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",696,52108,27195,42832,3657,2938,2354,2217,3001,1565,2314,1321,1489,2647,3923,5242,4305,2156,2357,1346
"Tompkins County, New York: Summary level: 050, state:36> county:109",1219,58626,37576,40322,4057,1375,1674,1752,1899,1675,1606,2165,1448,2815,4425,3742,3485,1975,2348,3881
"Warren County, New York: Summary level: 050, state:36> county:113",982,64985,38182,29593,1527,1450,1217,940,1264,1599,1425,1559,833,2035,3354,3423,3045,1527,2199,2196
"Dutchess County, New York: Summary level: 050, state:36> county:027",1250,85901,43220,110529,5221,3715,4252,3994,3609,3862,2348,3188,3378,6288,10360,12419,13353,8906,11650,13986
"Monroe County, New York: Summary level: 050, state:36> county:055",922,62103,35797,305284,17368,13092,14492,14258,14587,13262,14248,11897,10760,23267,29419,39965,29453,18796,21432,18988
"Oneida County, New York: Summary level: 050, state:36> county:065",745,57391,31008,90273,4248,5133,4662,5040,4365,3017,3755,4445,4336,7320,9352,11673,8338,4600,6102,3887
"Ulster County, New York: Summary level: 050, state:36> county:111",1135,64087,35743,69376,4025,3218,3432,3167,3115,2314,3749,2236,2110,4626,6256,9004,6098,5344,5893,4789
"Chemung County, New York: Summary level: 050, state:36> county:015",757,60782,29639,33490,2933,1273,1197,1472,1200,1538,1097,1482,1638,2617,4234,4754,2904,2351,1835,965
"Livingston County, New York: Summary level: 050, state:36> county:051",768,59173,29902,23409,1725,839,878,1410,1135,919,788,1308,948,1942,2872,3007,2406,746,1369,1117
"Madison County, New York: Summary level: 050, state:36> county:053",817,62918,33946,25986,1194,595,1508,1559,724,861,1129,1546,1172,2443,1866,3793,2776,1809,1084,1927
"Albany County, New York: Summary level: 050, state:36> county:001",1037,69953,38494,128284,6554,6514,4092,4331,5244,5772,4040,5292,4806,8907,11699,16084,16026,8458,11120,9345
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",683,50912,28370,33056,2085,2572,1467,2378,1563,1641,1764,1684,997,3184,3336,4905,2036,1158,1311,975
"Schenectady County, New York: Summary level: 050, state:36> county:093",974,65773,35390,62534,2724,2758,2594,1994,2350,3480,2668,2090,2350,4985,6693,7083,7831,4310,4494,4130
"Rensselaer County, New York: Summary level: 050, state:36> county:083",1034,71574,35487,65790,3644,2154,2330,2213,2470,3339,1604,3495,2324,5227,5648,9466,7736,4359,6415,3366
"Queens County, New York: Summary level: 050, state:36> county:081",1641,73696,34377,784552,44031,29207,24150,27529,28672,33383,25034,28601,28721,54510,73335,101044,81039,58321,74174,72801
