,Median gross rent,Median INC adjusted to year,Per capita income adjusted to year,Total,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
"Albany County, New York: Summary level: 050, state:36> county:001",998,66204,36974,124144,7473,5321,5405,4884,4420,4596,5353,6587,4275,8813,12028,15733,12354,8476,9279,9147
"Bronx County, New York: Summary level: 050, state:36> county:005",1171,37397,20497,503985,73579,43891,37083,30458,26906,26111,23707,23526,18285,39496,40316,46820,29494,15779,16813,11721
"Broome County, New York: Summary level: 050, state:36> county:007",745,47758,27117,78604,7616,4869,4350,4254,4084,4065,3905,3913,3646,5729,7650,10292,5941,3005,3196,2089
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",608,48484,25111,32360,2756,2051,2112,1854,1567,1727,1516,1673,1331,3119,3610,4129,2184,1199,841,691
"Cayuga County, New York: Summary level: 050, state:36> county:011",736,56599,30178,30870,1930,1331,1712,1469,1860,1697,1468,1594,942,2265,2983,4468,3202,1677,1028,1244
"Chautauqua County, New York: Summary level: 050, state:36> county:013",644,46079,25357,51985,4543,3047,3895,3435,2646,2863,2135,2837,2682,5617,4503,5551,4328,2024,1103,776
"Chemung County, New York: Summary level: 050, state:36> county:015",820,51194,25348,32247,2934,1292,1545,1643,1563,1528,2053,1483,1776,2002,3387,4788,2647,1357,1173,1076
"Clinton County, New York: Summary level: 050, state:36> county:019",753,58234,28153,31493,1627,1500,1355,1731,1631,1813,1145,1104,1504,2841,3990,4836,2762,1219,1668,767
"Dutchess County, New York: Summary level: 050, state:36> county:027",1167,77915,38378,106043,3763,5421,3016,4859,3366,3827,3369,3441,3476,6818,9257,15206,12603,7515,9544,10562
"Erie County, New York: Summary level: 050, state:36> county:029",786,55604,31889,386396,29098,21361,18916,21222,18405,19312,15787,16544,16323,27869,41521,47459,35566,19633,19508,17872
"Jefferson County, New York: Summary level: 050, state:36> county:045",1005,47101,23356,41548,3289,2595,1870,2511,2418,2038,2504,2312,2481,4017,4451,5084,2376,1511,1287,804
"Kings County, New York: Summary level: 050, state:36> county:047",1367,56942,32274,956223,109245,54596,42155,46229,36173,40260,38825,34404,32473,56656,77760,105769,76806,52919,67086,84867
"Livingston County, New York: Summary level: 050, state:36> county:051",761,55931,28126,24725,2083,566,1354,1032,1819,1289,729,1387,700,2229,2988,3194,2626,1278,875,576
