,Median gross rent,Median INC adjusted to year,Per capita income adjusted to year,Total,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
"Madison County, New York: Summary level: 050, state:36> county:053",781,57069,28490,26024,1506,889,1427,1191,1504,1196,1411,1226,1294,1927,3206,3404,2157,1410,1449,827
"Monroe County, New York: Summary level: 050, state:36> county:055",905,57561,32183,301619,21727,14438,15503,14166,14916,14381,12812,14113,11374,22626,30618,38610,27950,15095,16979,16311
"Nassau County, New York: Summary level: 050, state:36> county:059",1698,108133,48753,446978,14351,10515,10045,11200,9815,9730,11442,12586,9919,21926,32231,51522,47645,37784,61501,94766
"New York County, New York: Summary level: 050, state:36> county:061",1601,85071,72057,764218,68870,41279,28998,28278,20849,22935,18305,19505,13513,38843,50135,71632,66741,46571,63941,163823
"Niagara County, New York: Summary level: 050, state:36> county:063",690,54743,30026,88659,5131,3948,4772,5156,4627,3813,5119,4013,3267,8206,9101,10969,8352,4849,4744,2592
"Oneida County, New York: Summary level: 050, state:36> county:065",726,53902,27523,88790,6782,4368,5214,4539,4644,4254,4299,3318,3416,8268,9374,12259,6316,5210,4238,2291
"Onondaga County, New York: Summary level: 050, state:36> county:067",837,57652,32025,185709,12946,7415,9485,7997,8986,9927,7670,6719,8498,16358,19365,22346,15936,11441,11299,9321
"Ontario County, New York: Summary level: 050, state:36> county:069",819,66004,35114,44414,2132,1282,1983,2192,1837,2290,2316,1578,1839,2562,5008,6961,3838,3343,2790,2463
"Orange County, New York: Summary level: 050, state:36> county:071",1243,79311,33488,127517,4324,4843,4514,4643,3770,5134,4263,3756,4865,8602,11956,16944,14673,11172,13519,10539
"Oswego County, New York: Summary level: 050, state:36> county:075",763,53406,28085,45971,3401,1534,2094,2214,1981,2744,1854,3104,2414,4582,4706,5683,4285,2257,1887,1231
"Putnam County, New York: Summary level: 050, state:36> county:079",1479,99479,47667,34549,986,810,746,1324,644,877,1312,191,735,1606,3536,4665,3989,3017,4561,5550
"Queens County, New York: Summary level: 050, state:36> county:081",1500,64509,29857,769258,45036,29262,31340,36285,31329,32276,31412,31214,29462,57758,78786,101570,72752,50356,62044,48376
"Rensselaer County, New York: Summary level: 050, state:36> county:083",913,64050,34700,66127,4621,2837,2392,2840,2323,2262,2595,2874,2871,5374,7217,9218,5176,4522,4892,4113
"Richmond County, New York: Summary level: 050, state:36> county:085",1286,79201,35205,165990,13296,7281,5851,5572,5389,4683,4894,4952,4819,9669,13581,18794,15783,14054,19616,17756
"Rockland County, New York: Summary level: 050, state:36> county:087",1460,88726,37651,100167,3752,3184,3008,4695,4008,2849,2100,3838,2304,6486,7729,10711,8318,8821,11855,16509
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",744,50325,24267,41008,2160,3276,2308,2362,1923,2215,2278,1948,1893,3585,4627,5316,3579,1654,919,965
"Saratoga County, New York: Summary level: 050, state:36> county:091",1052,83726,42756,97021,3992,3339,2955,2502,2877,2659,2776,4397,3490,5545,8626,14567,12365,8924,9372,8635
"Schenectady County, New York: Summary level: 050, state:36> county:093",885,62514,30210,49022,3137,3074,2025,1942,2410,2306,1211,2635,1627,3055,4106,6713,5755,3594,3348,2084
"Steuben County, New York: Summary level: 050, state:36> county:101",665,50930,27347,38382,2259,1547,1836,2240,2238,1847,2747,2197,1864,3996,3813,4980,2875,1662,1271,1010
"Suffolk County, New York: Summary level: 050, state:36> county:103",1697,94750,41331,482099,18853,11524,13742,13100,11209,14022,15460,13750,14773,26355,40160,59794,54521,41058,63096,70682
"Sullivan County, New York: Summary level: 050, state:36> county:105",826,55309,27894,25916,1728,1424,1470,1120,1075,1341,1384,1007,907,2213,2989,3436,1752,1532,1493,1045
"Tompkins County, New York: Summary level: 050, state:36> county:109",1120,56672,30545,40230,4632,1560,1834,1966,2022,2580,857,1217,1237,3751,3993,5181,2493,1980,1818,3109
"Ulster County, New York: Summary level: 050, state:36> county:111",1077,63621,32637,68822,3142,3448,2949,2960,3223,2703,2356,3470,2983,5444,7638,8682,6327,5217,4608,3672
"Warren County, New York: Summary level: 050, state:36> county:113",852,60541,34310,27595,933,536,1740,1677,1167,1389,1435,1087,1487,2200,2367,3879,3101,1777,1570,1250
"Wayne County, New York: Summary level: 050, state:36> county:117",683,51326,27006,36715,3025,1945,1513,1971,1988,1822,1630,2061,1764,3746,3993,4706,2953,1669,1156,773
"Westchester County, New York: Summary level: 050, state:36> county:119",1507,90578,54116,350919,15144,10036,11551,13964,12152,11079,9724,10907,9813,20926,27149,35304,30618,23642,33143,75767
