,Total
"Albany County, New York: Summary level: 050, state:36> county:001",309612
"Bronx County, New York: Summary level: 050, state:36> county:005",1471160
"Broome County, New York: Summary level: 050, state:36> county:007",193639
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",77348
"Cayuga County, New York: Summary level: 050, state:36> county:011",77603
"Chautauqua County, New York: Summary level: 050, state:36> county:013",129046
"Chemung County, New York: Summary level: 050, state:36> county:015",85557
"Clinton County, New York: Summary level: 050, state:36> county:019",80980
"Dutchess County, New York: Summary level: 050, state:36> county:027",295568
"Erie County, New York: Summary level: 050, state:36> county:029",925528
"Jefferson County, New York: Summary level: 050, state:36> county:045",114187
"Kings County, New York: Summary level: 050, state:36> county:047",2648771
"Livingston County, New York: Summary level: 050, state:36> county:051",63799
"Madison County, New York: Summary level: 050, state:36> county:053",70965
"Monroe County, New York: Summary level: 050, state:36> county:055",747642
"Nassau County, New York: Summary level: 050, state:36> county:059",1369514
"New York County, New York: Summary level: 050, state:36> county:061",1664727
"Niagara County, New York: Summary level: 050, state:36> county:063",211328
"Oneida County, New York: Summary level: 050, state:36> county:065",231332
"Onondaga County, New York: Summary level: 050, state:36> county:067",465398
"Ontario County, New York: Summary level: 050, state:36> county:069",109899
"Orange County, New York: Summary level: 050, state:36> county:071",382226
"Oswego County, New York: Summary level: 050, state:36> county:075",118478
"Putnam County, New York: Summary level: 050, state:36> county:079",99323
"Queens County, New York: Summary level: 050, state:36> county:081",2358582
"Rensselaer County, New York: Summary level: 050, state:36> county:083",159722
"Richmond County, New York: Summary level: 050, state:36> county:085",479458
"Rockland County, New York: Summary level: 050, state:36> county:087",328868
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",109623
"Saratoga County, New York: Summary level: 050, state:36> county:091",229869
"Schenectady County, New York: Summary level: 050, state:36> county:093",155565
"Steuben County, New York: Summary level: 050, state:36> county:101",96281
"Suffolk County, New York: Summary level: 050, state:36> county:103",1492953
"Sullivan County, New York: Summary level: 050, state:36> county:105",75485
"Tompkins County, New York: Summary level: 050, state:36> county:109",104802
"Ulster County, New York: Summary level: 050, state:36> county:111",179417
"Warren County, New York: Summary level: 050, state:36> county:113",64532
"Wayne County, New York: Summary level: 050, state:36> county:117",90670
"Westchester County, New York: Summary level: 050, state:36> county:119",980244
