,Total
"Bronx County, New York: Summary level: 050, state:36> county:005",1418207
"Onondaga County, New York: Summary level: 050, state:36> county:067",460528
"Clinton County, New York: Summary level: 050, state:36> county:019",80485
"Putnam County, New York: Summary level: 050, state:36> county:079",98320
"Ontario County, New York: Summary level: 050, state:36> county:069",109777
"Steuben County, New York: Summary level: 050, state:36> county:101",95379
"Chautauqua County, New York: Summary level: 050, state:36> county:013",126903
"Kings County, New York: Summary level: 050, state:36> county:047",2559903
"Saratoga County, New York: Summary level: 050, state:36> county:091",229863
"Westchester County, New York: Summary level: 050, state:36> county:119",967506
"Richmond County, New York: Summary level: 050, state:36> county:085",476143
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",107740
"Tompkins County, New York: Summary level: 050, state:36> county:109",102180
"Warren County, New York: Summary level: 050, state:36> county:113",63944
"Dutchess County, New York: Summary level: 050, state:36> county:027",294218
"Monroe County, New York: Summary level: 050, state:36> county:055",741770
"Oneida County, New York: Summary level: 050, state:36> county:065",228671
"Ulster County, New York: Summary level: 050, state:36> county:111",177573
"Chemung County, New York: Summary level: 050, state:36> county:015",83456
"Livingston County, New York: Summary level: 050, state:36> county:051",62914
"Madison County, New York: Summary level: 050, state:36> county:053",70941
"Albany County, New York: Summary level: 050, state:36> county:001",305506
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",76117
"Schenectady County, New York: Summary level: 050, state:36> county:093",155299
"Rensselaer County, New York: Summary level: 050, state:36> county:083",158714
"Queens County, New York: Summary level: 050, state:36> county:081",2253858
"New York County, New York: Summary level: 050, state:36> county:061",1628706
"Cayuga County, New York: Summary level: 050, state:36> county:011",76576
"Rockland County, New York: Summary level: 050, state:36> county:087",325789
"Niagara County, New York: Summary level: 050, state:36> county:063",209281
"Nassau County, New York: Summary level: 050, state:36> county:059",1356924
"Jefferson County, New York: Summary level: 050, state:36> county:045",109834
"Suffolk County, New York: Summary level: 050, state:36> county:103",1476601
"Oswego County, New York: Summary level: 050, state:36> county:075",117124
"Wayne County, New York: Summary level: 050, state:36> county:117",89918
"Broome County, New York: Summary level: 050, state:36> county:007",190488
"Erie County, New York: Summary level: 050, state:36> county:029",918702
"Sullivan County, New York: Summary level: 050, state:36> county:105",75432
"Orange County, New York: Summary level: 050, state:36> county:071",384940
