,Total
"Albany County, New York: Summary level: 050, state:36> county:001",303565
"Bronx County, New York: Summary level: 050, state:36> county:005",1392002
"Broome County, New York: Summary level: 050, state:36> county:007",199031
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",79832
"Cayuga County, New York: Summary level: 050, state:36> county:011",79738
"Chautauqua County, New York: Summary level: 050, state:36> county:013",134368
"Chemung County, New York: Summary level: 050, state:36> county:015",88840
"Clinton County, New York: Summary level: 050, state:36> county:019",81945
"Dutchess County, New York: Summary level: 050, state:36> county:027",297999
"Erie County, New York: Summary level: 050, state:36> county:029",918028
"Jefferson County, New York: Summary level: 050, state:36> county:045",117910
"Kings County, New York: Summary level: 050, state:36> county:047",2532645
"Livingston County, New York: Summary level: 050, state:36> county:051",65070
"Madison County, New York: Summary level: 050, state:36> county:053",73365
"Monroe County, New York: Summary level: 050, state:36> county:055",745625
"Nassau County, New York: Summary level: 050, state:36> county:059",1344436
"New York County, New York: Summary level: 050, state:36> county:061",1601948
"Niagara County, New York: Summary level: 050, state:36> county:063",216011
"Oneida County, New York: Summary level: 050, state:36> county:065",234287
"Onondaga County, New York: Summary level: 050, state:36> county:067",466960
"Ontario County, New York: Summary level: 050, state:36> county:069",108525
"Orange County, New York: Summary level: 050, state:36> county:071",374872
"Oswego County, New York: Summary level: 050, state:36> county:075",122228
"Putnam County, New York: Summary level: 050, state:36> county:079",99933
"Queens County, New York: Summary level: 050, state:36> county:081",2247848
"Rensselaer County, New York: Summary level: 050, state:36> county:083",159395
"Richmond County, New York: Summary level: 050, state:36> county:085",470467
"Rockland County, New York: Summary level: 050, state:36> county:087",315158
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",111690
"Saratoga County, New York: Summary level: 050, state:36> county:091",220882
"Schenectady County, New York: Summary level: 050, state:36> county:093",155058
"Steuben County, New York: Summary level: 050, state:36> county:101",99033
"Suffolk County, New York: Summary level: 050, state:36> county:103",1498816
"Sullivan County, New York: Summary level: 050, state:36> county:105",76900
"Tompkins County, New York: Summary level: 050, state:36> county:109",101723
"Ulster County, New York: Summary level: 050, state:36> county:111",182448
"Warren County, New York: Summary level: 050, state:36> county:113",65831
"Wayne County, New York: Summary level: 050, state:36> county:117",93436
"Westchester County, New York: Summary level: 050, state:36> county:119",955899
