,Total
"Albany County, New York: Summary level: 050, state:36> county:001",308171
"Bronx County, New York: Summary level: 050, state:36> county:005",1438159
"Broome County, New York: Summary level: 050, state:36> county:007",197349
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",78600
"Cayuga County, New York: Summary level: 050, state:36> county:011",78823
"Chautauqua County, New York: Summary level: 050, state:36> county:013",132053
"Chemung County, New York: Summary level: 050, state:36> county:015",87770
"Clinton County, New York: Summary level: 050, state:36> county:019",81632
"Dutchess County, New York: Summary level: 050, state:36> county:027",296579
"Erie County, New York: Summary level: 050, state:36> county:029",922835
"Jefferson County, New York: Summary level: 050, state:36> county:045",119103
"Kings County, New York: Summary level: 050, state:36> county:047",2621793
"Livingston County, New York: Summary level: 050, state:36> county:051",64586
"Madison County, New York: Summary level: 050, state:36> county:053",72369
"Monroe County, New York: Summary level: 050, state:36> county:055",749857
"Nassau County, New York: Summary level: 050, state:36> county:059",1358627
"New York County, New York: Summary level: 050, state:36> county:061",1636268
"Niagara County, New York: Summary level: 050, state:36> county:063",213525
"Oneida County, New York: Summary level: 050, state:36> county:065",232871
"Onondaga County, New York: Summary level: 050, state:36> county:067",468196
"Ontario County, New York: Summary level: 050, state:36> county:069",109707
"Orange County, New York: Summary level: 050, state:36> county:071",376099
"Oswego County, New York: Summary level: 050, state:36> county:075",120913
"Putnam County, New York: Summary level: 050, state:36> county:079",99487
"Queens County, New York: Summary level: 050, state:36> county:081",2321580
"Rensselaer County, New York: Summary level: 050, state:36> county:083",159774
"Richmond County, New York: Summary level: 050, state:36> county:085",473279
"Rockland County, New York: Summary level: 050, state:36> county:087",323866
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",111400
"Saratoga County, New York: Summary level: 050, state:36> county:091",224921
"Schenectady County, New York: Summary level: 050, state:36> county:093",155735
"Steuben County, New York: Summary level: 050, state:36> county:101",98394
"Suffolk County, New York: Summary level: 050, state:36> county:103",1502968
"Sullivan County, New York: Summary level: 050, state:36> county:105",75943
"Tompkins County, New York: Summary level: 050, state:36> county:109",104691
"Ulster County, New York: Summary level: 050, state:36> county:111",180445
"Warren County, New York: Summary level: 050, state:36> county:113",64973
"Wayne County, New York: Summary level: 050, state:36> county:117",92051
"Westchester County, New York: Summary level: 050, state:36> county:119",972634
