,Total
"Albany County, New York: Summary level: 050, state:36> county:001",308846
"Bronx County, New York: Summary level: 050, state:36> county:005",1455720
"Broome County, New York: Summary level: 050, state:36> county:007",195334
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",77677
"Cayuga County, New York: Summary level: 050, state:36> county:011",77861
"Chautauqua County, New York: Summary level: 050, state:36> county:013",129504
"Chemung County, New York: Summary level: 050, state:36> county:015",86322
"Clinton County, New York: Summary level: 050, state:36> county:019",81073
"Dutchess County, New York: Summary level: 050, state:36> county:027",294473
"Erie County, New York: Summary level: 050, state:36> county:029",921046
"Jefferson County, New York: Summary level: 050, state:36> county:045",114006
"Kings County, New York: Summary level: 050, state:36> county:047",2629150
"Livingston County, New York: Summary level: 050, state:36> county:051",64257
"Madison County, New York: Summary level: 050, state:36> county:053",71329
"Monroe County, New York: Summary level: 050, state:36> county:055",747727
"Nassau County, New York: Summary level: 050, state:36> county:059",1361500
"New York County, New York: Summary level: 050, state:36> county:061",1643734
"Niagara County, New York: Summary level: 050, state:36> county:063",211758
"Oneida County, New York: Summary level: 050, state:36> county:065",231190
"Onondaga County, New York: Summary level: 050, state:36> county:067",466194
"Ontario County, New York: Summary level: 050, state:36> county:069",109828
"Orange County, New York: Summary level: 050, state:36> county:071",379210
"Oswego County, New York: Summary level: 050, state:36> county:075",118987
"Putnam County, New York: Summary level: 050, state:36> county:079",98900
"Queens County, New York: Summary level: 050, state:36> county:081",2333054
"Rensselaer County, New York: Summary level: 050, state:36> county:083",160070
"Richmond County, New York: Summary level: 050, state:36> county:085",476015
"Rockland County, New York: Summary level: 050, state:36> county:087",326780
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",110038
"Saratoga County, New York: Summary level: 050, state:36> county:091",227053
"Schenectady County, New York: Summary level: 050, state:36> county:093",154553
"Steuben County, New York: Summary level: 050, state:36> county:101",96940
"Suffolk County, New York: Summary level: 050, state:36> county:103",1492583
"Sullivan County, New York: Summary level: 050, state:36> county:105",74801
"Tompkins County, New York: Summary level: 050, state:36> county:109",104871
"Ulster County, New York: Summary level: 050, state:36> county:111",179225
"Warren County, New York: Summary level: 050, state:36> county:113",64567
"Wayne County, New York: Summary level: 050, state:36> county:117",90798
"Westchester County, New York: Summary level: 050, state:36> county:119",974542
