,Total
"Rensselaer County, New York: Summary level: 050, state:36> county:083",159442
"Chautauqua County, New York: Summary level: 050, state:36> county:013",127939
"Clinton County, New York: Summary level: 050, state:36> county:019",80695
"New York County, New York: Summary level: 050, state:36> county:061",1628701
"Saratoga County, New York: Summary level: 050, state:36> county:091",230163
"Tompkins County, New York: Summary level: 050, state:36> county:109",102793
"Oneida County, New York: Summary level: 050, state:36> county:065",229577
"Oswego County, New York: Summary level: 050, state:36> county:075",117898
"Nassau County, New York: Summary level: 050, state:36> county:059",1358343
"Orange County, New York: Summary level: 050, state:36> county:071",381951
"Rockland County, New York: Summary level: 050, state:36> county:087",325695
"Ontario County, New York: Summary level: 050, state:36> county:069",109864
"Chemung County, New York: Summary level: 050, state:36> county:015",84254
"Jefferson County, New York: Summary level: 050, state:36> county:045",111755
"Erie County, New York: Summary level: 050, state:36> county:029",919719
"Ulster County, New York: Summary level: 050, state:36> county:111",178599
"Westchester County, New York: Summary level: 050, state:36> county:119",967612
"Warren County, New York: Summary level: 050, state:36> county:113",64265
"Niagara County, New York: Summary level: 050, state:36> county:063",210433
"Putnam County, New York: Summary level: 050, state:36> county:079",98892
"Livingston County, New York: Summary level: 050, state:36> county:051",63227
"Suffolk County, New York: Summary level: 050, state:36> county:103",1481093
"Cayuga County, New York: Summary level: 050, state:36> county:011",77145
"Kings County, New York: Summary level: 050, state:36> county:047",2582830
"Onondaga County, New York: Summary level: 050, state:36> county:067",461809
"Albany County, New York: Summary level: 050, state:36> county:001",307117
"Madison County, New York: Summary level: 050, state:36> county:053",70795
"Queens County, New York: Summary level: 050, state:36> county:081",2278906
"Wayne County, New York: Summary level: 050, state:36> county:117",90064
"Bronx County, New York: Summary level: 050, state:36> county:005",1432132
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",108047
"Richmond County, New York: Summary level: 050, state:36> county:085",476179
"Schenectady County, New York: Summary level: 050, state:36> county:093",155350
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",76840
"Monroe County, New York: Summary level: 050, state:36> county:055",742474
"Sullivan County, New York: Summary level: 050, state:36> county:105",75498
"Broome County, New York: Summary level: 050, state:36> county:007",191659
"Dutchess County, New York: Summary level: 050, state:36> county:027",293718
"Steuben County, New York: Summary level: 050, state:36> county:101",95796
