,Total
"Alden village, New York: Summary level: 160, state:36> place:01088",2607
"Alexander village, New York: Summary level: 160, state:36> place:01154",568
"Alexandria Bay village, New York: Summary level: 160, state:36> place:01187",995
"Alfred village, New York: Summary level: 160, state:36> place:01198",4344
"Allegany village, New York: Summary level: 160, state:36> place:01286",1756
"Almond village, New York: Summary level: 160, state:36> place:01440",507
"Altamont village, New York: Summary level: 160, state:36> place:01517",1522
"Altmar village, New York: Summary level: 160, state:36> place:01550",364
"Altona CDP, New York: Summary level: 160, state:36> place:01572",786
"Amagansett CDP, New York: Summary level: 160, state:36> place:01594",1025
"Amenia CDP, New York: Summary level: 160, state:36> place:01682",1264
"Ames village, New York: Summary level: 160, state:36> place:01737",190
"Amityville village, New York: Summary level: 160, state:36> place:02044",9525
"Amsterdam city, New York: Summary level: 160, state:36> place:02066",18425
"Andes CDP, New York: Summary level: 160, state:36> place:02121",216
"Andover village, New York: Summary level: 160, state:36> place:02143",835
"Angelica village, New York: Summary level: 160, state:36> place:02176",919
"Angola village, New York: Summary level: 160, state:36> place:02198",1867
"Angola on the Lake CDP, New York: Summary level: 160, state:36> place:02220",1432
"Antwerp village, New York: Summary level: 160, state:36> place:02286",556
"Apalachin CDP, New York: Summary level: 160, state:36> place:02308",1460
"Aquebogue CDP, New York: Summary level: 160, state:36> place:02374",2277
"Arcade village, New York: Summary level: 160, state:36> place:02407",1965
"Ardsley village, New York: Summary level: 160, state:36> place:02506",4471
"Argyle village, New York: Summary level: 160, state:36> place:02550",293
"Arkport village, New York: Summary level: 160, state:36> place:02583",906
"Arlington CDP, New York: Summary level: 160, state:36> place:02616",4084
"Armonk CDP, New York: Summary level: 160, state:36> place:02649",4500
"Asharoken village, New York: Summary level: 160, state:36> place:02737",610
"Athens village, New York: Summary level: 160, state:36> place:02902",1446
"Atlantic Beach village, New York: Summary level: 160, state:36> place:02968",1647
"Attica village, New York: Summary level: 160, state:36> place:03001",2707
"Auburn city, New York: Summary level: 160, state:36> place:03078",27571
"Aurora village, New York: Summary level: 160, state:36> place:03188",733
"Au Sable Forks CDP, New York: Summary level: 160, state:36> place:03254",423
"Averill Park CDP, New York: Summary level: 160, state:36> place:03320",1690
"Avoca village, New York: Summary level: 160, state:36> place:03331",976
"Avon village, New York: Summary level: 160, state:36> place:03353",3378
"Babylon village, New York: Summary level: 160, state:36> place:03408",12175
"Bainbridge village, New York: Summary level: 160, state:36> place:04033",1313
"Baiting Hollow CDP, New York: Summary level: 160, state:36> place:04055",1565
"Baldwin CDP, New York: Summary level: 160, state:36> place:04143",23757
"Baldwin Harbor CDP, New York: Summary level: 160, state:36> place:04154",7921
"Baldwinsville village, New York: Summary level: 160, state:36> place:04198",7384
"Ballston Spa village, New York: Summary level: 160, state:36> place:04253",5465
"Balmville CDP, New York: Summary level: 160, state:36> place:04286",2944
"Bardonia CDP, New York: Summary level: 160, state:36> place:04396",4013
"Barker village, New York: Summary level: 160, state:36> place:04440",741
"Barneveld village, New York: Summary level: 160, state:36> place:04528",233
"Barnum Island CDP, New York: Summary level: 160, state:36> place:04550",2542
"Batavia city, New York: Summary level: 160, state:36> place:04715",15406
"Bath village, New York: Summary level: 160, state:36> place:04759",5763
"Baxter Estates village, New York: Summary level: 160, state:36> place:04803",885
"Bay Park CDP, New York: Summary level: 160, state:36> place:04891",1790
"Bayport CDP, New York: Summary level: 160, state:36> place:04913",8533
"Bay Shore CDP, New York: Summary level: 160, state:36> place:04935",28365
"Bayville village, New York: Summary level: 160, state:36> place:05034",6701
"Baywood CDP, New York: Summary level: 160, state:36> place:05039",7842
"Beacon city, New York: Summary level: 160, state:36> place:05100",14724
"Beaver Dam Lake CDP, New York: Summary level: 160, state:36> place:05188",2389
"Bedford CDP, New York: Summary level: 160, state:36> place:05309",2132
"Bedford Hills CDP, New York: Summary level: 160, state:36> place:05342",2944
"Belfast CDP, New York: Summary level: 160, state:36> place:05562",917
"Bellerose village, New York: Summary level: 160, state:36> place:05639",1205
"Bellerose Terrace CDP, New York: Summary level: 160, state:36> place:05661",1991
"Belle Terre village, New York: Summary level: 160, state:36> place:05672",836
"Belleville CDP, New York: Summary level: 160, state:36> place:05683",317
"Bellmore CDP, New York: Summary level: 160, state:36> place:05738",16377
"Bellport village, New York: Summary level: 160, state:36> place:05771",2152
"Belmont village, New York: Summary level: 160, state:36> place:05815",1090
"Bemus Point village, New York: Summary level: 160, state:36> place:05848",241
"Bergen village, New York: Summary level: 160, state:36> place:06046",1314
"Bethpage CDP, New York: Summary level: 160, state:36> place:06387",16624
"Big Flats CDP, New York: Summary level: 160, state:36> place:06464",5552
"Billington Heights CDP, New York: Summary level: 160, state:36> place:06574",1486
"Binghamton city, New York: Summary level: 160, state:36> place:06607",46975
"Binghamton University CDP, New York: Summary level: 160, state:36> place:06644",6151
"Black River village, New York: Summary level: 160, state:36> place:06794",1407
"Blasdell village, New York: Summary level: 160, state:36> place:06849",2563
"Blauvelt CDP, New York: Summary level: 160, state:36> place:06860",5469
"Bliss CDP, New York: Summary level: 160, state:36> place:06904",623
"Blodgett Mills CDP, New York: Summary level: 160, state:36> place:06937",340
"Bloomfield village, New York: Summary level: 160, state:36> place:06945",1546
"Bloomingburg village, New York: Summary level: 160, state:36> place:06959",545
"Bloomville CDP, New York: Summary level: 160, state:36> place:07025",207
"Blue Point CDP, New York: Summary level: 160, state:36> place:07069",4538
"Bohemia CDP, New York: Summary level: 160, state:36> place:07157",10644
"Bolivar village, New York: Summary level: 160, state:36> place:07190",1060
"Bolton Landing CDP, New York: Summary level: 160, state:36> place:07245",657
"Boonville village, New York: Summary level: 160, state:36> place:07355",1986
"Brasher Falls CDP, New York: Summary level: 160, state:36> place:07960",693
"Breesport CDP, New York: Summary level: 160, state:36> place:08004",655
"Brentwood CDP, New York: Summary level: 160, state:36> place:08026",57361
"Brewerton CDP, New York: Summary level: 160, state:36> place:08059",4373
"Brewster village, New York: Summary level: 160, state:36> place:08070",2447
"Brewster Hill CDP, New York: Summary level: 160, state:36> place:08092",1581
"Briarcliff Manor village, New York: Summary level: 160, state:36> place:08103",7943
"Bridgehampton CDP, New York: Summary level: 160, state:36> place:08136",1349
"Bridgeport CDP, New York: Summary level: 160, state:36> place:08147",1327
