,Total
"Albany County, New York: Summary level: 050, state:36> county:001",306945
"Bronx County, New York: Summary level: 050, state:36> county:005",1418733
"Broome County, New York: Summary level: 050, state:36> county:007",197534
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",78892
"Cayuga County, New York: Summary level: 050, state:36> county:011",79477
"Chautauqua County, New York: Summary level: 050, state:36> county:013",133080
"Chemung County, New York: Summary level: 050, state:36> county:015",88506
"Clinton County, New York: Summary level: 050, state:36> county:019",81591
"Dutchess County, New York: Summary level: 050, state:36> county:027",296916
"Erie County, New York: Summary level: 050, state:36> county:029",919866
"Jefferson County, New York: Summary level: 050, state:36> county:045",119504
"Kings County, New York: Summary level: 050, state:36> county:047",2592149
"Livingston County, New York: Summary level: 050, state:36> county:051",64705
"Madison County, New York: Summary level: 050, state:36> county:053",72382
"Monroe County, New York: Summary level: 050, state:36> county:055",749606
"Nassau County, New York: Summary level: 050, state:36> county:059",1352146
"New York County, New York: Summary level: 050, state:36> county:061",1626159
"Niagara County, New York: Summary level: 050, state:36> county:063",214249
"Oneida County, New York: Summary level: 050, state:36> county:065",233585
"Onondaga County, New York: Summary level: 050, state:36> county:067",468387
"Ontario County, New York: Summary level: 050, state:36> county:069",109103
"Orange County, New York: Summary level: 050, state:36> county:071",375592
"Oswego County, New York: Summary level: 050, state:36> county:075",121165
"Putnam County, New York: Summary level: 050, state:36> county:079",99645
"Queens County, New York: Summary level: 050, state:36> county:081",2296175
"Rensselaer County, New York: Summary level: 050, state:36> county:083",159918
"Richmond County, New York: Summary level: 050, state:36> county:085",472621
"Rockland County, New York: Summary level: 050, state:36> county:087",320903
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",111963
"Saratoga County, New York: Summary level: 050, state:36> county:091",223865
"Schenectady County, New York: Summary level: 050, state:36> county:093",155333
"Steuben County, New York: Summary level: 050, state:36> county:101",98650
"Suffolk County, New York: Summary level: 050, state:36> county:103",1499738
"Sullivan County, New York: Summary level: 050, state:36> county:105",76665
"Tompkins County, New York: Summary level: 050, state:36> county:109",103617
"Ulster County, New York: Summary level: 050, state:36> county:111",180998
"Warren County, New York: Summary level: 050, state:36> county:113",65337
"Wayne County, New York: Summary level: 050, state:36> county:117",92473
"Westchester County, New York: Summary level: 050, state:36> county:119",968802
