,Total
"Albany County, New York: Summary level: 050, state:36> county:001",305455
"Bronx County, New York: Summary level: 050, state:36> county:005",1408473
"Broome County, New York: Summary level: 050, state:36> county:007",198060
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",79458
"Cayuga County, New York: Summary level: 050, state:36> county:011",79552
"Chautauqua County, New York: Summary level: 050, state:36> county:013",133539
"Chemung County, New York: Summary level: 050, state:36> county:015",88911
"Clinton County, New York: Summary level: 050, state:36> county:019",81654
"Dutchess County, New York: Summary level: 050, state:36> county:027",297322
"Erie County, New York: Summary level: 050, state:36> county:029",919086
"Jefferson County, New York: Summary level: 050, state:36> county:045",120262
"Kings County, New York: Summary level: 050, state:36> county:047",2565635
"Livingston County, New York: Summary level: 050, state:36> county:051",64810
"Madison County, New York: Summary level: 050, state:36> county:053",72382
"Monroe County, New York: Summary level: 050, state:36> county:055",747813
"Nassau County, New York: Summary level: 050, state:36> county:059",1349233
"New York County, New York: Summary level: 050, state:36> county:061",1619090
"Niagara County, New York: Summary level: 050, state:36> county:063",215124
"Oneida County, New York: Summary level: 050, state:36> county:065",233556
"Onondaga County, New York: Summary level: 050, state:36> county:067",466852
"Ontario County, New York: Summary level: 050, state:36> county:069",108519
"Orange County, New York: Summary level: 050, state:36> county:071",374512
"Oswego County, New York: Summary level: 050, state:36> county:075",121700
"Putnam County, New York: Summary level: 050, state:36> county:079",99607
"Queens County, New York: Summary level: 050, state:36> county:081",2272771
"Rensselaer County, New York: Summary level: 050, state:36> county:083",159835
"Richmond County, New York: Summary level: 050, state:36> county:085",470728
"Rockland County, New York: Summary level: 050, state:36> county:087",317757
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",112232
"Saratoga County, New York: Summary level: 050, state:36> county:091",222133
"Schenectady County, New York: Summary level: 050, state:36> county:093",155124
"Steuben County, New York: Summary level: 050, state:36> county:101",99063
"Suffolk County, New York: Summary level: 050, state:36> county:103",1499273
"Sullivan County, New York: Summary level: 050, state:36> county:105",76793
"Tompkins County, New York: Summary level: 050, state:36> county:109",102554
"Ulster County, New York: Summary level: 050, state:36> county:111",181791
"Warren County, New York: Summary level: 050, state:36> county:113",65538
"Wayne County, New York: Summary level: 050, state:36> county:117",92962
"Westchester County, New York: Summary level: 050, state:36> county:119",961670
