,Total
"Albany County, New York: Summary level: 050, state:36> county:001",309381
"Bronx County, New York: Summary level: 050, state:36> county:005",1455444
"Broome County, New York: Summary level: 050, state:36> county:007",196567
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",77922
"Cayuga County, New York: Summary level: 050, state:36> county:011",78288
"Chautauqua County, New York: Summary level: 050, state:36> county:013",130779
"Chemung County, New York: Summary level: 050, state:36> county:015",87071
"Clinton County, New York: Summary level: 050, state:36> county:019",81251
"Dutchess County, New York: Summary level: 050, state:36> county:027",295754
"Erie County, New York: Summary level: 050, state:36> county:029",922578
"Jefferson County, New York: Summary level: 050, state:36> county:045",117635
"Kings County, New York: Summary level: 050, state:36> county:047",2636735
"Livingston County, New York: Summary level: 050, state:36> county:051",64717
"Madison County, New York: Summary level: 050, state:36> county:053",71849
"Monroe County, New York: Summary level: 050, state:36> county:055",749600
"Nassau County, New York: Summary level: 050, state:36> county:059",1361350
"New York County, New York: Summary level: 050, state:36> county:061",1644518
"Niagara County, New York: Summary level: 050, state:36> county:063",212652
"Oneida County, New York: Summary level: 050, state:36> county:065",232500
"Onondaga County, New York: Summary level: 050, state:36> county:067",468463
"Ontario County, New York: Summary level: 050, state:36> county:069",109561
"Orange County, New York: Summary level: 050, state:36> county:071",377647
"Oswego County, New York: Summary level: 050, state:36> county:075",120146
"Putnam County, New York: Summary level: 050, state:36> county:079",99042
"Queens County, New York: Summary level: 050, state:36> county:081",2339150
"Rensselaer County, New York: Summary level: 050, state:36> county:083",160266
"Richmond County, New York: Summary level: 050, state:36> county:085",474558
"Rockland County, New York: Summary level: 050, state:36> county:087",326037
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",111007
"Saratoga County, New York: Summary level: 050, state:36> county:091",226249
"Schenectady County, New York: Summary level: 050, state:36> county:093",154604
"Steuben County, New York: Summary level: 050, state:36> county:101",97631
"Suffolk County, New York: Summary level: 050, state:36> county:103",1501587
"Sullivan County, New York: Summary level: 050, state:36> county:105",74877
"Tompkins County, New York: Summary level: 050, state:36> county:109",104926
"Ulster County, New York: Summary level: 050, state:36> county:111",180143
"Warren County, New York: Summary level: 050, state:36> county:113",64688
"Wayne County, New York: Summary level: 050, state:36> county:117",91446
"Westchester County, New York: Summary level: 050, state:36> county:119",976396
