,Total,"Less than $10,000:","Less than $10,000:!!With a broadband Internet subscription","$10,000 to $19,999:","$10,000 to $19,999:!!With a broadband Internet subscription","$20,000 to $34,999:","$20,000 to $34,999:!!With a broadband Internet subscription","$35,000 to $49,999:","$35,000 to $49,999:!!With a broadband Internet subscription","$50,000 to $74,999:","$50,000 to $74,999:!!With a broadband Internet subscription","$75,000 or more:","$75,000 or more:!!With a broadband Internet subscription"
"Bronx County, New York: Summary level: 050, state:36> county:005",513890,75619,47809,74752,47866,76570,60083,63007,55063,86831,77911,137111,129165
"Onondaga County, New York: Summary level: 050, state:36> county:067",183218,14820,7242,16217,11063,20430,14567,24055,19679,32096,27758,75600,72756
"Clinton County, New York: Summary level: 050, state:36> county:019",31422,2948,2390,1991,1423,4180,2755,3617,2757,6871,5645,11815,11224
"Putnam County, New York: Summary level: 050, state:36> county:079",34470,763,553,922,850,2466,1706,2374,2186,3620,3367,24325,23691
"Ontario County, New York: Summary level: 050, state:36> county:069",46025,2228,1881,2842,2013,5403,3978,4783,4209,10029,9015,20740,19559
"Steuben County, New York: Summary level: 050, state:36> county:101",39283,2447,1226,4444,3193,6648,4829,4907,4194,6940,6396,13897,13309
"Chautauqua County, New York: Summary level: 050, state:36> county:013",55345,4908,2516,7541,4141,8210,6365,6849,5904,8998,7786,18839,17492
"Kings County, New York: Summary level: 050, state:36> county:047",978091,77053,47695,96818,60482,117569,87018,97196,78678,142753,126788,446702,422592
"Saratoga County, New York: Summary level: 050, state:36> county:091",93547,1834,1353,5153,3682,8940,7033,10050,8713,14542,13388,53028,51805
"Westchester County, New York: Summary level: 050, state:36> county:119",355136,19309,11847,19562,12597,26280,21060,28818,22966,39982,34835,221185,211343
"Richmond County, New York: Summary level: 050, state:36> county:085",166297,6432,4015,10814,5985,13899,8854,17346,12709,24378,19919,93428,86759
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",42832,3657,2167,5292,3090,6783,4847,5124,3810,6570,6142,15406,14258
"Tompkins County, New York: Summary level: 050, state:36> county:109",40322,4057,2635,3049,2597,5326,4233,5219,4297,7240,6226,15431,14887
"Warren County, New York: Summary level: 050, state:36> county:113",29593,1527,1355,2667,1299,3803,2767,3817,3326,5389,4877,12390,12031
"Dutchess County, New York: Summary level: 050, state:36> county:027",110529,5221,3550,7967,5669,11465,9350,8914,7961,16648,15197,60314,58655
"Monroe County, New York: Summary level: 050, state:36> county:055",305284,17368,10718,27584,18817,42107,30622,36905,30104,52686,48010,128634,124693
"Oneida County, New York: Summary level: 050, state:36> county:065",90273,4248,2986,9795,5481,12422,9076,12536,10860,16672,15438,34600,32868
"Ulster County, New York: Summary level: 050, state:36> county:111",69376,4025,2669,6650,4685,8596,6291,8095,6583,10882,10010,31128,30384
"Chemung County, New York: Summary level: 050, state:36> county:015",33490,2933,1256,2470,1509,4210,3219,4217,3635,6851,6008,12809,12250
"Livingston County, New York: Summary level: 050, state:36> county:051",23409,1725,1176,1717,1465,3464,2502,3044,2258,4814,4609,8645,8213
"Madison County, New York: Summary level: 050, state:36> county:053",25986,1194,704,2103,1294,3144,1996,3847,3319,4309,3978,11389,10136
"Albany County, New York: Summary level: 050, state:36> county:001",128284,6554,4368,10606,7037,15347,12036,14138,11424,20606,18019,61033,58232
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",33056,2085,1037,4039,2419,5582,3705,4445,3435,6520,4833,10385,9328
"Schenectady County, New York: Summary level: 050, state:36> county:093",62534,2724,2262,5352,3599,7824,6417,7108,5072,11678,9930,27848,24691
"Rensselaer County, New York: Summary level: 050, state:36> county:083",65790,3644,2100,4484,2816,8022,5570,7423,6470,10875,10104,31342,30170
"Queens County, New York: Summary level: 050, state:36> county:081",784552,44031,26851,53357,34252,89584,65232,82356,71083,127845,113194,387379,365185
"New York County, New York: Summary level: 050, state:36> county:061",768203,70589,43461,61738,38718,60003,48419,49280,42243,81461,73378,445132,432743
"Cayuga County, New York: Summary level: 050, state:36> county:011",31489,1852,948,2939,1909,3529,2672,4801,4060,6187,5609,12181,11478
"Rockland County, New York: Summary level: 050, state:36> county:087",101424,3534,2306,6247,3668,7467,4939,8753,6698,12911,10223,62512,59590
"Niagara County, New York: Summary level: 050, state:36> county:063",90625,7197,4996,7831,4810,13590,10214,12205,10270,15122,14028,34680,33740
"Nassau County, New York: Summary level: 050, state:36> county:059",449798,13366,8987,18058,11731,30084,23339,29022,23667,51874,45902,307394,291927
"Jefferson County, New York: Summary level: 050, state:36> county:045",41214,2740,1749,3444,2275,6436,4943,6052,4977,8360,7633,14182,13633
"Suffolk County, New York: Summary level: 050, state:36> county:103",499744,14721,11913,19570,14172,35888,27803,37560,32209,65714,59463,326291,317570
"Oswego County, New York: Summary level: 050, state:36> county:075",46640,1893,1359,5092,3155,6769,5314,5949,5193,8552,7998,18385,17776
"Wayne County, New York: Summary level: 050, state:36> county:117",36634,2583,1994,2877,1625,5647,4070,4103,3552,6464,5706,14960,14142
"Broome County, New York: Summary level: 050, state:36> county:007",79309,6404,4319,9650,6993,11557,8704,10855,8676,14087,12730,26756,25345
"Erie County, New York: Summary level: 050, state:36> county:029",398326,26321,17430,37628,24638,55622,42765,47660,40461,72592,66166,158503,151890
"Sullivan County, New York: Summary level: 050, state:36> county:105",28960,2464,1753,2746,2185,3758,2730,3266,2256,5161,4841,11565,11187
"Orange County, New York: Summary level: 050, state:36> county:071",131421,6619,4634,10156,5454,10935,8059,12357,10238,17949,16281,73405,70677
