,Total,"Less than $10,000:","Less than $10,000:!!With a broadband Internet subscription","$10,000 to $19,999:","$10,000 to $19,999:!!With a broadband Internet subscription","$20,000 to $34,999:","$20,000 to $34,999:!!With a broadband Internet subscription","$35,000 to $49,999:","$35,000 to $49,999:!!With a broadband Internet subscription","$50,000 to $74,999:","$50,000 to $74,999:!!With a broadband Internet subscription","$75,000 or more:","$75,000 or more:!!With a broadband Internet subscription"
"Albany County, New York: Summary level: 050, state:36> county:001",125329,7803,4986,11901,6748,16284,13157,15123,12077,22922,19275,51296,48769
"Bronx County, New York: Summary level: 050, state:36> county:005",498539,71574,36699,79284,47228,84043,58967,67840,55811,80960,66155,114838,102209
"Broome County, New York: Summary level: 050, state:36> county:007",76957,5005,2801,9839,6005,12964,9389,10260,8267,14868,13655,24021,22514
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",31409,2469,994,3910,1939,5067,3495,5127,3866,6270,4670,8566,7807
"Cayuga County, New York: Summary level: 050, state:36> county:011",30966,1843,1131,2632,1259,4599,2887,5268,4218,6078,5229,10546,9712
"Chautauqua County, New York: Summary level: 050, state:36> county:013",51705,3895,2552,7229,3737,9946,6483,8372,6422,8805,7435,13458,11961
"Chemung County, New York: Summary level: 050, state:36> county:015",34418,2593,1492,4026,2200,6112,3953,3848,2918,5873,5251,11966,11107
"Clinton County, New York: Summary level: 050, state:36> county:019",30624,1737,802,3573,1580,4517,3326,4112,3418,6284,5425,10401,9524
"Dutchess County, New York: Summary level: 050, state:36> county:027",108200,4040,3134,7639,4377,12792,9817,12296,10347,17832,15539,53601,51700
"Erie County, New York: Summary level: 050, state:36> county:029",380473,31128,17529,41461,23485,55910,37942,46731,37185,66704,58959,138539,132470
"Jefferson County, New York: Summary level: 050, state:36> county:045",41415,3493,2569,4076,2390,7976,6031,6717,5490,6001,5328,13152,12515
"Kings County, New York: Summary level: 050, state:36> county:047",941871,100789,53978,103218,61073,128028,91504,103595,82342,139870,116851,366371,340837
"Livingston County, New York: Summary level: 050, state:36> county:051",23904,1684,1423,2252,1666,2924,1968,4319,3100,5221,4355,7504,7317
"Madison County, New York: Summary level: 050, state:36> county:053",25612,1242,755,2414,1150,3926,2582,2975,2241,4778,3970,10277,9559
"Monroe County, New York: Summary level: 050, state:36> county:055",299224,24726,14027,27938,18506,44838,32457,39125,32216,51928,45776,110669,106630
"Nassau County, New York: Summary level: 050, state:36> county:059",440785,13005,8346,18825,10896,38134,28641,32535,26696,51911,45559,286375,276998
"New York County, New York: Summary level: 050, state:36> county:061",748293,70459,40429,67805,39633,75651,54736,54840,43124,93012,80360,386526,366527
"Niagara County, New York: Summary level: 050, state:36> county:063",86786,5735,2672,9213,4637,14503,9433,13750,10456,13195,11221,30390,28430
"Oneida County, New York: Summary level: 050, state:36> county:065",87929,6774,4040,9170,5515,13175,8185,11863,10184,18321,15304,28626,26574
"Onondaga County, New York: Summary level: 050, state:36> county:067",182984,14358,6693,18226,9562,24589,16542,23939,17706,31319,27394,70553,63986
"Ontario County, New York: Summary level: 050, state:36> county:069",45187,1731,1191,3169,1812,6867,4773,7801,6737,8349,7328,17270,16393
"Orange County, New York: Summary level: 050, state:36> county:071",124365,7015,2295,9448,3746,14578,8920,14447,11040,17820,14261,61057,55968
"Oswego County, New York: Summary level: 050, state:36> county:075",44633,2881,1937,5422,3463,6015,4437,6741,5898,9063,8114,14511,13843
"Putnam County, New York: Summary level: 050, state:36> county:079",34762,275,275,2149,1681,2652,2522,3272,2954,4676,4213,21738,20840
"Queens County, New York: Summary level: 050, state:36> county:081",761819,52812,29414,67191,39720,102495,73902,92255,72291,128469,111360,318597,295429
"Rensselaer County, New York: Summary level: 050, state:36> county:083",62816,2839,1722,5220,3232,9307,6566,7487,5905,10810,9534,27153,26160
"Richmond County, New York: Summary level: 050, state:36> county:085",164289,15099,6004,10441,5714,17338,10611,14125,10470,22630,19179,84656,78223
"Rockland County, New York: Summary level: 050, state:36> county:087",99257,3953,1570,6388,2266,10233,5556,9199,7037,15254,11687,54230,50451
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",40479,2615,1618,5010,2940,7022,5189,4699,3699,8493,7206,12640,11955
"Saratoga County, New York: Summary level: 050, state:36> county:091",93703,3748,1946,4638,2779,10391,7610,10818,9193,16539,14784,47569,45661
"Schenectady County, New York: Summary level: 050, state:36> county:093",48720,1933,1314,5474,3847,8255,6768,5858,4507,7988,7085,19212,17974
"Steuben County, New York: Summary level: 050, state:36> county:101",38458,1629,879,3756,1822,8010,6020,5516,4369,7811,6582,11736,10893
"Suffolk County, New York: Summary level: 050, state:36> county:103",474311,16665,11226,24813,14687,43898,30868,37729,30678,68695,60750,282511,261808
"Sullivan County, New York: Summary level: 050, state:36> county:105",25031,1679,1240,2690,1528,4728,2801,3370,2095,3365,2953,9199,8945
"Tompkins County, New York: Summary level: 050, state:36> county:109",37683,4465,3151,3465,2551,4166,3525,4341,3472,7432,6885,13814,13452
"Ulster County, New York: Summary level: 050, state:36> county:111",68298,3375,2524,7383,4894,10450,8261,6528,5602,12292,10776,28270,26555
"Warren County, New York: Summary level: 050, state:36> county:113",28841,1441,753,3028,1465,3774,2820,4310,3262,5255,4931,11033,9952
"Wayne County, New York: Summary level: 050, state:36> county:117",37496,1325,1079,3075,1683,5154,3383,6017,4810,8185,7429,13740,12442
"Westchester County, New York: Summary level: 050, state:36> county:119",342216,18355,11045,23318,13791,34023,24266,30593,23343,43956,37724,191971,183577
