,Total,"Less than $10,000:","Less than $10,000:!!With a broadband Internet subscription","$10,000 to $19,999:","$10,000 to $19,999:!!With a broadband Internet subscription","$20,000 to $34,999:","$20,000 to $34,999:!!With a broadband Internet subscription","$35,000 to $49,999:","$35,000 to $49,999:!!With a broadband Internet subscription","$50,000 to $74,999:","$50,000 to $74,999:!!With a broadband Internet subscription","$75,000 or more:","$75,000 or more:!!With a broadband Internet subscription"
"Rensselaer County, New York: Summary level: 050, state:36> county:083",64614,3242,2277,4175,2748,7045,4978,6982,6260,12946,11816,30224,29379
"Chautauqua County, New York: Summary level: 050, state:36> county:013",53429,3557,1626,8157,4814,9761,7148,7204,5723,9282,8224,15468,14716
"Clinton County, New York: Summary level: 050, state:36> county:019",31392,1982,1249,2855,1899,3524,2583,4703,4340,6490,5802,11838,10960
"New York County, New York: Summary level: 050, state:36> county:061",752258,63965,39995,66510,42492,68995,55305,57562,47588,85761,75109,409465,396045
"Saratoga County, New York: Summary level: 050, state:36> county:091",94156,2510,1299,4868,3189,8977,6432,9898,8488,15814,14818,52089,50427
"Tompkins County, New York: Summary level: 050, state:36> county:109",40250,2899,1951,3712,3039,5875,4549,5249,4226,7034,6181,15481,14941
"Oneida County, New York: Summary level: 050, state:36> county:065",88871,6084,4374,9622,6299,14037,10582,11557,9589,16885,15473,30686,29156
"Oswego County, New York: Summary level: 050, state:36> county:075",46270,3616,2298,4787,3320,6791,5543,6402,5324,7715,6787,16959,16115
"Nassau County, New York: Summary level: 050, state:36> county:059",447123,14171,9916,19517,12894,33498,25442,29950,23810,46128,41124,303859,294561
"Orange County, New York: Summary level: 050, state:36> county:071",128259,5846,3879,11161,6927,15200,11373,13144,10404,18045,15577,64863,60861
"Rockland County, New York: Summary level: 050, state:36> county:087",99502,3561,2484,8225,4195,9718,6983,7926,6196,13628,11295,56444,53729
"Ontario County, New York: Summary level: 050, state:36> county:069",44079,1945,1370,3775,2423,5350,4503,5836,5364,8689,7418,18484,17638
"Chemung County, New York: Summary level: 050, state:36> county:015",34325,2848,1609,3092,1997,6052,5174,4277,3701,6734,6087,11322,10202
"Jefferson County, New York: Summary level: 050, state:36> county:045",44657,3698,2412,3055,2003,7950,6655,6229,4937,10006,8876,13719,13206
"Erie County, New York: Summary level: 050, state:36> county:029",390341,26160,16358,37361,23499,59546,45099,48666,40824,71038,63195,147570,141457
"Ulster County, New York: Summary level: 050, state:36> county:111",69154,3619,3169,6255,4359,8438,6375,7960,6568,12572,11357,30310,29469
"Westchester County, New York: Summary level: 050, state:36> county:119",352498,16360,10434,23259,15027,33333,25193,27857,22917,44584,38224,207105,200045
"Warren County, New York: Summary level: 050, state:36> county:113",28007,1238,854,2590,1771,4123,2441,4010,2895,5427,4758,10619,9989
"Niagara County, New York: Summary level: 050, state:36> county:063",89765,6607,4525,10604,6569,12093,8768,11393,8770,15608,13625,33460,31233
"Putnam County, New York: Summary level: 050, state:36> county:079",35425,593,476,1528,1209,2446,1597,2912,2129,5612,5276,22334,21744
"Livingston County, New York: Summary level: 050, state:36> county:051",23746,1110,949,2724,1909,2755,2178,3312,2466,4714,4304,9131,8718
"Suffolk County, New York: Summary level: 050, state:36> county:103",496784,17619,13479,26931,18857,37832,29473,38388,32150,64488,58616,311526,298161
"Cayuga County, New York: Summary level: 050, state:36> county:011",30083,1551,846,3026,1641,4103,3022,5663,4920,4972,4255,10768,9868
"Kings County, New York: Summary level: 050, state:36> county:047",969317,88792,54759,103671,61032,123633,92190,99621,79502,135502,119948,418098,394340
"Onondaga County, New York: Summary level: 050, state:36> county:067",185046,12158,5645,18113,9991,24542,17586,22702,16480,31851,27564,75680,71786
"Albany County, New York: Summary level: 050, state:36> county:001",126578,7509,5455,9014,4637,17822,13302,15523,13406,20486,17881,56224,53518
"Madison County, New York: Summary level: 050, state:36> county:053",26127,1148,666,2312,1241,3455,3107,3669,3030,5479,5017,10064,9548
"Queens County, New York: Summary level: 050, state:36> county:081",788110,43159,27889,60943,38632,100199,78348,86634,72096,132482,118703,364693,344133
"Wayne County, New York: Summary level: 050, state:36> county:117",35927,1121,703,3166,1725,4791,3750,5088,4426,7414,6305,14347,13166
"Bronx County, New York: Summary level: 050, state:36> county:005",507370,76862,46187,77273,47528,83457,62786,63280,52477,78932,70511,127566,118845
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",41680,2717,1589,5556,3585,6275,4456,6409,4735,7109,6235,13614,13393
"Richmond County, New York: Summary level: 050, state:36> county:085",167441,11541,6886,12020,7042,15245,9734,14030,11133,22603,19014,92002,86094
"Schenectady County, New York: Summary level: 050, state:36> county:093",55262,3107,2075,5645,3606,6890,5127,6113,5124,9549,8588,23958,22679
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",32079,1771,885,3919,2176,6083,3894,4826,3645,5885,5294,9595,8465
"Monroe County, New York: Summary level: 050, state:36> county:055",301668,21035,13330,30153,19457,43168,33570,35387,30918,50406,46438,121519,117497
"Sullivan County, New York: Summary level: 050, state:36> county:105",28900,1592,748,4366,2988,4107,3117,3832,2881,4849,4327,10154,9636
"Broome County, New York: Summary level: 050, state:36> county:007",75539,6464,4827,9027,6632,12519,9403,8947,7874,13775,12231,24807,24003
"Dutchess County, New York: Summary level: 050, state:36> county:027",108071,5436,3482,8603,5700,11856,9631,9314,7694,15246,13875,57616,55905
"Steuben County, New York: Summary level: 050, state:36> county:101",40578,2441,1268,4369,2730,6467,4988,5075,4451,8403,7207,13823,12587
