,Total,"Less than $10,000:","Less than $10,000:!!With a broadband Internet subscription","$10,000 to $19,999:","$10,000 to $19,999:!!With a broadband Internet subscription","$20,000 to $34,999:","$20,000 to $34,999:!!With a broadband Internet subscription","$35,000 to $49,999:","$35,000 to $49,999:!!With a broadband Internet subscription","$50,000 to $74,999:","$50,000 to $74,999:!!With a broadband Internet subscription","$75,000 or more:","$75,000 or more:!!With a broadband Internet subscription"
"Albany County, New York: Summary level: 050, state:36> county:001",124716,7884,5112,11366,6126,16289,9905,17158,13155,21097,17831,50922,48358
"Bronx County, New York: Summary level: 050, state:36> county:005",492481,80863,38940,85949,43174,83939,52741,68077,49256,74277,58681,99376,85787
"Broome County, New York: Summary level: 050, state:36> county:007",78810,8032,4273,9181,4241,12857,8602,11340,8468,14838,12402,22562,20801
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",30735,2162,746,4325,1348,5772,2880,4305,2655,6233,4798,7938,7038
"Cayuga County, New York: Summary level: 050, state:36> county:011",31290,1857,994,3446,1343,4878,2799,4378,3412,7355,5430,9376,8248
"Chautauqua County, New York: Summary level: 050, state:36> county:013",52916,4847,2127,8228,3733,9133,4740,8727,6382,9558,7553,12423,11081
"Chemung County, New York: Summary level: 050, state:36> county:015",34617,3337,1051,3408,1449,5361,3246,5105,3842,6493,5394,10913,10118
"Clinton County, New York: Summary level: 050, state:36> county:019",31426,2720,1521,3200,1554,4770,2744,4132,3251,6213,5168,10391,9352
"Dutchess County, New York: Summary level: 050, state:36> county:027",104190,4746,2097,8304,3770,12283,7763,11196,7883,17933,15016,49728,45687
"Erie County, New York: Summary level: 050, state:36> county:029",383657,30495,13069,43776,18154,63491,36797,53532,38868,65164,54336,127199,118099
"Jefferson County, New York: Summary level: 050, state:36> county:045",43516,3047,1795,4526,2045,6090,4700,7553,6459,10078,8174,12222,11075
"Kings County, New York: Summary level: 050, state:36> county:047",942402,110797,51480,115058,53091,139058,90268,118042,84452,144922,116550,314525,283478
"Livingston County, New York: Summary level: 050, state:36> county:051",25334,1535,671,3179,1858,4548,2896,3773,2482,4687,3954,7612,6682
"Madison County, New York: Summary level: 050, state:36> county:053",25932,1381,623,1813,856,4690,2966,4616,3347,5276,4556,8156,7483
"Monroe County, New York: Summary level: 050, state:36> county:055",298271,20996,10759,30335,16085,51017,28385,43124,31676,52993,45054,99806,92767
"Nassau County, New York: Summary level: 050, state:36> county:059",440168,13805,8113,23048,11847,39932,27453,32499,23991,59032,49362,271852,257126
"New York County, New York: Summary level: 050, state:36> county:061",762228,78800,39046,67609,35279,76487,53188,61721,46023,92138,74621,385473,358861
"Niagara County, New York: Summary level: 050, state:36> county:063",86907,7116,2369,10056,4249,14454,7346,11998,8364,17874,13969,25409,22346
"Oneida County, New York: Summary level: 050, state:36> county:065",90583,5958,2739,10889,5396,17981,10394,11455,8518,18328,15835,25972,23710
"Onondaga County, New York: Summary level: 050, state:36> county:067",185474,14996,7469,19375,9979,27588,16736,25433,19339,35309,30181,62773,59138
"Ontario County, New York: Summary level: 050, state:36> county:069",43581,1682,1038,4422,2415,7783,4745,5321,4363,8306,6597,16067,14432
"Orange County, New York: Summary level: 050, state:36> county:071",124587,8417,2736,10249,4109,13027,6777,13508,8598,20486,14133,58900,49601
"Oswego County, New York: Summary level: 050, state:36> county:075",45646,3750,2073,5775,2199,7594,4755,6476,5280,8075,6552,13976,12556
"Putnam County, New York: Summary level: 050, state:36> county:079",34234,622,299,1570,571,3570,2965,2568,2133,4527,3929,21377,20544
"Queens County, New York: Summary level: 050, state:36> county:081",785985,59255,32425,75303,42681,110008,71559,97569,77125,145797,123356,298053,268889
"Rensselaer County, New York: Summary level: 050, state:36> county:083",63289,3411,1979,5324,2925,9298,5869,8347,6880,12309,10119,24600,23423
"Richmond County, New York: Summary level: 050, state:36> county:085",164971,13820,7292,14796,9331,18803,11726,15187,11524,23594,19367,78771,71998
"Rockland County, New York: Summary level: 050, state:36> county:087",98873,3191,1027,8711,3357,9640,4981,10080,6361,13115,10159,54136,49962
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",40286,2905,1449,5979,3032,7882,4313,5134,4113,7374,6374,11012,9803
"Saratoga County, New York: Summary level: 050, state:36> county:091",90964,2750,1780,5875,3343,10278,6519,11210,9205,16876,13961,43975,42212
"Schenectady County, New York: Summary level: 050, state:36> county:093",56255,3838,2016,5493,2528,8072,5455,6738,5197,11264,9210,20850,19484
"Steuben County, New York: Summary level: 050, state:36> county:101",41046,3414,1413,5655,1539,6574,3821,6127,4615,8135,5886,11141,9863
"Suffolk County, New York: Summary level: 050, state:36> county:103",493287,19499,12042,28602,16603,44622,31916,47617,38249,75945,63744,277002,258758
"Sullivan County, New York: Summary level: 050, state:36> county:105",27524,2236,1135,3178,1547,4463,3022,3452,2513,5417,4014,8778,8434
"Tompkins County, New York: Summary level: 050, state:36> county:109",38120,4605,3452,2780,1374,6002,4313,5252,4451,5951,5471,13530,11975
"Ulster County, New York: Summary level: 050, state:36> county:111",69522,4274,2329,8101,4241,10854,6203,8073,6591,11023,10041,27197,25001
"Warren County, New York: Summary level: 050, state:36> county:113",26193,1852,1071,2639,1773,3702,2414,3599,3072,5234,4198,9167,8504
"Wayne County, New York: Summary level: 050, state:36> county:117",35577,1852,791,3791,1482,8713,3710,4401,2666,6563,5037,10257,9175
"Westchester County, New York: Summary level: 050, state:36> county:119",342557,19402,10614,20766,10672,35469,22348,32133,22986,49256,40467,185531,174653
