,Total,"Less than $10,000:","Less than $10,000:!!With a broadband Internet subscription","$10,000 to $19,999:","$10,000 to $19,999:!!With a broadband Internet subscription","$20,000 to $34,999:","$20,000 to $34,999:!!With a broadband Internet subscription","$35,000 to $49,999:","$35,000 to $49,999:!!With a broadband Internet subscription","$50,000 to $74,999:","$50,000 to $74,999:!!With a broadband Internet subscription","$75,000 or more:","$75,000 or more:!!With a broadband Internet subscription"
"Albany County, New York: Summary level: 050, state:36> county:001",124144,7473,5028,10726,6855,13900,9993,16215,13019,20841,17247,54989,52522
"Bronx County, New York: Summary level: 050, state:36> county:005",503985,73579,42555,80974,50311,83475,62101,65518,52704,79812,70135,120627,112973
"Broome County, New York: Summary level: 050, state:36> county:007",78604,7616,5314,9219,4841,12403,8865,11464,8932,13379,12071,24523,23591
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",32360,2756,1043,4163,1672,5148,3255,4520,3294,6729,5952,9044,8301
"Cayuga County, New York: Summary level: 050, state:36> county:011",30870,1930,1230,3043,1260,5026,3439,4004,3277,5248,4502,11619,10604
"Chautauqua County, New York: Summary level: 050, state:36> county:013",51985,4543,2214,6942,4085,8944,6096,7654,5944,10120,8884,13782,12953
"Chemung County, New York: Summary level: 050, state:36> county:015",32247,2934,2360,2837,1951,4734,3216,5312,4299,5389,4583,11041,10620
"Clinton County, New York: Summary level: 050, state:36> county:019",31493,1627,1034,2855,1911,5175,3647,3753,3058,6831,5788,11252,10554
"Dutchess County, New York: Summary level: 050, state:36> county:027",106043,3763,2734,8437,5341,12052,8742,10286,9087,16075,14906,55430,53610
"Erie County, New York: Summary level: 050, state:36> county:029",386396,29098,18396,40277,23251,58939,40905,48654,40297,69390,62617,140038,134316
"Jefferson County, New York: Summary level: 050, state:36> county:045",41548,3289,1874,4465,3534,6967,5462,7297,6213,8468,7907,11062,10439
"Kings County, New York: Summary level: 050, state:36> county:047",956223,109245,65188,96751,52588,122662,90974,105702,85930,134416,115997,387447,363745
"Livingston County, New York: Summary level: 050, state:36> county:051",24725,2083,1667,1920,1051,4140,3269,2816,2327,5217,5042,8549,8136
"Madison County, New York: Summary level: 050, state:36> county:053",26024,1506,765,2316,1458,3891,2629,3931,3310,5133,4541,9247,8792
"Monroe County, New York: Summary level: 050, state:36> county:055",301619,21727,13040,29941,18623,43463,32306,38299,33136,53244,47509,114945,110225
"Nassau County, New York: Summary level: 050, state:36> county:059",446978,14351,9079,20560,12538,30745,21855,33947,27613,54157,48423,293218,282747
"New York County, New York: Summary level: 050, state:36> county:061",764218,68870,40651,70277,41950,72062,54415,51323,43501,88978,79366,412708,395073
"Niagara County, New York: Summary level: 050, state:36> county:063",88659,5131,2866,8720,4207,13596,9317,12399,10042,17307,14483,31506,29749
"Oneida County, New York: Summary level: 050, state:36> county:065",88790,6782,4390,9582,5822,13437,9848,11033,9025,17642,15119,30314,27893
"Onondaga County, New York: Summary level: 050, state:36> county:067",185709,12946,7338,16900,9317,26910,18032,22887,17798,35723,29447,70343,65193
"Ontario County, New York: Summary level: 050, state:36> county:069",44414,2132,1319,3265,1950,6319,4880,5733,4148,7570,6824,19395,18516
"Orange County, New York: Summary level: 050, state:36> county:071",127517,4324,2455,9357,4735,13547,10101,12884,10000,20558,16817,66847,61914
"Oswego County, New York: Summary level: 050, state:36> county:075",45971,3401,2405,3628,2511,6939,5449,7372,6737,9288,7802,15343,14914
"Putnam County, New York: Summary level: 050, state:36> county:079",34549,986,735,1556,939,2845,2316,2238,2005,5142,4493,21782,21082
"Queens County, New York: Summary level: 050, state:36> county:081",769258,45036,28224,60602,38247,99890,71110,92088,77769,136544,118528,335098,314527
"Rensselaer County, New York: Summary level: 050, state:36> county:083",66127,4621,3018,5229,2959,7425,5057,8340,7033,12591,11419,27921,26503
"Richmond County, New York: Summary level: 050, state:36> county:085",165990,13296,6432,13132,7405,15644,10324,14665,10402,23250,21142,86003,77811
"Rockland County, New York: Summary level: 050, state:36> county:087",100167,3752,2310,6192,2910,11552,7835,8242,6687,14215,12003,56214,52819
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",41008,2160,1208,5584,3588,6500,4765,6119,4816,8212,7529,12433,11950
"Saratoga County, New York: Summary level: 050, state:36> county:091",97021,3992,2115,6294,4924,8038,6008,10663,8805,14171,13317,53863,52115
"Schenectady County, New York: Summary level: 050, state:36> county:093",49022,3137,2337,5099,3969,6658,5354,5473,4732,7161,6723,21494,20057
"Steuben County, New York: Summary level: 050, state:36> county:101",38382,2259,1294,3383,1842,6325,4430,6808,5353,7809,6666,11798,11036
"Suffolk County, New York: Summary level: 050, state:36> county:103",482099,18853,12326,25266,15307,38331,26876,43983,34431,66515,57663,289151,272088
"Sullivan County, New York: Summary level: 050, state:36> county:105",25916,1728,1159,2894,1477,3536,2308,3298,2807,5202,4108,9258,8624
"Tompkins County, New York: Summary level: 050, state:36> county:109",40230,4632,3638,3394,2077,6568,4911,3311,2851,7744,6692,14581,13816
"Ulster County, New York: Summary level: 050, state:36> county:111",68822,3142,2355,6397,4754,8886,7277,8809,7800,13082,12081,28506,27374
"Warren County, New York: Summary level: 050, state:36> county:113",27595,933,711,2276,1076,4233,2667,4009,3293,4567,4278,11577,11031
"Wayne County, New York: Summary level: 050, state:36> county:117",36715,3025,1246,3458,2068,5781,4234,5455,4872,7739,6450,11257,10666
"Westchester County, New York: Summary level: 050, state:36> county:119",350919,15144,10869,21587,13567,37195,23537,30444,23615,48075,39731,198474,189440
