,Total,"Less than $10,000:","Less than $10,000:!!With a broadband Internet subscription","$10,000 to $19,999:","$10,000 to $19,999:!!With a broadband Internet subscription","$20,000 to $34,999:","$20,000 to $34,999:!!With a broadband Internet subscription","$35,000 to $49,999:","$35,000 to $49,999:!!With a broadband Internet subscription","$50,000 to $74,999:","$50,000 to $74,999:!!With a broadband Internet subscription","$75,000 or more:","$75,000 or more:!!With a broadband Internet subscription"
"Albany County, New York: Summary level: 050, state:36> county:001",123251,7473,3300,12977,6306,18438,11019,15759,11973,21348,17681,47256,44390
"Bronx County, New York: Summary level: 050, state:36> county:005",481143,80215,36888,78926,42147,87915,57436,62081,45787,72942,57657,99064,84613
"Broome County, New York: Summary level: 050, state:36> county:007",76714,6606,3057,10604,5388,13220,7721,10709,8360,13746,12132,21829,19902
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",32271,2119,746,4632,1136,7275,3826,5407,3468,5375,4088,7463,6420
"Cayuga County, New York: Summary level: 050, state:36> county:011",30784,2562,809,3727,1742,4725,2491,4324,3394,5851,4460,9595,8476
"Chautauqua County, New York: Summary level: 050, state:36> county:013",54551,5305,1903,7799,3878,10972,6123,8305,5631,10241,8369,11929,10579
"Chemung County, New York: Summary level: 050, state:36> county:015",35838,2798,754,5015,1937,5875,3258,6089,4207,6026,5126,10035,9636
"Clinton County, New York: Summary level: 050, state:36> county:019",31862,1953,792,4602,2172,6312,4169,4605,3253,5935,4736,8455,7544
"Dutchess County, New York: Summary level: 050, state:36> county:027",107752,4378,2167,7870,3977,15302,10580,10476,8215,18318,15756,51408,48296
"Erie County, New York: Summary level: 050, state:36> county:029",381927,32418,11644,43708,17947,59079,32697,51312,36915,73138,59162,122272,113536
"Jefferson County, New York: Summary level: 050, state:36> county:045",42466,3314,2236,4737,2558,6794,4451,7288,5045,8962,7833,11371,10670
"Kings County, New York: Summary level: 050, state:36> county:047",925489,108318,46795,115462,55869,139231,89550,112562,82315,150225,117854,299691,264478
"Livingston County, New York: Summary level: 050, state:36> county:051",23853,1526,819,2452,971,3969,2593,3291,2326,4315,3404,8300,7582
"Madison County, New York: Summary level: 050, state:36> county:053",26518,1500,851,2764,1165,4367,3370,3755,2365,5477,4822,8655,7849
"Monroe County, New York: Summary level: 050, state:36> county:055",298314,24601,10708,31257,13242,47470,27743,40346,29725,55698,47589,98942,92365
"Nassau County, New York: Summary level: 050, state:36> county:059",438588,13824,7519,23413,11931,39833,25027,38073,29280,57909,49016,265536,247831
"New York County, New York: Summary level: 050, state:36> county:061",726357,73812,38019,70141,37176,77406,52725,61634,48468,86401,71285,356963,332305
"Niagara County, New York: Summary level: 050, state:36> county:063",87970,6540,2534,10880,3709,16868,8899,11717,7672,17072,13430,24893,23026
"Oneida County, New York: Summary level: 050, state:36> county:065",89648,7896,3140,11721,5538,17524,11306,12869,8751,16273,13908,23365,20886
"Onondaga County, New York: Summary level: 050, state:36> county:067",184316,15833,6598,17871,8418,28761,16906,25409,19493,33900,28329,62542,59130
"Ontario County, New York: Summary level: 050, state:36> county:069",43028,2086,1195,4071,1506,6424,3243,5220,3767,8581,7779,16646,15397
"Orange County, New York: Summary level: 050, state:36> county:071",123977,6483,2560,10153,5157,15206,8869,14414,10429,20702,17397,57019,51309
"Oswego County, New York: Summary level: 050, state:36> county:075",45327,3530,1030,5536,2845,8432,5851,6230,4853,7405,6232,14194,12774
"Putnam County, New York: Summary level: 050, state:36> county:079",32251,1171,572,1793,1000,2903,2070,1727,1540,4804,4098,19853,18496
"Queens County, New York: Summary level: 050, state:36> county:081",784243,57242,27401,75803,38727,112734,69261,103848,74163,136045,110086,298571,266251
"Rensselaer County, New York: Summary level: 050, state:36> county:083",63981,3926,1772,6463,3840,8443,5059,9370,7071,12326,9786,23453,21903
"Richmond County, New York: Summary level: 050, state:36> county:085",167629,11574,6206,13395,6642,19608,13251,16109,11839,28714,21789,78229,71328
"Rockland County, New York: Summary level: 050, state:36> county:087",98294,4625,2046,8258,3367,11447,5713,8092,5173,13193,10661,52679,47773
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",41299,4100,1239,5579,2423,6308,3763,6429,3681,8865,7145,10018,9036
"Saratoga County, New York: Summary level: 050, state:36> county:091",90397,3475,1493,6796,3347,10645,6121,10012,7428,16245,14133,43224,40530
"Schenectady County, New York: Summary level: 050, state:36> county:093",57526,3730,1649,7240,2737,7493,3849,8301,5911,10475,8501,20287,19182
"Steuben County, New York: Summary level: 050, state:36> county:101",41241,2935,1417,5605,2156,7688,4322,5456,3949,7927,6566,11630,9956
"Suffolk County, New York: Summary level: 050, state:36> county:103",496958,18129,9226,33596,18348,48123,31419,45366,35308,74219,63138,277525,259758
"Sullivan County, New York: Summary level: 050, state:36> county:105",27508,2237,632,4081,2017,3841,2796,4186,3474,5921,4667,7242,6433
"Tompkins County, New York: Summary level: 050, state:36> county:109",37524,3318,2624,4132,2814,6513,4346,5274,3733,6010,5210,12277,10802
"Ulster County, New York: Summary level: 050, state:36> county:111",68650,3808,2317,5935,3089,12012,7958,7106,5713,14357,10913,25432,22223
"Warren County, New York: Summary level: 050, state:36> county:113",27228,972,262,2945,1661,4298,2398,3877,3255,6091,5484,9045,8307
"Wayne County, New York: Summary level: 050, state:36> county:117",35349,1672,593,3261,1206,7328,2895,5299,3150,7962,6500,9827,8990
"Westchester County, New York: Summary level: 050, state:36> county:119",341755,16392,7161,24614,11239,35932,21803,30996,22620,46811,38005,187010,175359
