,Total,Income in the past 12 months below the poverty level,Income in the past 12 months below the poverty level!!Enrolled in school,"Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool",Income in the past 12 months at or above the poverty level,Income in the past 12 months at or above the poverty level!!Enrolled in school,"Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool",Income in the past 12 months below poverty level:!!Male:!!Under 5 years,Income in the past 12 months below poverty level:!!Female:!!Under 5 years,Income in the past 12 months at or above poverty level:!!Male:!!Under 5 years,Income in the past 12 months at or above poverty level:!!Female:!!Under 5 years
"Albany County, New York: Summary level: 050, state:36> county:001",284050,33236,12873,533,250814,59384,4146,1369,2066,6365,5480
"Bronx County, New York: Summary level: 050, state:36> county:005",1358827,383042,142269,10169,975785,256761,12821,21955,20135,30303,31455
"Broome County, New York: Summary level: 050, state:36> county:007",179478,29184,13769,742,150294,34199,2237,1289,1110,3365,3800
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",72817,10084,2883,116,62733,14165,970,291,465,2059,1779
"Cayuga County, New York: Summary level: 050, state:36> county:011",71346,7996,2198,199,63350,13581,483,382,414,1496,1420
"Chautauqua County, New York: Summary level: 050, state:36> county:013",120394,23590,7840,793,96804,18961,1045,1539,1134,2125,2346
"Chemung County, New York: Summary level: 050, state:36> county:015",78440,11035,3915,235,67405,14680,956,367,307,2015,1970
"Clinton County, New York: Summary level: 050, state:36> county:019",71041,9648,2247,24,61393,11811,343,478,416,1337,1151
"Dutchess County, New York: Summary level: 050, state:36> county:027",269425,23704,6889,565,245721,56415,2918,958,1135,4701,5874
"Erie County, New York: Summary level: 050, state:36> county:029",865290,119577,41989,1789,745713,164007,9127,7076,5021,18515,18882
"Jefferson County, New York: Summary level: 050, state:36> county:045",101323,15684,5427,314,85639,19116,1163,951,1085,3411,3408
"Kings County, New York: Summary level: 050, state:36> county:047",2489302,505288,174040,11519,1984014,470084,38156,24532,27672,72610,65592
"Livingston County, New York: Summary level: 050, state:36> county:051",56171,8192,4322,184,47979,8924,513,485,108,961,1016
"Madison County, New York: Summary level: 050, state:36> county:053",64337,5229,1025,0,59108,11843,458,164,63,1591,1398
"Monroe County, New York: Summary level: 050, state:36> county:055",698771,101909,41603,2139,596862,134032,7382,5248,4651,15425,15361
"Nassau County, New York: Summary level: 050, state:36> county:059",1300293,76066,26013,1967,1224227,310598,20024,3441,3229,33442,32564
"New York County, New York: Summary level: 050, state:36> county:061",1548862,267902,87761,5112,1280960,210915,19415,7880,7883,32808,31060
"Niagara County, New York: Summary level: 050, state:36> county:063",201899,23245,6435,381,178654,38455,2026,2022,1396,3341,3641
"Oneida County, New York: Summary level: 050, state:36> county:065",211882,33047,11814,1553,178835,35945,1530,2289,2132,4116,3839
"Onondaga County, New York: Summary level: 050, state:36> county:067",432534,63256,22824,918,369278,84702,4732,3565,2165,9678,10327
"Ontario County, New York: Summary level: 050, state:36> county:069",103423,9342,3293,74,94081,20320,788,401,439,2243,2153
"Orange County, New York: Summary level: 050, state:36> county:071",355667,42343,15469,969,313324,83031,5189,2869,3415,9397,8565
"Oswego County, New York: Summary level: 050, state:36> county:075",109086,19089,6558,150,89997,17408,811,738,964,2805,2438
"Putnam County, New York: Summary level: 050, state:36> county:079",95286,5685,1197,0,89601,20449,880,0,0,1750,1923
"Queens County, New York: Summary level: 050, state:36> county:081",2221039,290489,93608,4909,1930550,452590,27019,11891,11410,61572,57560
"Rensselaer County, New York: Summary level: 050, state:36> county:083",148466,16530,6728,228,131936,26104,1283,1206,855,2757,3721
"Richmond County, New York: Summary level: 050, state:36> county:085",454432,58408,18949,652,396024,97394,5741,1343,3212,12277,9747
"Rockland County, New York: Summary level: 050, state:36> county:087",308449,43549,22318,2345,264900,71664,4401,3465,4367,8582,8454
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",94153,15729,5518,141,78424,16003,1389,573,685,2330,2039
"Saratoga County, New York: Summary level: 050, state:36> county:091",216619,12184,1707,168,204435,47434,3658,897,303,5212,5050
"Schenectady County, New York: Summary level: 050, state:36> county:093",144786,13970,3786,426,130816,32411,2217,616,880,2743,4813
"Steuben County, New York: Summary level: 050, state:36> county:101",91693,10549,3015,289,81144,16349,650,730,824,1863,1711
"Suffolk County, New York: Summary level: 050, state:36> county:103",1421119,102082,33197,842,1319037,322797,19502,3444,3925,35063,33725
"Sullivan County, New York: Summary level: 050, state:36> county:105",69897,10095,2059,153,59802,13215,888,185,681,2048,1163
"Tompkins County, New York: Summary level: 050, state:36> county:109",88719,17912,11413,159,70807,16367,1274,320,510,1771,1525
"Ulster County, New York: Summary level: 050, state:36> county:111",166769,23193,5702,124,143576,28231,1662,870,737,3166,2668
"Warren County, New York: Summary level: 050, state:36> county:113",62054,6912,1735,299,55142,10453,404,392,723,1089,880
"Wayne County, New York: Summary level: 050, state:36> county:117",86507,8214,3659,231,78293,14676,704,60,175,1771,1660
"Westchester County, New York: Summary level: 050, state:36> county:119",920392,90806,24830,757,829586,210845,15958,2145,3172,25651,23188
