,Total,Income in the past 12 months below the poverty level,Income in the past 12 months below the poverty level!!Enrolled in school,"Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool",Income in the past 12 months at or above the poverty level,Income in the past 12 months at or above the poverty level!!Enrolled in school,"Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool",Income in the past 12 months below poverty level:!!Male:!!Under 5 years,Income in the past 12 months below poverty level:!!Female:!!Under 5 years,Income in the past 12 months at or above poverty level:!!Male:!!Under 5 years,Income in the past 12 months at or above poverty level:!!Female:!!Under 5 years
"Albany County, New York: Summary level: 050, state:36> county:001",283855,37891,13317,284,245964,53113,2840,1038,2392,5577,6330
"Bronx County, New York: Summary level: 050, state:36> county:005",1340994,416603,153039,8044,924391,228690,12770,21880,20980,31477,30230
"Broome County, New York: Summary level: 050, state:36> county:007",181240,30656,10884,831,150584,31512,1718,1476,1425,3665,4040
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",73071,10990,2821,113,62081,14059,984,533,703,1476,1789
"Cayuga County, New York: Summary level: 050, state:36> county:011",72360,8228,3223,62,64132,14029,1135,148,317,1903,1427
"Chautauqua County, New York: Summary level: 050, state:36> county:013",121999,23279,7944,224,98720,19927,1185,1286,587,2353,2518
"Chemung County, New York: Summary level: 050, state:36> county:015",79039,13865,4025,196,65174,13505,761,866,1265,1774,1293
"Clinton County, New York: Summary level: 050, state:36> county:019",71783,12369,4660,83,59414,12217,600,476,288,1526,1495
"Dutchess County, New York: Summary level: 050, state:36> county:027",273268,26263,8162,200,247005,61716,4048,1042,1081,6156,5488
"Erie County, New York: Summary level: 050, state:36> county:029",864428,126733,46606,3567,737695,160903,9343,7743,6353,17225,17511
"Jefferson County, New York: Summary level: 050, state:36> county:045",105684,15444,6257,443,90240,21879,1727,877,495,4275,4269
"Kings County, New York: Summary level: 050, state:36> county:047",2482476,571088,203115,16241,1911388,444651,33208,33681,31266,66550,64275
"Livingston County, New York: Summary level: 050, state:36> county:051",56851,8948,3563,109,47903,9430,548,443,469,876,750
"Madison County, New York: Summary level: 050, state:36> county:053",65143,6578,2023,78,58565,11764,306,288,122,1360,1556
"Monroe County, New York: Summary level: 050, state:36> county:055",702907,96461,39581,2214,606446,137708,8965,6844,4722,14419,15959
"Nassau County, New York: Summary level: 050, state:36> county:059",1298196,82440,28493,2087,1215756,307412,20920,4095,3099,32843,32586
"New York County, New York: Summary level: 050, state:36> county:061",1535808,272811,89115,4763,1262997,208459,19903,6162,6267,36876,34315
"Niagara County, New York: Summary level: 050, state:36> county:063",202468,25987,6566,181,176481,40345,2245,1112,992,4676,3768
"Oneida County, New York: Summary level: 050, state:36> county:065",212627,36100,12783,781,176527,34829,2120,2451,2291,4199,4013
"Onondaga County, New York: Summary level: 050, state:36> county:067",433329,69391,27624,1176,363938,81541,4958,3322,3773,10127,8965
"Ontario County, New York: Summary level: 050, state:36> county:069",103349,12484,4843,116,90865,19319,827,381,86,2220,2101
"Orange County, New York: Summary level: 050, state:36> county:071",352517,45331,17529,717,307186,83057,4044,2753,3478,9880,8382
"Oswego County, New York: Summary level: 050, state:36> county:075",111831,22486,8138,930,89345,17123,975,1098,1252,2149,1978
"Putnam County, New York: Summary level: 050, state:36> county:079",94685,5341,1551,0,89344,22085,1063,219,213,1975,2027
"Queens County, New York: Summary level: 050, state:36> county:081",2213598,334067,107528,7351,1879531,435161,27827,14387,14693,59191,56449
"Rensselaer County, New York: Summary level: 050, state:36> county:083",149534,19189,7796,170,130345,27433,1906,1193,498,2889,3365
"Richmond County, New York: Summary level: 050, state:36> county:085",452249,64571,19791,1171,387678,98597,6151,3311,2809,10601,10888
"Rockland County, New York: Summary level: 050, state:36> county:087",305027,41637,18842,1984,263390,72337,5533,4596,4498,7959,7267
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",96418,17897,5488,207,78521,15989,980,1275,667,1821,2326
"Saratoga County, New York: Summary level: 050, state:36> county:091",213238,14671,4129,101,198567,44768,2906,429,396,5158,5264
"Schenectady County, New York: Summary level: 050, state:36> county:093",146981,18010,6902,674,128971,28984,1489,1106,821,3942,3359
"Steuben County, New York: Summary level: 050, state:36> county:101",93563,15178,4345,171,78385,16520,1058,634,1104,1978,1775
"Suffolk County, New York: Summary level: 050, state:36> county:103",1431018,105736,35481,1351,1325282,331107,22563,3714,3154,36819,35543
"Sullivan County, New York: Summary level: 050, state:36> county:105",70432,9924,2231,42,60508,12977,1016,483,405,1863,2024
"Tompkins County, New York: Summary level: 050, state:36> county:109",87854,17587,11012,199,70267,17032,794,250,639,1836,2186
"Ulster County, New York: Summary level: 050, state:36> county:111",168487,22492,6200,490,145995,30114,1453,805,833,2989,3034
"Warren County, New York: Summary level: 050, state:36> county:113",62326,8832,3418,676,53494,9605,551,473,561,965,1319
"Wayne County, New York: Summary level: 050, state:36> county:117",87810,11487,3272,356,76323,16893,1057,741,486,1698,2230
"Westchester County, New York: Summary level: 050, state:36> county:119",918415,92051,26038,1440,826364,214449,15307,3555,4115,24406,22659
