,Total,Income in the past 12 months below the poverty level,Income in the past 12 months below the poverty level!!Enrolled in school,"Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool",Income in the past 12 months at or above the poverty level,Income in the past 12 months at or above the poverty level!!Enrolled in school,"Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool",Income in the past 12 months below poverty level:!!Male:!!Under 5 years,Income in the past 12 months below poverty level:!!Female:!!Under 5 years,Income in the past 12 months at or above poverty level:!!Male:!!Under 5 years,Income in the past 12 months at or above poverty level:!!Female:!!Under 5 years
"Albany County, New York: Summary level: 050, state:36> county:001",279145,37459,16633,602,241686,55740,2666,1656,2282,6004,5012
"Bronx County, New York: Summary level: 050, state:36> county:005",1297839,388312,144639,8425,909527,246060,14926,21224,19884,30786,30567
"Broome County, New York: Summary level: 050, state:36> county:007",182800,31679,14377,836,151121,33260,1821,1491,1596,3857,2612
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",74060,13773,4677,127,60287,11586,1005,682,859,1595,1593
"Cayuga County, New York: Summary level: 050, state:36> county:011",73450,9307,3112,110,64143,13743,562,456,322,1580,1536
"Chautauqua County, New York: Summary level: 050, state:36> county:013",123293,24276,9234,636,99017,19023,1245,1410,1062,2790,2256
"Chemung County, New York: Summary level: 050, state:36> county:015",77757,12320,3709,157,65437,12607,540,384,664,1895,1942
"Clinton County, New York: Summary level: 050, state:36> county:019",71942,10780,3592,137,61162,12669,614,665,236,1277,1540
"Dutchess County, New York: Summary level: 050, state:36> county:027",274142,27034,10360,191,247108,64211,4910,629,563,6640,6684
"Erie County, New York: Summary level: 050, state:36> county:029",865113,127365,48845,2921,737748,174816,10219,7871,8041,17062,15497
"Jefferson County, New York: Summary level: 050, state:36> county:045",105947,18944,7211,780,87003,19785,992,1188,1487,3399,3716
"Kings County, New York: Summary level: 050, state:36> county:047",2401956,555920,198882,11983,1846036,463247,28925,30797,30809,61951,57287
"Livingston County, New York: Summary level: 050, state:36> county:051",57317,7399,3703,8,49918,11951,640,507,328,924,1054
"Madison County, New York: Summary level: 050, state:36> county:053",65835,6138,1951,201,59697,13244,585,284,678,1352,1112
"Monroe County, New York: Summary level: 050, state:36> county:055",695021,113163,45906,1505,581858,140135,7766,5815,5439,15325,15266
"Nassau County, New York: Summary level: 050, state:36> county:059",1282755,86308,30631,652,1196447,315515,19932,3329,3231,33100,32525
"New York County, New York: Summary level: 050, state:36> county:061",1507741,274289,85712,2451,1233452,214399,18670,8418,7330,32033,31308
"Niagara County, New York: Summary level: 050, state:36> county:063",205100,24400,7886,72,180700,39839,2076,1300,1234,4571,4077
"Oneida County, New York: Summary level: 050, state:36> county:065",214081,34621,12048,789,179460,40831,1823,2311,2913,4615,3105
"Onondaga County, New York: Summary level: 050, state:36> county:067",429871,65629,27153,1017,364242,89023,5575,4270,3096,9596,9780
"Ontario County, New York: Summary level: 050, state:36> county:069",101704,10662,4144,91,91042,20868,1303,281,816,2294,1954
"Orange County, New York: Summary level: 050, state:36> county:071",348580,46107,17194,1531,302473,85988,4541,4463,3422,8824,9105
"Oswego County, New York: Summary level: 050, state:36> county:075",114103,23195,9616,377,90908,20843,1175,1639,905,1920,2375
"Putnam County, New York: Summary level: 050, state:36> county:079",96611,5633,1770,104,90978,23669,976,148,104,1828,1833
"Queens County, New York: Summary level: 050, state:36> county:081",2140731,336916,110370,5686,1803815,429727,25512,12810,12451,55582,52319
"Rensselaer County, New York: Summary level: 050, state:36> county:083",149710,16900,7238,544,132810,31049,2338,1030,861,3496,3090
"Richmond County, New York: Summary level: 050, state:36> county:085",447384,49182,15335,816,398202,102233,5675,3712,3420,10689,10382
"Rockland County, New York: Summary level: 050, state:36> county:087",296301,38758,16911,724,257543,75257,4858,4029,3074,7640,8833
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",95848,17399,4950,134,78449,17500,598,1068,671,2029,2162
"Saratoga County, New York: Summary level: 050, state:36> county:091",210454,14132,4183,131,196322,50394,3115,241,611,5926,4849
"Schenectady County, New York: Summary level: 050, state:36> county:093",145764,20299,8613,586,125465,28016,816,1214,1268,2788,2756
"Steuben County, New York: Summary level: 050, state:36> county:101",94382,17426,6026,299,76956,15769,564,850,939,1860,1691
"Suffolk County, New York: Summary level: 050, state:36> county:103",1423159,90496,28871,1713,1332663,354304,25189,2943,3789,39636,37170
"Sullivan County, New York: Summary level: 050, state:36> county:105",71328,11426,3182,372,59902,13879,230,463,519,1494,1268
"Tompkins County, New York: Summary level: 050, state:36> county:109",86603,18144,12057,0,68459,17377,1028,354,384,2015,1533
"Ulster County, New York: Summary level: 050, state:36> county:111",169482,24596,7635,370,144886,32816,1724,899,659,2796,3908
"Warren County, New York: Summary level: 050, state:36> county:113",63223,9326,2364,584,53897,10871,646,302,457,1281,998
"Wayne County, New York: Summary level: 050, state:36> county:117",88932,11608,4655,457,77324,15665,1114,619,939,1961,2169
"Westchester County, New York: Summary level: 050, state:36> county:119",897025,85307,28877,1716,811718,213444,15744,5305,4538,22648,22476
