,Total,Income in the past 12 months below the poverty level,Income in the past 12 months below the poverty level!!Enrolled in school,"Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool",Income in the past 12 months at or above the poverty level,Income in the past 12 months at or above the poverty level!!Enrolled in school,"Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool",Income in the past 12 months below poverty level:!!Male:!!Under 5 years,Income in the past 12 months below poverty level:!!Female:!!Under 5 years,Income in the past 12 months at or above poverty level:!!Male:!!Under 5 years,Income in the past 12 months at or above poverty level:!!Female:!!Under 5 years
"Albany County, New York: Summary level: 050, state:36> county:001",284114,34930,14045,1152,249184,58604,3455,1956,1242,6693,5341
"Bronx County, New York: Summary level: 050, state:36> county:005",1357107,406749,151960,8727,950358,245635,14539,23872,18860,30800,32578
"Broome County, New York: Summary level: 050, state:36> county:007",181651,31968,13199,495,149683,34685,2245,1255,940,3766,3012
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",72350,13071,4082,186,59279,11353,818,793,497,1496,1997
"Cayuga County, New York: Summary level: 050, state:36> county:011",71162,7623,2863,76,63539,13407,683,367,197,1663,1587
"Chautauqua County, New York: Summary level: 050, state:36> county:013",120787,19905,7537,457,100882,19488,1203,858,1122,2510,2210
"Chemung County, New York: Summary level: 050, state:36> county:015",79765,10707,2540,477,69058,13519,860,457,1153,1911,1478
"Clinton County, New York: Summary level: 050, state:36> county:019",71121,13472,3971,245,57649,10976,287,723,784,1068,1030
"Dutchess County, New York: Summary level: 050, state:36> county:027",271923,27725,8867,215,244198,56272,4021,1259,474,5684,5719
"Erie County, New York: Summary level: 050, state:36> county:029",867469,130874,50328,2342,736595,157281,9190,6575,7712,18808,16315
"Jefferson County, New York: Summary level: 050, state:36> county:045",105003,13360,3859,406,91643,21593,1148,1201,1106,4218,4217
"Kings County, New York: Summary level: 050, state:36> county:047",2498143,546749,195374,13196,1951394,463106,34299,31910,30920,68963,65100
"Livingston County, New York: Summary level: 050, state:36> county:051",56740,7187,2229,232,49553,11184,845,322,232,1766,1404
"Madison County, New York: Summary level: 050, state:36> county:053",64904,7896,2430,272,57008,11160,473,396,239,1163,1145
"Monroe County, New York: Summary level: 050, state:36> county:055",702176,102728,41553,2339,599448,129196,8770,4852,4862,16502,15807
"Nassau County, New York: Summary level: 050, state:36> county:059",1301065,74710,23379,1051,1226355,309328,20917,2239,3468,35220,32174
"New York County, New York: Summary level: 050, state:36> county:061",1545417,271301,84978,3974,1274116,205846,22950,7617,8399,35346,32106
"Niagara County, New York: Summary level: 050, state:36> county:063",202330,31273,10191,473,171057,34972,2450,1160,1869,4310,3731
"Oneida County, New York: Summary level: 050, state:36> county:065",213316,37329,12799,762,175987,34567,1753,3058,2040,3769,4186
"Onondaga County, New York: Summary level: 050, state:36> county:067",433691,62168,24861,1486,371523,83841,3568,3791,3209,9691,9656
"Ontario County, New York: Summary level: 050, state:36> county:069",103091,9033,3306,156,94058,20098,1389,334,292,2665,2170
"Orange County, New York: Summary level: 050, state:36> county:071",354512,40108,16789,1398,314404,82550,5743,2403,3167,9743,8895
"Oswego County, New York: Summary level: 050, state:36> county:075",111133,18973,7850,551,92160,17829,595,1355,962,1686,1841
"Putnam County, New York: Summary level: 050, state:36> county:079",94746,5186,1097,0,89560,22923,1397,0,0,2295,2142
"Queens County, New York: Summary level: 050, state:36> county:081",2229610,304526,101607,6191,1925084,443351,27610,13631,11504,60500,59534
"Rensselaer County, New York: Summary level: 050, state:36> county:083",149483,17602,7425,210,131881,29611,2131,1009,411,3584,3715
"Richmond County, New York: Summary level: 050, state:36> county:085",451838,64244,19395,810,387594,95599,6482,2617,2330,11147,11102
"Rockland County, New York: Summary level: 050, state:36> county:087",307276,41068,18665,1656,266208,78611,4100,2875,4359,9715,7594
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",94881,16710,5357,253,78171,16474,688,854,876,2300,1883
"Saratoga County, New York: Summary level: 050, state:36> county:091",214956,11922,3033,145,203034,45672,3015,432,351,5892,5372
"Schenectady County, New York: Summary level: 050, state:36> county:093",145536,15352,4243,245,130184,31130,1685,944,508,3618,3633
"Steuben County, New York: Summary level: 050, state:36> county:101",93338,14253,4506,303,79085,16307,857,303,726,2291,2001
"Suffolk County, New York: Summary level: 050, state:36> county:103",1424996,106597,33055,2237,1318399,332357,20999,4610,4102,34353,33395
"Sullivan County, New York: Summary level: 050, state:36> county:105",70036,12171,3952,82,57865,11194,622,745,1142,1429,1023
"Tompkins County, New York: Summary level: 050, state:36> county:109",89324,19631,12910,168,69693,17251,889,713,530,1419,1229
"Ulster County, New York: Summary level: 050, state:36> county:111",167420,22614,6417,329,144806,29960,1153,848,1185,3377,2496
"Warren County, New York: Summary level: 050, state:36> county:113",61335,6151,742,82,55184,11938,232,51,609,1099,616
"Wayne County, New York: Summary level: 050, state:36> county:117",87247,10308,2296,590,76939,15997,868,1076,497,1276,1914
"Westchester County, New York: Summary level: 050, state:36> county:119",921049,90329,27539,1543,830720,212216,14623,3896,3376,23976,23279
