,Total,Income in the past 12 months below the poverty level,Income in the past 12 months below the poverty level!!Enrolled in school,"Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool",Income in the past 12 months at or above the poverty level,Income in the past 12 months at or above the poverty level!!Enrolled in school,"Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool",Income in the past 12 months below poverty level:!!Male:!!Under 5 years,Income in the past 12 months below poverty level:!!Female:!!Under 5 years,Income in the past 12 months at or above poverty level:!!Male:!!Under 5 years,Income in the past 12 months at or above poverty level:!!Female:!!Under 5 years
"Malverne village, New York: Summary level: 160, state:36> place:44787",8244,227,57,0,8017,1711,170,0,0,230,294
"Plandome village, New York: Summary level: 160, state:36> place:58475",1224,21,10,2,1203,425,26,0,2,14,35
"New Square village, New York: Summary level: 160, state:36> place:50705",7234,4549,2841,233,2685,1385,205,479,458,348,204
"South Nyack village, New York: Summary level: 160, state:36> place:69441",2795,127,27,0,2668,479,76,0,0,91,16
"Viola CDP, New York: Summary level: 160, state:36> place:77574",6579,951,626,63,5628,2268,91,99,153,143,231
"Gouverneur village, New York: Summary level: 160, state:36> place:29597",3624,818,244,0,2806,534,37,36,0,50,20
"Rensselaer Falls village, New York: Summary level: 160, state:36> place:61159",324,60,19,4,264,90,6,6,8,6,9
"Newark village, New York: Summary level: 160, state:36> place:49891",8364,1366,512,62,6998,1319,27,29,37,118,207
"Elmira city, New York: Summary level: 160, state:36> place:24229",22985,6496,2168,223,16489,3429,295,307,488,619,550
"Van Etten village, New York: Summary level: 160, state:36> place:76881",647,59,22,4,588,172,18,3,7,12,36
"West Elmira CDP, New York: Summary level: 160, state:36> place:79785",4614,365,107,0,4249,744,71,41,0,87,159
"Mount Morris village, New York: Summary level: 160, state:36> place:48945",2625,599,150,11,2026,424,10,76,20,56,44
"Corfu village, New York: Summary level: 160, state:36> place:18201",697,77,24,0,620,101,1,0,2,0,9
"Sodus village, New York: Summary level: 160, state:36> place:68209",1602,310,86,0,1292,293,11,7,44,41,17
"Ogdensburg city, New York: Summary level: 160, state:36> place:54485",8713,1712,389,24,7001,1435,104,37,102,187,95
"Waddington village, New York: Summary level: 160, state:36> place:77728",875,96,28,0,779,74,6,0,3,30,34
"Clyde village, New York: Summary level: 160, state:36> place:16573",2059,303,139,6,1756,537,25,23,6,60,31
"Big Flats CDP, New York: Summary level: 160, state:36> place:06464",5026,172,0,0,4854,996,62,0,0,216,79
"Geneseo village, New York: Summary level: 160, state:36> place:28618",4647,2112,1791,0,2535,827,13,7,13,114,14
"Miller Place CDP, New York: Summary level: 160, state:36> place:47306",11382,387,98,0,10995,3598,156,0,0,328,251
"Addison village, New York: Summary level: 160, state:36> place:00276",1692,269,78,0,1423,367,2,10,3,36,28
"Hornell city, New York: Summary level: 160, state:36> place:35672",7784,1692,652,16,6092,1280,107,0,86,215,218
"Riverside village, New York: Summary level: 160, state:36> place:62061",500,93,24,8,407,65,6,0,8,3,6
"Cold Spring village, New York: Summary level: 160, state:36> place:16936",1815,105,49,0,1710,304,29,0,0,39,47
"Lake Carmel CDP, New York: Summary level: 160, state:36> place:40398",7857,461,197,0,7396,1567,73,0,0,94,250
"Putnam Lake CDP, New York: Summary level: 160, state:36> place:60103",3395,63,0,0,3332,822,35,0,0,63,41
"Port Byron village, New York: Summary level: 160, state:36> place:59212",989,120,64,0,869,153,4,3,0,4,3
"Au Sable Forks CDP, New York: Summary level: 160, state:36> place:03254",415,50,14,0,365,83,11,0,0,0,11
"Cumberland Head CDP, New York: Summary level: 160, state:36> place:19408",1339,109,2,0,1230,144,17,0,0,47,20
"Redford CDP, New York: Summary level: 160, state:36> place:60884",325,148,85,0,177,0,0,0,36,0,0
"Bemus Point village, New York: Summary level: 160, state:36> place:05848",296,66,37,0,230,9,0,0,0,2,3
"Brocton village, New York: Summary level: 160, state:36> place:08488",1296,238,64,0,1058,143,4,0,7,10,18
"Frewsburg CDP, New York: Summary level: 160, state:36> place:27672",1588,103,21,0,1485,212,0,0,0,0,27
"Ripley CDP, New York: Summary level: 160, state:36> place:61874",757,99,12,0,658,104,0,0,0,28,13
"Freeville village, New York: Summary level: 160, state:36> place:27529",391,39,3,0,352,51,2,0,0,1,4
"Newfield Hamlet CDP, New York: Summary level: 160, state:36> place:50257",465,15,0,0,450,54,0,0,0,0,0
"Trumansburg village, New York: Summary level: 160, state:36> place:75506",1781,169,44,0,1612,286,14,0,6,10,36
"Penn Yan village, New York: Summary level: 160, state:36> place:57177",4461,841,250,31,3620,698,81,13,0,67,96
"Lewiston village, New York: Summary level: 160, state:36> place:42147",2542,235,77,0,2307,432,16,0,0,19,16
"South Lockport CDP, New York: Summary level: 160, state:36> place:69386",7010,1070,374,36,5940,1146,66,190,22,100,162
"Youngstown village, New York: Summary level: 160, state:36> place:84143",2012,100,33,6,1912,564,27,2,8,6,50
"Almond village, New York: Summary level: 160, state:36> place:01440",468,99,51,7,369,85,6,7,12,13,13
"Canisteo village, New York: Summary level: 160, state:36> place:12254",2191,311,115,21,1880,404,17,0,19,56,20
"Corning city, New York: Summary level: 160, state:36> place:18256",10247,1558,350,40,8689,1898,118,103,131,246,193
"Sleepy Hollow village, New York: Summary level: 160, state:36> place:67638",9651,1551,366,0,8100,1973,165,45,148,169,279
"Bellerose Terrace CDP, New York: Summary level: 160, state:36> place:05661",2053,28,9,0,2025,580,19,0,0,1,20
"Cove Neck village, New York: Summary level: 160, state:36> place:18597",251,11,0,0,240,56,1,0,0,4,4
"Baldwinsville village, New York: Summary level: 160, state:36> place:04198",7229,547,108,10,6682,1127,77,34,27,191,204
"Galeville CDP, New York: Summary level: 160, state:36> place:28035",4375,418,132,0,3957,915,44,12,0,158,91
"Valatie village, New York: Summary level: 160, state:36> place:76617",1469,138,29,8,1331,366,8,15,24,27,22
"Ghent CDP, New York: Summary level: 160, state:36> place:28860",500,138,37,13,362,112,0,32,0,0,0
"Kinderhook village, New York: Summary level: 160, state:36> place:39562",1321,53,0,0,1268,243,19,0,0,19,45
"Lorenz Park CDP, New York: Summary level: 160, state:36> place:43511",2101,330,25,0,1771,415,0,13,6,22,14
"Fairport village, New York: Summary level: 160, state:36> place:25076",5237,242,115,0,4995,843,68,0,18,125,50
