,Total,Income in the past 12 months below the poverty level,Income in the past 12 months below the poverty level!!Enrolled in school,"Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool",Income in the past 12 months at or above the poverty level,Income in the past 12 months at or above the poverty level!!Enrolled in school,"Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool",Income in the past 12 months below poverty level:!!Male:!!Under 5 years,Income in the past 12 months below poverty level:!!Female:!!Under 5 years,Income in the past 12 months at or above poverty level:!!Male:!!Under 5 years,Income in the past 12 months at or above poverty level:!!Female:!!Under 5 years
"Albany County, New York: Summary level: 050, state:36> county:001",282277,38786,14888,736,243491,56182,2310,978,1864,6567,5429
"Bronx County, New York: Summary level: 050, state:36> county:005",1317527,401593,150011,6961,915934,244446,15832,19056,21355,33558,29467
"Broome County, New York: Summary level: 050, state:36> county:007",181745,31958,13017,646,149787,33374,1836,1093,1679,3836,3181
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",74069,14417,4552,152,59652,12361,652,736,668,1319,1564
"Cayuga County, New York: Summary level: 050, state:36> county:011",73400,9465,2931,388,63935,13249,655,448,613,1568,1651
"Chautauqua County, New York: Summary level: 050, state:36> county:013",123140,23203,8095,541,99937,19168,1022,1151,1079,2070,2175
"Chemung County, New York: Summary level: 050, state:36> county:015",80058,13019,3621,0,67039,14002,361,1052,876,1871,1311
"Clinton County, New York: Summary level: 050, state:36> county:019",71475,10680,3044,174,60795,12758,618,1021,333,724,1545
"Dutchess County, New York: Summary level: 050, state:36> county:027",272827,24725,9896,415,248102,60713,2900,1010,457,5905,6571
"Erie County, New York: Summary level: 050, state:36> county:029",864313,129094,50788,3029,735219,162671,8289,5925,5567,18754,18061
"Jefferson County, New York: Summary level: 050, state:36> county:045",106902,16062,5424,268,90840,24299,1679,1654,1137,4374,3090
"Kings County, New York: Summary level: 050, state:36> county:047",2458536,563726,204287,13370,1894810,456339,37030,31335,29522,65948,63086
"Livingston County, New York: Summary level: 050, state:36> county:051",56909,8962,3522,457,47947,9125,335,576,413,1298,969
"Madison County, New York: Summary level: 050, state:36> county:053",65220,8825,3101,338,56395,11765,793,465,349,1156,1160
"Monroe County, New York: Summary level: 050, state:36> county:055",699861,107784,43664,2526,592077,134015,8721,5085,4684,16386,15644
"Nassau County, New York: Summary level: 050, state:36> county:059",1289230,76551,26172,2006,1212679,310371,20235,3519,3525,32964,31884
"New York County, New York: Summary level: 050, state:36> county:061",1529518,289801,91876,3574,1239717,213513,20390,8980,8433,33943,32525
"Niagara County, New York: Summary level: 050, state:36> county:063",203463,27291,8867,477,176172,38480,2082,1275,1003,4298,3997
"Oneida County, New York: Summary level: 050, state:36> county:065",212199,36468,12660,373,175731,38869,1797,2086,1729,4111,4479
"Onondaga County, New York: Summary level: 050, state:36> county:067",436544,65624,27287,1054,370920,88904,4859,3385,3223,10148,9999
"Ontario County, New York: Summary level: 050, state:36> county:069",102483,9794,2579,72,92689,21576,929,416,324,2408,2232
"Orange County, New York: Summary level: 050, state:36> county:071",350051,46395,20475,2053,303656,81905,4079,2693,2488,10083,9559
"Oswego County, New York: Summary level: 050, state:36> county:075",112715,21176,7820,539,91539,19217,396,1501,1834,1676,1525
"Putnam County, New York: Summary level: 050, state:36> county:079",96285,4256,1102,0,92029,24161,1868,51,80,2641,1896
"Queens County, New York: Summary level: 050, state:36> county:081",2188628,333945,107913,5651,1854683,425333,24885,14546,10873,56819,56991
"Rensselaer County, New York: Summary level: 050, state:36> county:083",149292,21728,9122,1006,127564,27936,1533,1194,910,3491,3094
"Richmond County, New York: Summary level: 050, state:36> county:085",448371,56660,19933,1403,391711,98522,4106,2512,2386,10328,12359
"Rockland County, New York: Summary level: 050, state:36> county:087",302049,42635,18614,2092,259414,73741,4752,3790,4373,8395,7552
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",96336,20933,7555,419,75403,14361,751,1277,1220,1765,1763
"Saratoga County, New York: Summary level: 050, state:36> county:091",212046,16318,5367,237,195728,43847,3156,899,377,4698,5284
"Schenectady County, New York: Summary level: 050, state:36> county:093",146116,20453,8697,1005,125663,28469,900,641,1581,3942,2793
"Steuben County, New York: Summary level: 050, state:36> county:101",93297,13783,4350,342,79514,17182,796,1174,728,1655,1922
"Suffolk County, New York: Summary level: 050, state:36> county:103",1424563,101062,29534,1516,1323501,342080,20838,6013,4384,34935,34892
"Sullivan County, New York: Summary level: 050, state:36> county:105",71092,14096,4128,31,56996,12861,256,801,253,1752,1461
"Tompkins County, New York: Summary level: 050, state:36> county:109",85892,17354,10563,85,68538,16747,467,286,480,1480,1342
"Ulster County, New York: Summary level: 050, state:36> county:111",168573,18214,5260,252,150359,34171,1740,1056,577,3168,2994
"Warren County, New York: Summary level: 050, state:36> county:113",62955,6133,1828,0,56822,11533,451,128,408,1395,1065
"Wayne County, New York: Summary level: 050, state:36> county:117",88494,9334,3008,127,79160,18429,913,452,225,2158,2106
"Westchester County, New York: Summary level: 050, state:36> county:119",912493,87151,30877,1783,825342,214547,17053,3770,3219,24054,23773
