,Total,Income in the past 12 months below the poverty level,Income in the past 12 months below the poverty level!!Enrolled in school,"Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool",Income in the past 12 months at or above the poverty level,Income in the past 12 months at or above the poverty level!!Enrolled in school,"Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool",Income in the past 12 months below poverty level:!!Male:!!Under 5 years,Income in the past 12 months below poverty level:!!Female:!!Under 5 years,Income in the past 12 months at or above poverty level:!!Male:!!Under 5 years,Income in the past 12 months at or above poverty level:!!Female:!!Under 5 years
"Bay Shore CDP, New York: Summary level: 160, state:36> place:04935",27045,1791,403,0,25254,6770,573,82,106,965,903
"Bayville village, New York: Summary level: 160, state:36> place:05034",6560,342,84,0,6218,1545,133,8,0,84,203
"Baywood CDP, New York: Summary level: 160, state:36> place:05039",7577,434,159,0,7143,1807,65,0,9,373,118
"Beacon city, New York: Summary level: 160, state:36> place:05100",13504,1991,714,68,11513,2574,246,58,82,285,438
"Beaver Dam Lake CDP, New York: Summary level: 160, state:36> place:05188",2261,52,35,0,2209,732,42,0,0,97,84
"Bedford CDP, New York: Summary level: 160, state:36> place:05309",2023,48,0,0,1975,633,17,0,0,31,116
"Bedford Hills CDP, New York: Summary level: 160, state:36> place:05342",2885,286,172,0,2599,595,12,0,0,91,33
"Belfast CDP, New York: Summary level: 160, state:36> place:05562",890,141,48,0,749,177,3,0,7,19,20
"Bellerose village, New York: Summary level: 160, state:36> place:05639",1169,20,3,0,1149,362,42,0,0,36,52
"Bellerose Terrace CDP, New York: Summary level: 160, state:36> place:05661",1887,76,8,0,1811,474,59,0,0,107,70
"Belle Terre village, New York: Summary level: 160, state:36> place:05672",816,99,16,0,717,237,13,0,0,27,4
"Belleville CDP, New York: Summary level: 160, state:36> place:05683",317,179,130,25,138,27,0,0,25,0,24
"Bellmore CDP, New York: Summary level: 160, state:36> place:05738",15519,236,38,0,15283,4290,297,0,0,594,408
"Bellport village, New York: Summary level: 160, state:36> place:05771",2093,81,11,0,2012,327,32,6,6,74,27
"Belmont village, New York: Summary level: 160, state:36> place:05815",1012,146,51,21,866,220,6,10,15,29,20
"Bemus Point village, New York: Summary level: 160, state:36> place:05848",241,18,3,0,223,50,4,0,0,3,1
"Bergen village, New York: Summary level: 160, state:36> place:06046",1259,129,42,0,1130,307,17,18,9,47,13
"Bethpage CDP, New York: Summary level: 160, state:36> place:06387",16051,470,102,0,15581,3826,200,0,0,307,520
"Big Flats CDP, New York: Summary level: 160, state:36> place:06464",5244,381,45,0,4863,992,46,18,0,221,206
"Billington Heights CDP, New York: Summary level: 160, state:36> place:06574",1407,81,37,0,1326,228,9,0,0,47,70
"Binghamton city, New York: Summary level: 160, state:36> place:06607",44232,14396,6819,265,29836,6808,333,647,663,622,450
"Binghamton University CDP, New York: Summary level: 160, state:36> place:06644",0,0,0,0,0,0,0,0,0,0,0
"Black River village, New York: Summary level: 160, state:36> place:06794",1361,119,49,0,1242,296,16,6,12,24,22
"Blasdell village, New York: Summary level: 160, state:36> place:06849",2475,307,119,0,2168,548,13,6,9,62,40
"Blauvelt CDP, New York: Summary level: 160, state:36> place:06860",5037,148,34,0,4889,1591,125,0,0,81,108
"Bliss CDP, New York: Summary level: 160, state:36> place:06904",602,88,37,0,514,122,8,0,15,19,27
"Blodgett Mills CDP, New York: Summary level: 160, state:36> place:06937",330,0,0,0,330,35,0,0,0,10,26
"Bloomfield village, New York: Summary level: 160, state:36> place:06945",1518,196,98,3,1322,296,10,4,13,39,18
"Bloomingburg village, New York: Summary level: 160, state:36> place:06959",539,74,30,3,465,132,0,0,9,9,3
"Bloomville CDP, New York: Summary level: 160, state:36> place:07025",207,24,9,0,183,29,0,0,0,0,0
"Blue Point CDP, New York: Summary level: 160, state:36> place:07069",4387,137,54,0,4250,1017,106,0,0,153,104
"Bohemia CDP, New York: Summary level: 160, state:36> place:07157",10110,449,188,0,9661,2884,78,0,0,305,195
"Bolivar village, New York: Summary level: 160, state:36> place:07190",1026,155,14,4,871,247,33,3,12,35,30
"Bolton Landing CDP, New York: Summary level: 160, state:36> place:07245",585,13,6,0,572,89,0,0,0,46,26
"Boonville village, New York: Summary level: 160, state:36> place:07355",1829,317,116,5,1512,291,35,5,5,34,45
"Brasher Falls CDP, New York: Summary level: 160, state:36> place:07960",566,77,29,0,489,144,0,0,0,7,0
"Breesport CDP, New York: Summary level: 160, state:36> place:08004",616,31,0,0,585,157,0,0,0,0,39
"Brentwood CDP, New York: Summary level: 160, state:36> place:08026",54246,5235,1565,66,49011,13263,824,215,419,1496,1707
"Brewerton CDP, New York: Summary level: 160, state:36> place:08059",4136,558,145,0,3578,901,42,74,115,125,87
"Brewster village, New York: Summary level: 160, state:36> place:08070",2344,474,99,0,1870,463,54,29,0,95,52
"Brewster Hill CDP, New York: Summary level: 160, state:36> place:08092",1506,93,13,0,1413,365,19,13,15,66,12
"Briarcliff Manor village, New York: Summary level: 160, state:36> place:08103",7093,288,74,0,6805,2127,90,0,0,110,124
"Bridgehampton CDP, New York: Summary level: 160, state:36> place:08136",1326,47,7,0,1279,228,41,10,0,47,12
"Bridgeport CDP, New York: Summary level: 160, state:36> place:08147",1251,100,48,0,1151,159,29,0,10,18,28
"Bridgewater village, New York: Summary level: 160, state:36> place:08169",466,134,54,12,332,61,0,18,13,0,5
"Brighton CDP, New York: Summary level: 160, state:36> place:08257",32883,3143,1493,0,29740,7336,445,130,104,892,911
"Brightwaters village, New York: Summary level: 160, state:36> place:08323",3021,119,19,0,2902,757,40,0,13,67,36
"Brinckerhoff CDP, New York: Summary level: 160, state:36> place:08334",2727,179,69,22,2548,689,62,22,0,42,25
"Broadalbin village, New York: Summary level: 160, state:36> place:08422",1519,105,46,11,1414,331,8,11,11,51,34
"Brockport village, New York: Summary level: 160, state:36> place:08466",5629,1569,1021,10,4060,1124,110,73,29,183,100
"Brocton village, New York: Summary level: 160, state:36> place:08488",1512,358,97,0,1154,258,12,8,42,38,35
"Bronxville village, New York: Summary level: 160, state:36> place:08532",5901,182,34,0,5719,1924,157,25,0,138,179
"Brookhaven CDP, New York: Summary level: 160, state:36> place:09000",2686,174,27,0,2512,631,27,0,0,56,80
"Brookville village, New York: Summary level: 160, state:36> place:10132",2599,35,18,0,2564,879,72,0,0,55,54
"Brownville village, New York: Summary level: 160, state:36> place:10231",802,122,52,0,680,172,0,10,0,12,4
"Brushton village, New York: Summary level: 160, state:36> place:10286",469,146,22,0,323,72,15,12,12,13,15
"Buchanan village, New York: Summary level: 160, state:36> place:10341",2230,99,34,0,2131,527,82,0,5,76,31
"Buffalo city, New York: Summary level: 160, state:36> place:11000",242158,72176,29897,1848,169982,40141,1963,4152,4474,4205,3698
"Burdett village, New York: Summary level: 160, state:36> place:11132",302,23,0,0,279,45,3,0,0,12,3
"Burke village, New York: Summary level: 160, state:36> place:11154",168,38,9,0,130,29,0,0,2,3,6
"Busti CDP, New York: Summary level: 160, state:36> place:11440",428,54,37,0,374,109,0,8,0,0,0
"Byersville CDP, New York: Summary level: 160, state:36> place:11550",136,95,64,0,41,7,0,0,0,0,0
"Cairo CDP, New York: Summary level: 160, state:36> place:11638",1235,410,77,0,825,20,0,0,0,0,0
"Calcium CDP, New York: Summary level: 160, state:36> place:11671",3030,394,190,38,2636,746,26,58,83,144,77
"Caledonia village, New York: Summary level: 160, state:36> place:11704",2092,195,67,0,1897,418,10,7,25,52,10
"Callicoon CDP, New York: Summary level: 160, state:36> place:11748",131,7,3,0,124,34,0,0,0,0,5
"Calverton CDP, New York: Summary level: 160, state:36> place:11781",6248,317,69,22,5931,951,37,0,22,99,95
"Cambridge village, New York: Summary level: 160, state:36> place:11825",1652,157,30,0,1495,312,28,0,24,21,56
"Camden village, New York: Summary level: 160, state:36> place:11847",2283,314,97,0,1969,504,22,18,17,9,42
"Camillus village, New York: Summary level: 160, state:36> place:11902",1162,190,54,0,972,255,11,20,41,7,9
"Campbell CDP, New York: Summary level: 160, state:36> place:11935",727,141,5,0,586,128,0,27,28,8,0
"Canajoharie village, New York: Summary level: 160, state:36> place:12111",2242,347,114,13,1895,505,29,18,6,58,54
"Canandaigua city, New York: Summary level: 160, state:36> place:12144",9895,1119,304,0,8776,2013,63,21,41,211,172
"Canaseraga village, New York: Summary level: 160, state:36> place:12177",650,102,44,0,548,134,7,0,8,10,16
"Canastota village, New York: Summary level: 160, state:36> place:12188",4515,560,192,25,3955,639,72,47,122,139,73
"Candor village, New York: Summary level: 160, state:36> place:12210",705,86,24,4,619,112,18,19,5,32,25
"Canisteo village, New York: Summary level: 160, state:36> place:12254",2183,352,147,7,1831,477,29,14,0,84,51
"Canton village, New York: Summary level: 160, state:36> place:12331",3373,323,123,0,3050,817,15,7,0,13,63
"Cape Vincent village, New York: Summary level: 160, state:36> place:12353",613,80,2,0,533,114,4,10,3,18,0
"Carle Place CDP, New York: Summary level: 160, state:36> place:12419",5412,395,254,0,5017,1351,38,20,0,128,95
"Carmel Hamlet CDP, New York: Summary level: 160, state:36> place:12532",6100,320,136,11,5780,1503,88,10,11,184,162
"Caroga Lake CDP, New York: Summary level: 160, state:36> place:12584",485,44,0,0,441,49,0,0,0,0,6
"Carthage village, New York: Summary level: 160, state:36> place:12683",3528,829,458,32,2699,480,14,31,128,154,47
"Cassadaga village, New York: Summary level: 160, state:36> place:12749",683,64,29,7,619,156,5,9,0,0,11
"Castile village, New York: Summary level: 160, state:36> place:12771",1027,134,48,0,893,221,19,8,16,19,20
"Castleton-on-Hudson village, New York: Summary level: 160, state:36> place:12870",1293,64,12,0,1229,363,54,0,0,45,54
"Castorland village, New York: Summary level: 160, state:36> place:12881",311,82,10,0,229,51,6,0,1,19,6
"Cato village, New York: Summary level: 160, state:36> place:12958",526,62,35,3,464,144,13,3,3,45,12
"Catskill village, New York: Summary level: 160, state:36> place:13002",3672,900,213,103,2772,701,36,70,109,67,28
"Cattaraugus village, New York: Summary level: 160, state:36> place:13024",1063,202,51,0,861,176,20,34,9,13,22
"Cayuga village, New York: Summary level: 160, state:36> place:13068",509,16,0,0,493,92,3,0,0,14,14
"Cayuga Heights village, New York: Summary level: 160, state:36> place:13079",2925,381,236,0,2544,675,43,0,0,151,100
"Cazenovia village, New York: Summary level: 160, state:36> place:13145",1993,200,72,0,1793,315,20,0,0,40,65
"Cedarhurst village, New York: Summary level: 160, state:36> place:13233",6294,341,155,0,5953,1997,127,0,29,225,196
"Celoron village, New York: Summary level: 160, state:36> place:13288",1091,310,114,22,781,126,0,26,71,22,13
"Centereach CDP, New York: Summary level: 160, state:36> place:13376",31536,1458,462,1,30078,8245,504,26,45,818,731
"Center Moriches CDP, New York: Summary level: 160, state:36> place:13420",7568,252,40,0,7316,1783,114,21,0,264,296
"Centerport CDP, New York: Summary level: 160, state:36> place:13442",5375,212,64,21,5163,1438,69,0,21,103,135
"Central Bridge CDP, New York: Summary level: 160, state:36> place:13530",271,43,0,0,228,19,0,42,0,0,0
"Central Islip CDP, New York: Summary level: 160, state:36> place:13552",34729,3739,1118,126,30990,7908,433,213,393,1409,924
"Central Square village, New York: Summary level: 160, state:36> place:13585",1906,209,47,11,1697,415,26,19,17,36,51
"Centre Island village, New York: Summary level: 160, state:36> place:13618",380,9,2,0,371,71,0,0,0,5,0
"Chadwicks CDP, New York: Summary level: 160, state:36> place:13662",1926,113,49,0,1813,450,19,0,0,30,35
"Champlain village, New York: Summary level: 160, state:36> place:13739",905,175,27,0,730,133,12,4,0,20,44
"Chappaqua CDP, New York: Summary level: 160, state:36> place:13805",1082,44,14,0,1038,208,0,0,0,13,37
"Chateaugay village, New York: Summary level: 160, state:36> place:13981",638,127,42,0,511,98,15,10,0,19,10
"Chatham village, New York: Summary level: 160, state:36> place:14003",1606,225,54,4,1381,300,3,12,0,4,18
"Chaumont village, New York: Summary level: 160, state:36> place:14036",578,85,18,0,493,72,16,0,0,31,44
