,Total,Income in the past 12 months below the poverty level,Income in the past 12 months below the poverty level!!Enrolled in school,"Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool",Income in the past 12 months at or above the poverty level,Income in the past 12 months at or above the poverty level!!Enrolled in school,"Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool",Income in the past 12 months below poverty level:!!Male:!!Under 5 years,Income in the past 12 months below poverty level:!!Female:!!Under 5 years,Income in the past 12 months at or above poverty level:!!Male:!!Under 5 years,Income in the past 12 months at or above poverty level:!!Female:!!Under 5 years
"Delhi village, New York: Summary level: 160, state:36> place:20126",1831,343,162,0,1488,378,22,12,2,30,27
"Depauville CDP, New York: Summary level: 160, state:36> place:20302",874,267,104,0,607,201,0,34,0,0,73
"Depew village, New York: Summary level: 160, state:36> place:20313",14583,1463,457,65,13120,2548,164,100,129,339,423
"Deposit village, New York: Summary level: 160, state:36> place:20346",1797,434,150,7,1363,309,12,24,46,19,23
"Dering Harbor village, New York: Summary level: 160, state:36> place:20379",6,0,0,0,6,2,0,0,0,0,0
"DeRuyter village, New York: Summary level: 160, state:36> place:20390",497,56,15,2,441,107,8,0,2,5,21
"Dexter village, New York: Summary level: 160, state:36> place:20500",1180,166,56,16,1014,256,8,26,6,44,30
"Dix Hills CDP, New York: Summary level: 160, state:36> place:20687",25894,645,185,15,25249,7342,425,14,13,522,500
"Dobbs Ferry village, New York: Summary level: 160, state:36> place:20698",9721,352,202,0,9369,2545,252,0,0,287,295
"Dolgeville village, New York: Summary level: 160, state:36> place:20731",2039,362,187,17,1677,439,25,10,19,30,31
"Dover Plains CDP, New York: Summary level: 160, state:36> place:20841",1225,175,0,0,1050,62,0,0,70,0,22
"Downsville CDP, New York: Summary level: 160, state:36> place:20852",590,163,57,0,427,93,9,3,14,37,9
"Dresden village, New York: Summary level: 160, state:36> place:20896",347,126,25,2,221,42,0,6,4,1,7
"Dryden village, New York: Summary level: 160, state:36> place:20951",1902,194,30,10,1708,536,66,0,19,83,41
"Duane Lake CDP, New York: Summary level: 160, state:36> place:20989",316,0,0,0,316,37,0,0,0,0,13
"Duanesburg CDP, New York: Summary level: 160, state:36> place:20995",283,38,38,0,245,117,0,0,0,0,0
"Dundee village, New York: Summary level: 160, state:36> place:21050",1647,269,107,7,1378,286,15,6,0,64,31
"Dunkirk city, New York: Summary level: 160, state:36> place:21105",11934,2951,855,43,8983,1711,97,216,169,141,242
"Durhamville CDP, New York: Summary level: 160, state:36> place:21226",571,218,84,0,353,146,0,16,14,0,44
"Earlville village, New York: Summary level: 160, state:36> place:21523",868,130,5,0,738,220,13,14,27,65,30
"East Atlantic Beach CDP, New York: Summary level: 160, state:36> place:21578",2082,25,0,0,2057,425,9,0,0,20,7
"East Aurora village, New York: Summary level: 160, state:36> place:21589",5734,257,42,0,5477,1468,124,0,0,209,143
"East Avon CDP, New York: Summary level: 160, state:36> place:21600",494,0,0,0,494,325,0,0,0,0,0
"Monroe village, New York: Summary level: 160, state:36> place:47988",8041,1056,413,55,6985,2069,80,85,115,322,239
"Monsey CDP, New York: Summary level: 160, state:36> place:48010",16317,7164,3854,417,9153,4335,439,1160,803,547,634
"Montauk CDP, New York: Summary level: 160, state:36> place:48054",3424,424,85,14,3000,428,31,14,0,31,10
"Montebello village, New York: Summary level: 160, state:36> place:48090",4439,54,7,0,4385,1389,113,0,0,112,144
"Montgomery village, New York: Summary level: 160, state:36> place:48142",3847,76,13,0,3771,1081,100,0,0,134,191
"Monticello village, New York: Summary level: 160, state:36> place:48175",6241,2620,834,35,3621,473,25,161,69,235,82
"Montour Falls village, New York: Summary level: 160, state:36> place:48197",1584,291,110,6,1293,230,44,2,7,35,31
"Montrose CDP, New York: Summary level: 160, state:36> place:48208",2577,94,21,0,2483,573,47,20,0,87,33
"Mooers CDP, New York: Summary level: 160, state:36> place:48241",248,114,11,0,134,13,0,0,0,0,18
"Moravia village, New York: Summary level: 160, state:36> place:48296",1319,79,24,0,1240,251,5,0,0,5,10
"Moriches CDP, New York: Summary level: 160, state:36> place:48450",2030,155,55,0,1875,207,15,0,0,100,41
"Morris village, New York: Summary level: 160, state:36> place:48483",454,70,25,9,384,55,0,18,0,9,0
"Morrisonville CDP, New York: Summary level: 160, state:36> place:48538",1886,397,113,0,1489,388,11,12,66,64,11
"Morristown village, New York: Summary level: 160, state:36> place:48571",497,73,38,5,424,86,16,9,0,8,26
"Morrisville village, New York: Summary level: 160, state:36> place:48593",685,131,69,0,554,124,2,4,11,20,33
"Mountain Lodge Park CDP, New York: Summary level: 160, state:36> place:48750",1429,18,18,0,1411,290,0,0,0,28,68
"Mount Ivy CDP, New York: Summary level: 160, state:36> place:48879",6473,802,270,0,5671,1203,111,54,15,135,293
"Mount Kisco village, New York: Summary level: 160, state:36> place:48890",10566,1394,253,34,9172,2249,167,62,100,315,119
"Mount Morris village, New York: Summary level: 160, state:36> place:48945",2584,561,151,46,2023,507,12,103,18,36,64
"Mount Sinai CDP, New York: Summary level: 160, state:36> place:49066",11201,246,32,7,10955,3074,466,11,7,520,366
"Mount Vernon city, New York: Summary level: 160, state:36> place:49121",63935,9801,3285,260,54134,13682,1143,727,529,1734,1788
"Munnsville village, New York: Summary level: 160, state:36> place:49220",428,66,37,0,362,89,2,0,0,10,7
"Munsey Park village, New York: Summary level: 160, state:36> place:49231",2648,42,0,0,2606,1109,127,0,0,94,35
"Munsons Corners CDP, New York: Summary level: 160, state:36> place:49242",2091,378,263,18,1713,298,34,18,15,10,24
"Muttontown village, New York: Summary level: 160, state:36> place:49330",3380,62,39,0,3318,953,39,0,0,43,55
"Myers Corner CDP, New York: Summary level: 160, state:36> place:49363",6355,197,34,0,6158,1794,39,0,13,88,128
"Nanuet CDP, New York: Summary level: 160, state:36> place:49407",17777,1114,258,41,16663,4313,88,122,7,351,272
"Napanoch CDP, New York: Summary level: 160, state:36> place:49418",1265,191,32,0,1074,234,0,15,0,34,0
"Napeague CDP, New York: Summary level: 160, state:36> place:49424",164,32,0,0,132,9,0,0,0,9,0
"Naples village, New York: Summary level: 160, state:36> place:49429",1072,168,45,2,904,199,11,13,5,39,24
"Narrowsburg CDP, New York: Summary level: 160, state:36> place:49473",466,52,7,0,414,112,0,0,0,5,4
"Nassau village, New York: Summary level: 160, state:36> place:49506",1057,47,2,0,1010,174,3,1,0,36,28
"Natural Bridge CDP, New York: Summary level: 160, state:36> place:49605",728,472,204,0,256,24,0,66,0,0,26
"Nedrow CDP, New York: Summary level: 160, state:36> place:49726",2131,276,133,0,1855,323,8,13,15,15,130
"Nelliston village, New York: Summary level: 160, state:36> place:49748",588,49,14,0,539,61,9,0,0,12,0
"Nelsonville village, New York: Summary level: 160, state:36> place:49781",720,17,0,0,703,247,7,0,0,42,11
"Nesconset CDP, New York: Summary level: 160, state:36> place:49825",13103,521,125,0,12582,3958,148,58,0,261,310
"Newark village, New York: Summary level: 160, state:36> place:49891",8487,1341,215,19,7146,1741,110,123,66,149,306
"Newark Valley village, New York: Summary level: 160, state:36> place:49902",1008,98,38,2,910,269,14,6,2,22,15
"New Berlin village, New York: Summary level: 160, state:36> place:49946",1125,213,70,0,912,149,11,9,0,22,12
"Newburgh city, New York: Summary level: 160, state:36> place:50034",26401,7734,2887,271,18667,5336,299,652,448,795,574
"New Cassel CDP, New York: Summary level: 160, state:36> place:50067",12971,1836,665,18,11135,3504,144,106,250,453,451
"New City CDP, New York: Summary level: 160, state:36> place:50100",32470,1249,366,18,31221,8409,575,50,43,702,635
"Newfane CDP, New York: Summary level: 160, state:36> place:50221",3054,226,32,0,2828,685,70,12,12,57,32
"Newfield Hamlet CDP, New York: Summary level: 160, state:36> place:50257",619,12,0,0,607,128,0,0,0,0,0
"New Hartford village, New York: Summary level: 160, state:36> place:50298",1732,137,30,0,1595,409,10,0,0,4,14
"New Hempstead village, New York: Summary level: 160, state:36> place:50353",5007,43,0,0,4964,1911,168,0,0,248,178
"New Hyde Park village, New York: Summary level: 160, state:36> place:50397",9347,411,105,0,8936,2297,258,0,0,270,312
"New Paltz village, New York: Summary level: 160, state:36> place:50551",4322,1737,1427,8,2585,698,48,8,27,32,11
"Newport village, New York: Summary level: 160, state:36> place:50573",432,20,2,0,412,132,0,0,0,9,11
"New Rochelle city, New York: Summary level: 160, state:36> place:50617",72399,8732,3553,154,63667,17150,1021,357,501,1939,1663
"New Square village, New York: Summary level: 160, state:36> place:50705",6203,4382,2643,178,1821,935,82,468,564,227,183
"New Suffolk CDP, New York: Summary level: 160, state:36> place:50727",329,19,0,0,310,14,0,0,0,0,0
"New Windsor CDP, New York: Summary level: 160, state:36> place:50837",8465,425,131,4,8040,1810,88,35,0,278,216
"New York city, New York: Summary level: 160, state:36> place:51000",7818555,1563976,551884,30491,6254579,1462448,95435,77955,73680,191336,183605
"New York Mills village, New York: Summary level: 160, state:36> place:51011",3264,600,82,0,2664,734,44,52,46,3,130
"Niagara Falls city, New York: Summary level: 160, state:36> place:51055",47867,11593,4253,205,36274,7441,359,620,647,877,619
"Nichols village, New York: Summary level: 160, state:36> place:51110",407,46,5,0,361,92,10,0,0,3,4
"Niskayuna CDP, New York: Summary level: 160, state:36> place:51262",4669,97,3,0,4572,1297,93,0,18,241,149
"Nissequogue village, New York: Summary level: 160, state:36> place:51286",1574,59,2,0,1515,437,25,0,0,32,40
"Niverville CDP, New York: Summary level: 160, state:36> place:51297",1720,56,56,0,1664,239,0,0,0,13,44
"Norfolk CDP, New York: Summary level: 160, state:36> place:51319",1108,282,103,0,826,185,16,35,11,0,23
"North Amityville CDP, New York: Summary level: 160, state:36> place:51396",18446,2016,744,121,16430,4250,81,43,133,515,644
"Northampton CDP, New York: Summary level: 160, state:36> place:51418",503,0,0,0,503,52,0,0,0,0,0
"North Babylon CDP, New York: Summary level: 160, state:36> place:51440",16600,617,209,0,15983,3804,386,0,32,470,304
"North Ballston Spa CDP, New York: Summary level: 160, state:36> place:51467",1400,40,0,0,1360,322,16,0,0,32,25
"North Bay Shore CDP, New York: Summary level: 160, state:36> place:51495",19206,1386,403,0,17820,5048,185,51,73,694,724
"North Bellmore CDP, New York: Summary level: 160, state:36> place:51517",19377,1157,360,32,18220,4711,339,26,58,638,480
"North Bellport CDP, New York: Summary level: 160, state:36> place:51528",10687,1840,823,19,8847,2438,65,167,207,238,355
"North Boston CDP, New York: Summary level: 160, state:36> place:51583",2415,79,11,0,2336,474,16,0,0,26,46
"North Collins village, New York: Summary level: 160, state:36> place:51792",1225,95,17,0,1130,393,14,0,0,69,37
"North Creek CDP, New York: Summary level: 160, state:36> place:51847",320,90,19,0,230,29,12,0,8,24,11
"Northeast Ithaca CDP, New York: Summary level: 160, state:36> place:51915",2879,487,362,0,2392,821,63,33,0,41,107
"North Gates CDP, New York: Summary level: 160, state:36> place:52040",9544,953,252,0,8591,2078,79,56,73,117,169
"North Great River CDP, New York: Summary level: 160, state:36> place:52078",3974,78,0,0,3896,1071,101,0,0,54,187
"North Haven village, New York: Summary level: 160, state:36> place:52188",928,18,0,0,910,188,7,0,0,23,37
"North Hills village, New York: Summary level: 160, state:36> place:53022",5038,96,17,0,4942,844,11,0,0,51,11
"North Hornell village, New York: Summary level: 160, state:36> place:53055",720,58,15,0,662,142,14,0,0,15,33
"North Lindenhurst CDP, New York: Summary level: 160, state:36> place:53198",11303,774,172,0,10529,2855,191,33,34,248,510
"North Lynbrook CDP, New York: Summary level: 160, state:36> place:53231",628,23,0,0,605,80,11,0,0,0,11
"North Massapequa CDP, New York: Summary level: 160, state:36> place:53253",17897,697,177,0,17200,4482,332,68,0,484,484
"North Merrick CDP, New York: Summary level: 160, state:36> place:53264",11400,320,124,0,11080,3038,270,0,0,443,286
"North New Hyde Park CDP, New York: Summary level: 160, state:36> place:53275",14146,488,223,0,13658,3606,225,27,34,434,189
"North Patchogue CDP, New York: Summary level: 160, state:36> place:53319",6791,461,165,10,6330,1799,191,31,85,257,91
"Northport village, New York: Summary level: 160, state:36> place:53396",7246,210,0,0,7036,1755,126,0,0,178,149
"North Rose CDP, New York: Summary level: 160, state:36> place:53462",609,16,7,0,593,130,0,0,0,0,43
"North Sea CDP, New York: Summary level: 160, state:36> place:53561",4267,173,52,10,4094,761,35,10,29,59,54
"North Syracuse village, New York: Summary level: 160, state:36> place:53660",6459,352,20,0,6107,1268,162,37,0,310,108
"North Tonawanda city, New York: Summary level: 160, state:36> place:53682",30147,3477,1033,40,26670,5768,333,182,179,556,799
"North Valley Stream CDP, New York: Summary level: 160, state:36> place:53748",16376,834,175,0,15542,4556,205,9,12,455,146
"Northville village, New York: Summary level: 160, state:36> place:53770",877,184,85,0,693,75,3,4,9,3,0
"Northville CDP, New York: Summary level: 160, state:36> place:53775",1449,200,72,0,1249,188,0,0,0,134,56
"North Wantagh CDP, New York: Summary level: 160, state:36> place:53792",11359,305,54,0,11054,2903,213,0,0,222,391
"Northwest Harbor CDP, New York: Summary level: 160, state:36> place:53852",3867,57,0,0,3810,774,97,0,0,67,83
"Northwest Ithaca CDP, New York: Summary level: 160, state:36> place:53853",917,166,43,7,751,112,15,19,0,15,18
"Norwich city, New York: Summary level: 160, state:36> place:53979",6447,1517,603,48,4930,1063,90,86,158,213,126
"Norwood village, New York: Summary level: 160, state:36> place:54012",1480,286,79,4,1194,267,5,18,20,36,55
"Noyack CDP, New York: Summary level: 160, state:36> place:54056",3557,474,133,0,3083,550,31,0,0,39,116
"Nunda village, New York: Summary level: 160, state:36> place:54078",1462,409,139,29,1053,235,26,48,10,36,27
"Nyack village, New York: Summary level: 160, state:36> place:54100",6644,992,358,39,5652,1020,88,78,39,356,159
"Oak Beach-Captree CDP, New York: Summary level: 160, state:36> place:54112",562,0,0,0,562,112,36,0,0,0,77
"Oakdale CDP, New York: Summary level: 160, state:36> place:54144",7014,189,56,0,6825,1637,165,0,0,198,99
"Oakfield village, New York: Summary level: 160, state:36> place:54155",1794,148,44,0,1646,458,39,11,15,61,33
"Ocean Beach village, New York: Summary level: 160, state:36> place:54430",81,10,0,0,71,21,0,0,0,0,0
"Oceanside CDP, New York: Summary level: 160, state:36> place:54441",29103,1175,330,0,27928,7131,507,15,0,675,828
"Odessa village, New York: Summary level: 160, state:36> place:54452",617,94,18,3,523,89,9,0,3,10,4
"Ogdensburg city, New York: Summary level: 160, state:36> place:54485",9031,2053,587,18,6978,1540,152,148,110,204,244
"Olcott CDP, New York: Summary level: 160, state:36> place:54540",1227,156,30,0,1071,299,0,0,0,0,0
"Old Bethpage CDP, New York: Summary level: 160, state:36> place:54551",5268,212,86,0,5056,1416,94,0,0,166,176
"Old Brookville village, New York: Summary level: 160, state:36> place:54562",2589,126,55,0,2463,764,59,0,0,97,60
"Old Field village, New York: Summary level: 160, state:36> place:54617",891,12,2,0,879,226,10,0,0,11,12
"Old Forge CDP, New York: Summary level: 160, state:36> place:54639",596,38,18,0,558,36,0,0,0,0,13
"Old Westbury village, New York: Summary level: 160, state:36> place:54705",2861,47,5,0,2814,816,57,0,0,34,63
"Olean city, New York: Summary level: 160, state:36> place:54716",13677,3063,1112,103,10614,2199,183,222,93,172,302
"Oneida city, New York: Summary level: 160, state:36> place:54837",10528,1472,536,93,9056,1880,122,125,103,210,224
"Oneida Castle village, New York: Summary level: 160, state:36> place:54848",694,56,10,3,638,170,17,6,2,23,31
"Oneonta city, New York: Summary level: 160, state:36> place:54881",9500,2784,2017,30,6716,1811,151,39,39,168,210
"Ontario CDP, New York: Summary level: 160, state:36> place:55002",2111,289,116,0,1822,388,24,0,0,28,39
"Orangeburg CDP, New York: Summary level: 160, state:36> place:55167",3821,539,59,0,3282,739,24,60,29,55,95
"Orange Lake CDP, New York: Summary level: 160, state:36> place:55189",6928,682,263,0,6246,1190,76,0,0,81,354
"Orchard Park village, New York: Summary level: 160, state:36> place:55266",3097,133,43,0,2964,672,43,8,0,42,91
"Orient CDP, New York: Summary level: 160, state:36> place:55321",702,11,7,0,691,103,3,0,0,0,14
"Oriskany village, New York: Summary level: 160, state:36> place:55365",1206,112,35,0,1094,268,7,8,10,16,22
"Oriskany Falls village, New York: Summary level: 160, state:36> place:55376",775,42,17,0,733,196,7,2,0,25,30
"Ossining village, New York: Summary level: 160, state:36> place:55530",22075,3769,1340,153,18306,4479,270,303,143,584,512
"Oswego city, New York: Summary level: 160, state:36> place:55574",16722,4488,2196,64,12234,2859,111,224,196,233,239
"Otego village, New York: Summary level: 160, state:36> place:55618",1188,77,8,0,1111,281,8,3,0,3,26
"Otisville village, New York: Summary level: 160, state:36> place:55673",1103,83,15,0,1020,273,20,16,2,22,26
"Eastchester CDP, New York: Summary level: 160, state:36> place:21809",19066,715,226,0,18351,4610,466,0,0,591,522
"East Farmingdale CDP, New York: Summary level: 160, state:36> place:21985",5900,295,71,4,5605,1674,85,0,0,105,156
"East Garden City CDP, New York: Summary level: 160, state:36> place:22065",2242,203,160,0,2039,393,13,0,0,19,7
"East Glenville CDP, New York: Summary level: 160, state:36> place:22084",6423,285,37,0,6138,1636,36,0,0,116,135
"East Greenbush CDP, New York: Summary level: 160, state:36> place:22106",4255,185,32,0,4070,1119,39,0,0,71,117
"East Hampton village, New York: Summary level: 160, state:36> place:22183",1109,27,0,0,1082,150,6,0,0,12,22
"East Hampton North CDP, New York: Summary level: 160, state:36> place:22200",4074,504,144,0,3570,814,35,0,0,88,55
"East Hills village, New York: Summary level: 160, state:36> place:22260",6765,334,166,0,6431,1946,192,0,0,236,187
"East Islip CDP, New York: Summary level: 160, state:36> place:22315",13128,410,183,0,12718,3987,189,32,32,333,329
"East Ithaca CDP, New York: Summary level: 160, state:36> place:22326",2330,508,407,0,1822,647,77,0,0,25,63
"East Kingston CDP, New York: Summary level: 160, state:36> place:22370",234,13,0,0,221,67,0,0,0,0,0
"East Marion CDP, New York: Summary level: 160, state:36> place:22447",997,18,7,0,979,138,0,0,0,0,15
"East Massapequa CDP, New York: Summary level: 160, state:36> place:22480",18433,800,163,0,17633,4467,299,48,57,499,415
"East Meadow CDP, New York: Summary level: 160, state:36> place:22502",34700,1364,375,17,33336,7850,571,17,0,896,985
"East Moriches CDP, New York: Summary level: 160, state:36> place:22546",4870,256,15,0,4614,1069,89,0,14,142,74
"East Nassau village, New York: Summary level: 160, state:36> place:22557",563,9,4,0,554,137,3,2,0,0,6
"East Northport CDP, New York: Summary level: 160, state:36> place:22612",19259,727,169,11,18532,5218,337,13,20,412,389
"East Norwich CDP, New York: Summary level: 160, state:36> place:22623",2611,91,25,0,2520,699,60,6,0,57,63
"East Patchogue CDP, New York: Summary level: 160, state:36> place:22733",21105,2455,649,44,18650,4071,343,235,157,626,502
"Eastport CDP, New York: Summary level: 160, state:36> place:22810",1498,26,0,0,1472,199,13,0,0,0,39
"East Quogue CDP, New York: Summary level: 160, state:36> place:22832",4651,117,12,0,4534,1210,39,0,0,106,100
"East Randolph CDP, New York: Summary level: 160, state:36> place:22843",491,145,47,7,346,67,2,30,13,24,0
"East Rochester village, New York: Summary level: 160, state:36> place:22865",6401,971,339,35,5430,1239,60,25,36,79,157
"East Rockaway village, New York: Summary level: 160, state:36> place:22876",9614,287,85,0,9327,2388,253,34,0,235,139
"East Shoreham CDP, New York: Summary level: 160, state:36> place:22980",6219,195,41,10,6024,1681,195,9,0,211,246
"East Syracuse village, New York: Summary level: 160, state:36> place:23052",2963,506,95,0,2457,670,61,0,7,190,14
"East Williston village, New York: Summary level: 160, state:36> place:23217",2516,31,0,0,2485,830,52,0,0,55,41
"Eatons Neck CDP, New York: Summary level: 160, state:36> place:23316",1296,6,0,0,1290,371,20,0,0,28,19
"Eden CDP, New York: Summary level: 160, state:36> place:23404",3403,120,15,0,3283,947,93,0,0,98,45
"Edmeston CDP, New York: Summary level: 160, state:36> place:23602",758,65,9,0,693,240,27,0,0,23,25
"Eggertsville CDP, New York: Summary level: 160, state:36> place:23701",14040,1568,900,64,12472,3240,159,169,37,336,477
"Elba village, New York: Summary level: 160, state:36> place:23745",660,7,4,0,653,181,8,0,0,6,30
"Elbridge village, New York: Summary level: 160, state:36> place:23789",949,33,17,0,916,217,0,0,9,42,17
"Elizabethtown CDP, New York: Summary level: 160, state:36> place:23822",571,71,15,0,500,46,0,0,10,16,9
"Ellenville village, New York: Summary level: 160, state:36> place:23965",3912,754,411,5,3158,859,75,73,41,100,136
"Ellicottville village, New York: Summary level: 160, state:36> place:24020",259,4,0,0,255,12,0,0,0,0,0
"Ellisburg village, New York: Summary level: 160, state:36> place:24075",196,42,12,0,154,28,6,0,3,1,8
"Elma Center CDP, New York: Summary level: 160, state:36> place:24141",2641,165,21,0,2476,530,0,0,0,0,18
"Elmira city, New York: Summary level: 160, state:36> place:24229",23924,6684,2234,48,17240,3477,212,446,423,474,590
"Elmira Heights village, New York: Summary level: 160, state:36> place:24251",3943,768,217,22,3175,726,48,47,23,154,115
"Elmont CDP, New York: Summary level: 160, state:36> place:24273",34930,2428,991,128,32502,9969,266,99,225,661,582
"Elmsford village, New York: Summary level: 160, state:36> place:24295",4528,453,150,0,4075,1092,64,19,46,59,113
"Elwood CDP, New York: Summary level: 160, state:36> place:24405",10276,182,45,0,10094,2886,252,0,0,399,416
"Endicott village, New York: Summary level: 160, state:36> place:24515",12436,2633,1022,57,9803,1961,82,120,47,260,317
"Endwell CDP, New York: Summary level: 160, state:36> place:24526",10903,881,305,0,10022,2240,183,19,19,240,148
"Erin CDP, New York: Summary level: 160, state:36> place:24625",367,26,0,0,341,94,0,0,0,0,0
"Esperance village, New York: Summary level: 160, state:36> place:24713",383,24,0,0,359,93,4,0,0,15,5
"Evans Mills village, New York: Summary level: 160, state:36> place:24823",563,89,30,2,474,119,10,5,3,21,20
"Fabius village, New York: Summary level: 160, state:36> place:24867",348,8,2,0,340,83,7,0,0,22,10
"Fair Haven village, New York: Summary level: 160, state:36> place:24988",683,98,14,2,585,92,0,0,0,4,2
"Fairmount CDP, New York: Summary level: 160, state:36> place:25043",9879,739,287,0,9140,2137,149,0,14,311,99
"Fairport village, New York: Summary level: 160, state:36> place:25076",5150,202,63,0,4948,952,72,17,0,88,214
"Fairview CDP (Dutchess County), New York: Summary level: 160, state:36> place:25109",4674,801,352,0,3873,1213,50,0,37,55,89
"Fairview CDP (Westchester County), New York: Summary level: 160, state:36> place:25120",2888,406,139,0,2482,688,24,0,22,25,87
"Falconer village, New York: Summary level: 160, state:36> place:25164",2603,358,141,16,2245,606,73,19,11,82,56
"Farmingdale village, New York: Summary level: 160, state:36> place:25384",7836,372,75,0,7464,1664,142,0,25,206,77
"Farmingville CDP, New York: Summary level: 160, state:36> place:25417",15744,722,229,0,15022,4372,339,0,0,432,231
"Farnham village, New York: Summary level: 160, state:36> place:25428",336,57,34,5,279,34,0,5,0,4,9
"Fayetteville village, New York: Summary level: 160, state:36> place:25527",4218,139,48,0,4079,888,51,0,0,130,106
"Felts Mills CDP, New York: Summary level: 160, state:36> place:25571",153,25,0,0,128,18,18,0,0,0,46
"Fillmore CDP, New York: Summary level: 160, state:36> place:25747",606,105,29,0,501,116,9,0,11,31,7
"Fire Island CDP, New York: Summary level: 160, state:36> place:25839",308,13,0,0,295,68,16,0,0,26,34
"Firthcliffe CDP, New York: Summary level: 160, state:36> place:25857",5002,234,36,0,4768,1419,52,0,9,194,60
"Fishers Island CDP, New York: Summary level: 160, state:36> place:25923",291,0,0,0,291,72,0,0,0,0,0
"Fishers Landing CDP, New York: Summary level: 160, state:36> place:25934",40,0,0,0,40,0,0,0,0,0,0
"Fishkill village, New York: Summary level: 160, state:36> place:25967",2181,204,52,0,1977,511,23,0,0,80,46
"Flanders CDP, New York: Summary level: 160, state:36> place:26121",4728,734,362,74,3994,1188,43,74,0,114,19
"Fleischmanns village, New York: Summary level: 160, state:36> place:26209",311,74,35,0,237,60,2,4,2,2,4
"Floral Park village, New York: Summary level: 160, state:36> place:26264",15569,407,126,0,15162,4266,401,0,11,386,416
"Florida village, New York: Summary level: 160, state:36> place:26319",2729,158,42,0,2571,556,16,0,0,24,123
"Flower Hill village, New York: Summary level: 160, state:36> place:26352",4513,368,93,14,4145,1409,135,46,0,33,247
"Fonda village, New York: Summary level: 160, state:36> place:26462",719,82,44,5,637,140,3,2,3,16,12
"Forest Home CDP, New York: Summary level: 160, state:36> place:26561",763,101,68,0,662,272,25,4,4,60,14
"Forestville village, New York: Summary level: 160, state:36> place:26649",790,145,60,0,645,192,6,3,3,19,22
"Fort Ann village, New York: Summary level: 160, state:36> place:26704",529,47,20,7,482,120,17,7,5,27,3
"Fort Covington Hamlet CDP, New York: Summary level: 160, state:36> place:26752",1371,321,64,5,1050,291,2,2,24,40,14
"Fort Drum CDP, New York: Summary level: 160, state:36> place:26759",9857,1873,1050,42,7984,2658,54,149,343,871,592
"Fort Edward village, New York: Summary level: 160, state:36> place:26770",3160,530,82,0,2630,497,0,79,31,0,14
"Fort Johnson village, New York: Summary level: 160, state:36> place:26880",513,18,10,0,495,119,2,0,4,7,5
"Fort Montgomery CDP, New York: Summary level: 160, state:36> place:26902",1277,114,35,0,1163,236,16,0,0,23,40
"Fort Plain village, New York: Summary level: 160, state:36> place:26924",2041,756,286,34,1285,269,3,127,93,69,7
"Fort Salonga CDP, New York: Summary level: 160, state:36> place:26946",9534,324,75,0,9210,2706,117,15,15,252,132
"Fowlerville CDP, New York: Summary level: 160, state:36> place:27133",404,89,53,26,315,89,0,26,0,0,56
"Frankfort village, New York: Summary level: 160, state:36> place:27188",2453,433,163,41,2020,541,0,29,57,62,11
"Franklin village, New York: Summary level: 160, state:36> place:27221",346,48,19,0,298,75,2,0,6,2,4
"Franklin Square CDP, New York: Summary level: 160, state:36> place:27309",29456,1407,517,15,28049,7640,447,59,16,569,946
"Franklinville village, New York: Summary level: 160, state:36> place:27331",1691,459,170,4,1232,230,18,40,30,54,56
"Fredonia village, New York: Summary level: 160, state:36> place:27419",8248,1686,1150,35,6562,1483,63,50,138,148,84
"Freedom Plains CDP, New York: Summary level: 160, state:36> place:27452",495,9,0,0,486,111,0,0,0,0,5
"Freeport village, New York: Summary level: 160, state:36> place:27485",40898,5449,1640,136,35449,8218,449,361,480,1300,729
"Freeville village, New York: Summary level: 160, state:36> place:27529",553,57,11,0,496,119,6,1,0,14,17
"Frewsburg CDP, New York: Summary level: 160, state:36> place:27672",2066,277,102,0,1789,411,0,0,0,13,12
"Friendship CDP, New York: Summary level: 160, state:36> place:27694",980,317,137,3,663,128,15,5,33,29,11
"Fulton city, New York: Summary level: 160, state:36> place:27815",11150,3317,1212,124,7833,1852,136,335,278,202,280
"Fultonville village, New York: Summary level: 160, state:36> place:27859",650,68,27,4,582,148,0,4,0,22,8
"Gainesville village, New York: Summary level: 160, state:36> place:27969",246,8,0,0,238,62,0,0,0,9,0
"Galeville CDP, New York: Summary level: 160, state:36> place:28035",4362,503,252,0,3859,612,42,12,5,175,72
"Galway village, New York: Summary level: 160, state:36> place:28101",277,46,21,7,231,61,8,7,0,27,0
"Gang Mills CDP, New York: Summary level: 160, state:36> place:28145",3874,383,26,0,3491,880,40,0,65,71,98
"Garden City village, New York: Summary level: 160, state:36> place:28178",20533,797,304,21,19736,5799,649,0,83,718,775
"Garden City Park CDP, New York: Summary level: 160, state:36> place:28189",7504,240,69,0,7264,1976,137,40,0,93,174
"Garden City South CDP, New York: Summary level: 160, state:36> place:28200",3828,114,44,0,3714,935,62,0,0,131,63
"Gardiner CDP, New York: Summary level: 160, state:36> place:28244",625,79,0,0,546,119,0,0,0,0,0
"Gardnertown CDP, New York: Summary level: 160, state:36> place:28310",4349,149,41,0,4200,988,15,0,0,92,83
"Gasport CDP, New York: Summary level: 160, state:36> place:28431",743,39,0,0,704,223,12,0,0,70,51
"Gates CDP, New York: Summary level: 160, state:36> place:28453",5047,343,42,0,4704,1099,190,0,0,265,230
