,Total,Income in the past 12 months below the poverty level,Income in the past 12 months below the poverty level!!Enrolled in school,"Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool",Income in the past 12 months at or above the poverty level,Income in the past 12 months at or above the poverty level!!Enrolled in school,"Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool",Income in the past 12 months below poverty level:!!Male:!!Under 5 years,Income in the past 12 months below poverty level:!!Female:!!Under 5 years,Income in the past 12 months at or above poverty level:!!Male:!!Under 5 years,Income in the past 12 months at or above poverty level:!!Female:!!Under 5 years
"Albany County, New York: Summary level: 050, state:36> county:001",278326,36894,14250,1162,241432,58916,3187,1943,1759,5860,5160
"Bronx County, New York: Summary level: 050, state:36> county:005",1289646,379989,143647,7171,909657,242579,11372,22514,22642,28882,27102
"Broome County, New York: Summary level: 050, state:36> county:007",182101,30365,11888,278,151736,31932,1957,1364,1010,3606,3593
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",75137,10478,3258,195,64659,14717,1421,665,587,1784,1643
"Cayuga County, New York: Summary level: 050, state:36> county:011",73435,7903,2614,220,65532,15568,749,377,502,1666,1353
"Chautauqua County, New York: Summary level: 050, state:36> county:013",123609,20452,7033,490,103157,22947,1419,686,1317,2710,2385
"Chemung County, New York: Summary level: 050, state:36> county:015",80607,11385,3968,139,69222,14634,1255,1109,326,1542,2039
"Clinton County, New York: Summary level: 050, state:36> county:019",73159,11502,3229,473,61657,14644,1026,325,591,1618,1538
"Dutchess County, New York: Summary level: 050, state:36> county:027",271565,19727,6215,446,251838,67607,4518,1486,617,6276,6757
"Erie County, New York: Summary level: 050, state:36> county:029",863631,120444,49765,4024,743187,178233,9818,6597,6450,18668,16996
"Jefferson County, New York: Summary level: 050, state:36> county:045",107133,13469,4208,107,93664,23506,1149,563,998,4658,3418
"Kings County, New York: Summary level: 050, state:36> county:047",2380923,536684,198079,11130,1844239,464933,27251,30013,29709,58048,55368
"Livingston County, New York: Summary level: 050, state:36> county:051",58111,8197,3855,259,49914,10715,309,440,359,1030,1146
"Madison County, New York: Summary level: 050, state:36> county:053",66714,6055,2221,43,60659,14431,697,413,337,1731,1594
"Monroe County, New York: Summary level: 050, state:36> county:055",693669,103887,43908,2180,589782,148239,8884,6126,5849,15444,15301
"Nassau County, New York: Summary level: 050, state:36> county:059",1277279,73088,24418,1090,1204191,320120,23199,3083,4062,34011,31458
"New York County, New York: Summary level: 050, state:36> county:061",1503459,245890,84164,3049,1257569,229460,19373,6403,6760,32355,30479
"Niagara County, New York: Summary level: 050, state:36> county:063",205412,28851,10003,687,176561,38605,2149,994,1098,4945,4268
"Oneida County, New York: Summary level: 050, state:36> county:065",213960,31162,11527,1211,182798,40070,1648,1851,2041,4810,4246
"Onondaga County, New York: Summary level: 050, state:36> county:067",433357,59490,25815,1161,373867,89330,5005,3645,2880,10295,10399
"Ontario County, New York: Summary level: 050, state:36> county:069",102693,10037,3784,277,92656,21347,1382,402,560,2445,1905
"Orange County, New York: Summary level: 050, state:36> county:071",345659,36085,15678,1184,309574,85728,5395,2578,2908,10603,9936
"Oswego County, New York: Summary level: 050, state:36> county:075",112723,19263,9007,241,93460,21923,1306,1032,908,2491,2529
"Putnam County, New York: Summary level: 050, state:36> county:079",94021,8725,1420,53,85296,22310,1827,45,61,1993,2595
"Queens County, New York: Summary level: 050, state:36> county:081",2138266,316214,108791,5716,1822052,434652,23864,15865,13394,49943,49443
"Rensselaer County, New York: Summary level: 050, state:36> county:083",148389,20424,9012,606,127965,28888,1509,1373,1484,2840,2908
"Richmond County, New York: Summary level: 050, state:36> county:085",446462,51285,16554,750,395177,105670,5528,2959,2671,11506,11028
"Rockland County, New York: Summary level: 050, state:36> county:087",292781,30258,12265,936,262523,77195,5915,2119,2985,10136,8252
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",95782,15581,5871,60,80201,16224,1190,1454,921,1759,1915
"Saratoga County, New York: Summary level: 050, state:36> county:091",207677,12839,2860,367,194838,47254,2718,639,399,5689,5554
"Schenectady County, New York: Summary level: 050, state:36> county:093",146995,15684,4929,126,131311,31484,1197,1204,1185,3619,3066
"Steuben County, New York: Summary level: 050, state:36> county:101",94381,12303,3590,163,82078,18816,1122,857,722,2081,1942
"Suffolk County, New York: Summary level: 050, state:36> county:103",1421299,86417,24244,1101,1334882,348859,22982,3278,3750,40370,37922
"Sullivan County, New York: Summary level: 050, state:36> county:105",74265,14749,4541,282,59516,12668,477,928,741,1627,808
"Tompkins County, New York: Summary level: 050, state:36> county:109",83971,18378,11463,381,65593,17111,839,375,313,1600,1627
"Ulster County, New York: Summary level: 050, state:36> county:111",164662,20419,7040,623,144243,33513,1806,88,1220,4242,3266
"Warren County, New York: Summary level: 050, state:36> county:113",62370,5048,1020,73,57322,12059,903,104,443,1475,1280
"Wayne County, New York: Summary level: 050, state:36> county:117",89548,8444,2723,267,81104,18757,763,660,705,2149,2484
"Westchester County, New York: Summary level: 050, state:36> county:119",891295,77090,25154,1741,814205,214795,13988,4112,2884,24470,24844
