,Total,Income in the past 12 months below the poverty level,Income in the past 12 months below the poverty level!!Enrolled in school,"Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool",Income in the past 12 months at or above the poverty level,Income in the past 12 months at or above the poverty level!!Enrolled in school,"Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool",Income in the past 12 months below poverty level:!!Male:!!Under 5 years,Income in the past 12 months below poverty level:!!Female:!!Under 5 years,Income in the past 12 months at or above poverty level:!!Male:!!Under 5 years,Income in the past 12 months at or above poverty level:!!Female:!!Under 5 years
"Rensselaer County, New York: Summary level: 050, state:36> county:083",149545,16428,6545,237,133117,28479,2219,295,975,3441,3379
"Chautauqua County, New York: Summary level: 050, state:36> county:013",118737,21690,6291,532,97047,18620,1301,1250,1181,2161,2078
"Clinton County, New York: Summary level: 050, state:36> county:019",70369,8617,2467,186,61752,11498,339,397,297,1516,1572
"New York County, New York: Summary level: 050, state:36> county:061",1535109,237986,70173,4409,1297123,214038,17882,8134,7235,30267,30075
"Saratoga County, New York: Summary level: 050, state:36> county:091",219222,12572,3658,33,206650,44566,2872,444,574,5621,4998
"Tompkins County, New York: Summary level: 050, state:36> county:109",86804,15420,10469,101,71384,16880,1000,419,115,2489,1347
"Oneida County, New York: Summary level: 050, state:36> county:065",210575,30538,9308,485,180037,38494,1410,1109,1023,5613,4947
"Oswego County, New York: Summary level: 050, state:36> county:075",109212,17709,6273,333,91503,17626,650,998,759,2038,2242
"Nassau County, New York: Summary level: 050, state:36> county:059",1297474,71511,24647,1333,1225963,302750,21103,2467,2931,35236,32130
"Orange County, New York: Summary level: 050, state:36> county:071",356855,39657,15733,1596,317198,83593,5135,2081,2659,10837,8530
"Rockland County, New York: Summary level: 050, state:36> county:087",306416,42737,19604,1457,263679,73352,5566,3680,3455,9093,9731
"Ontario County, New York: Summary level: 050, state:36> county:069",103503,8108,2006,35,95395,23169,1068,389,136,2325,2676
"Chemung County, New York: Summary level: 050, state:36> county:015",77501,9389,1910,243,68112,13193,881,388,564,1627,1809
"Jefferson County, New York: Summary level: 050, state:36> county:045",100430,11542,2953,294,88888,21352,1007,906,596,3224,3673
"Erie County, New York: Summary level: 050, state:36> county:029",863041,116043,39107,3119,746998,159943,9647,5571,5854,19528,18558
"Ulster County, New York: Summary level: 050, state:36> county:111",166150,25007,7792,303,141143,27028,1473,481,602,3033,3336
"Westchester County, New York: Summary level: 050, state:36> county:119",914717,73176,22218,2291,841541,210623,16167,2689,2930,24572,22415
"Warren County, New York: Summary level: 050, state:36> county:113",61842,6429,1424,27,55413,10527,959,301,246,1177,1222
"Niagara County, New York: Summary level: 050, state:36> county:063",201025,26019,7723,524,175006,35363,2211,1291,762,3974,4811
"Putnam County, New York: Summary level: 050, state:36> county:079",95096,6021,2065,88,89075,21474,1178,165,187,2328,1776
"Livingston County, New York: Summary level: 050, state:36> county:051",55137,7190,4413,184,47947,9409,595,114,311,1370,912
"Suffolk County, New York: Summary level: 050, state:36> county:103",1411883,99212,29894,1464,1312671,318962,21187,3455,4819,36090,33076
"Cayuga County, New York: Summary level: 050, state:36> county:011",69988,8884,2047,141,61104,12497,608,238,263,1672,1430
"Kings County, New York: Summary level: 050, state:36> county:047",2447791,458498,155534,10820,1989293,465034,36386,21083,24579,73827,65301
"Onondaga County, New York: Summary level: 050, state:36> county:067",427566,58146,22335,1441,369420,79768,5868,2793,2581,10679,10194
"Albany County, New York: Summary level: 050, state:36> county:001",282613,31486,12171,88,251127,56935,3835,972,984,6707,6146
"Madison County, New York: Summary level: 050, state:36> county:053",63434,5671,1384,55,57763,10942,730,168,120,1428,1376
"Queens County, New York: Summary level: 050, state:36> county:081",2170158,248308,71974,4742,1921850,432745,29479,10054,8481,60289,58385
"Wayne County, New York: Summary level: 050, state:36> county:117",86219,7108,2182,97,79111,17228,1093,661,151,1842,2294
"Bronx County, New York: Summary level: 050, state:36> county:005",1336970,359354,127488,7719,977616,255149,16103,18257,20646,32034,28808
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",93193,13108,4696,334,80085,17438,1272,469,510,2150,2127
"Richmond County, New York: Summary level: 050, state:36> county:085",453973,50852,14044,941,403121,95782,5550,2846,1357,10235,11925
"Schenectady County, New York: Summary level: 050, state:36> county:093",146067,14582,3515,98,131485,30790,1565,855,1354,3573,2844
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",72626,12549,3669,317,60077,12298,1051,562,567,1600,1320
"Monroe County, New York: Summary level: 050, state:36> county:055",693885,101182,38405,2200,592703,129375,9049,3658,3473,16746,15958
"Sullivan County, New York: Summary level: 050, state:36> county:105",71221,10907,2912,379,60314,13012,775,371,561,1583,1582
"Broome County, New York: Summary level: 050, state:36> county:007",177142,31554,11514,313,145588,30761,1819,1163,1286,3761,3462
"Dutchess County, New York: Summary level: 050, state:36> county:027",269961,24372,6984,458,245589,55111,3200,155,1336,6500,5241
"Steuben County, New York: Summary level: 050, state:36> county:101",91587,10972,2753,133,80615,16499,971,556,529,2119,1839
