,Total,Income in the past 12 months below the poverty level,Income in the past 12 months below the poverty level!!Enrolled in school,"Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool",Income in the past 12 months at or above the poverty level,Income in the past 12 months at or above the poverty level!!Enrolled in school,"Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool",Income in the past 12 months below poverty level:!!Male:!!Under 5 years,Income in the past 12 months below poverty level:!!Female:!!Under 5 years,Income in the past 12 months at or above poverty level:!!Male:!!Under 5 years,Income in the past 12 months at or above poverty level:!!Female:!!Under 5 years
"Albany County, New York: Summary level: 050, state:36> county:001",281376,39638,17222,579,241738,56945,4456,825,1514,6652,5540
"Bronx County, New York: Summary level: 050, state:36> county:005",1314534,399767,152205,8769,914767,240329,13826,25193,22293,29085,29027
"Broome County, New York: Summary level: 050, state:36> county:007",182583,30759,13076,406,151824,35550,2243,1751,1223,2938,3191
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",74284,13065,4206,183,61219,12444,678,1177,704,929,1665
"Cayuga County, New York: Summary level: 050, state:36> county:011",72915,8341,3314,120,64574,13195,435,388,151,1797,1805
"Chautauqua County, New York: Summary level: 050, state:36> county:013",123604,26156,8654,964,97448,19489,760,1621,1703,2217,1830
"Chemung County, New York: Summary level: 050, state:36> county:015",81068,11738,4601,33,69330,15595,1055,651,103,1962,2011
"Clinton County, New York: Summary level: 050, state:36> county:019",71192,9615,3814,427,61577,13621,455,724,447,1235,1275
"Dutchess County, New York: Summary level: 050, state:36> county:027",271567,24832,7803,509,246735,64051,3483,884,1401,6530,5740
"Erie County, New York: Summary level: 050, state:36> county:029",863293,118023,47486,1440,745270,175185,9442,5013,6310,19740,17328
"Jefferson County, New York: Summary level: 050, state:36> county:045",108258,15079,5556,414,93179,23879,1187,1162,917,4010,3590
"Kings County, New York: Summary level: 050, state:36> county:047",2433575,579508,211367,14884,1854067,452399,28383,36275,31073,59360,59533
"Livingston County, New York: Summary level: 050, state:36> county:051",57148,7267,3501,86,49881,11578,545,288,144,1196,1150
"Madison County, New York: Summary level: 050, state:36> county:053",65285,8295,2864,61,56990,11465,466,508,494,1345,1326
"Monroe County, New York: Summary level: 050, state:36> county:055",699679,102546,41458,2240,597133,144413,8487,5821,6251,15876,14182
"Nassau County, New York: Summary level: 050, state:36> county:059",1290126,84668,28832,1587,1205458,317014,24939,3324,3241,33627,31907
"New York County, New York: Summary level: 050, state:36> county:061",1520219,268606,89667,3755,1251613,211551,20957,8234,10108,33579,30009
"Niagara County, New York: Summary level: 050, state:36> county:063",204675,29913,11105,850,174762,38484,1796,2133,1613,3537,3579
"Oneida County, New York: Summary level: 050, state:36> county:065",215425,34514,12543,1114,180911,39394,2597,1963,1886,4719,4407
"Onondaga County, New York: Summary level: 050, state:36> county:067",431787,63574,27382,1175,368213,89416,4306,3152,4293,10955,8466
"Ontario County, New York: Summary level: 050, state:36> county:069",100871,12048,5437,179,88823,18975,1170,192,515,2956,2168
"Orange County, New York: Summary level: 050, state:36> county:071",349843,41453,16090,1820,308390,88315,6041,3001,3634,9434,8374
"Oswego County, New York: Summary level: 050, state:36> county:075",112610,17992,6599,250,94618,22233,1060,1403,949,2037,2271
"Putnam County, New York: Summary level: 050, state:36> county:079",95858,6096,1772,43,89762,23441,1558,39,310,1947,1910
"Queens County, New York: Summary level: 050, state:36> county:081",2169910,347289,120061,7069,1822621,425957,27520,15294,14754,54371,51584
"Rensselaer County, New York: Summary level: 050, state:36> county:083",149060,16336,6987,197,132724,31974,2009,402,988,3725,3538
"Richmond County, New York: Summary level: 050, state:36> county:085",450039,51784,16227,907,398255,105424,6683,1924,2004,12365,11591
"Rockland County, New York: Summary level: 050, state:36> county:087",298204,44153,21353,1508,254051,70845,5324,4244,3642,7852,7908
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",97065,18502,5764,637,78563,16370,1061,1387,978,1814,1736
"Saratoga County, New York: Summary level: 050, state:36> county:091",210525,12494,4218,249,198031,48332,3735,218,425,5478,5561
"Schenectady County, New York: Summary level: 050, state:36> county:093",146201,15858,5760,276,130343,32330,1620,668,1715,3066,2899
"Steuben County, New York: Summary level: 050, state:36> county:101",93729,14286,4917,271,79443,17310,1076,896,701,2014,2329
"Suffolk County, New York: Summary level: 050, state:36> county:103",1422702,97325,29725,2236,1325377,346207,22094,4314,4762,36761,34913
"Sullivan County, New York: Summary level: 050, state:36> county:105",71552,13029,3488,65,58523,13411,793,701,416,1516,1579
"Tompkins County, New York: Summary level: 050, state:36> county:109",86888,15761,10694,89,71127,18881,1345,249,408,2190,1744
"Ulster County, New York: Summary level: 050, state:36> county:111",170417,22274,5745,629,148143,33904,2151,1081,808,3184,3054
"Warren County, New York: Summary level: 050, state:36> county:113",62883,6768,2104,20,56115,11458,630,218,317,1327,1162
"Wayne County, New York: Summary level: 050, state:36> county:117",88571,10472,2637,421,78099,18660,1037,920,544,1739,2145
"Westchester County, New York: Summary level: 050, state:36> county:119",906160,89432,29178,1861,816728,219636,15167,5237,3725,22533,23236
