,Total,Income in the past 12 months below the poverty level,Income in the past 12 months below the poverty level!!Enrolled in school,"Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool",Income in the past 12 months at or above the poverty level,Income in the past 12 months at or above the poverty level!!Enrolled in school,"Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool",Income in the past 12 months below poverty level:!!Male:!!Under 5 years,Income in the past 12 months below poverty level:!!Female:!!Under 5 years,Income in the past 12 months at or above poverty level:!!Male:!!Under 5 years,Income in the past 12 months at or above poverty level:!!Female:!!Under 5 years
"Bronx County, New York: Summary level: 050, state:36> county:005",1324574,343361,122960,9300,981213,247071,17417,17519,18291,31065,29586
"Onondaga County, New York: Summary level: 050, state:36> county:067",426345,59518,21823,1363,366827,84416,5598,3225,2056,9561,10603
"Clinton County, New York: Summary level: 050, state:36> county:019",70838,11723,4738,284,59115,10498,427,379,354,1280,1390
"Putnam County, New York: Summary level: 050, state:36> county:079",94121,3997,285,0,90124,19843,614,0,0,2026,2281
"Ontario County, New York: Summary level: 050, state:36> county:069",103505,7972,1690,59,95533,19837,1878,82,222,2127,2159
"Steuben County, New York: Summary level: 050, state:36> county:101",91034,13921,3564,465,77113,14938,742,1063,811,1720,1742
"Chautauqua County, New York: Summary level: 050, state:36> county:013",118011,19341,5678,825,98670,17471,952,523,967,2673,2501
"Kings County, New York: Summary level: 050, state:36> county:047",2421706,420496,141844,10039,2001210,460163,35520,23068,20786,69684,66555
"Saratoga County, New York: Summary level: 050, state:36> county:091",220106,12040,3109,99,208066,43593,2914,368,14,5579,5358
"Westchester County, New York: Summary level: 050, state:36> county:119",916597,72908,21487,1495,843689,207857,16980,3836,2511,23390,23029
"Richmond County, New York: Summary level: 050, state:36> county:085",456239,37737,13684,460,418502,101849,7803,1159,720,11467,11831
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",93601,18181,4735,210,75420,15238,491,1517,791,1072,1754
"Tompkins County, New York: Summary level: 050, state:36> county:109",87415,15629,9354,437,71786,19500,1285,377,305,1527,1345
"Warren County, New York: Summary level: 050, state:36> county:113",61889,5962,1085,0,55927,10614,608,291,122,1363,896
"Dutchess County, New York: Summary level: 050, state:36> county:027",271353,22556,6709,53,248797,54545,3951,527,247,5467,5924
"Monroe County, New York: Summary level: 050, state:36> county:055",693810,86609,31830,1020,607201,127342,9272,4640,2627,15752,16272
"Oneida County, New York: Summary level: 050, state:36> county:065",210423,29530,8167,272,180893,40675,2540,1724,882,4614,5115
"Ulster County, New York: Summary level: 050, state:36> county:111",165742,19201,5620,399,146541,28729,1190,447,1219,3541,2145
"Chemung County, New York: Summary level: 050, state:36> county:015",76249,10446,3087,20,65803,12429,874,506,208,1607,1759
"Livingston County, New York: Summary level: 050, state:36> county:051",56058,8537,4046,84,47521,9506,600,322,80,1064,1238
"Madison County, New York: Summary level: 050, state:36> county:053",63756,5126,953,194,58630,11771,654,194,261,1571,1312
"Albany County, New York: Summary level: 050, state:36> county:001",281327,32755,14517,1182,248572,53932,2795,1822,1683,5959,5684
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",71505,10091,3035,134,61414,12021,627,460,450,1906,1590
"Schenectady County, New York: Summary level: 050, state:36> county:093",146838,18129,6463,452,128709,25130,1256,446,968,4004,2819
"Rensselaer County, New York: Summary level: 050, state:36> county:083",148612,17394,5187,193,131218,27806,2004,965,195,3209,3172
"Queens County, New York: Summary level: 050, state:36> county:081",2144492,231395,65893,4833,1913097,427459,26741,9001,9072,58632,54907
"New York County, New York: Summary level: 050, state:36> county:061",1531699,214340,60080,1797,1317359,215882,16637,6168,5448,32448,31670
"Cayuga County, New York: Summary level: 050, state:36> county:011",70107,9958,3229,254,60149,11310,764,450,414,1411,1420
"Rockland County, New York: Summary level: 050, state:36> county:087",305590,36163,16410,1349,269427,74718,5020,3489,3727,9465,9891
"Niagara County, New York: Summary level: 050, state:36> county:063",198181,24637,7056,548,173544,36242,2831,942,578,3988,4830
"Nassau County, New York: Summary level: 050, state:36> county:059",1292626,67951,19050,602,1224675,300585,21235,1738,3308,34319,31974
"Jefferson County, New York: Summary level: 050, state:36> county:045",98398,15131,5339,127,83267,18441,1771,673,543,3307,3560
"Suffolk County, New York: Summary level: 050, state:36> county:103",1404132,90402,26826,2296,1313730,312900,19731,5225,3227,33566,34631
"Oswego County, New York: Summary level: 050, state:36> county:075",107435,16033,6165,485,91402,16476,879,1406,1479,1967,1563
"Wayne County, New York: Summary level: 050, state:36> county:117",86136,10420,3255,230,75716,15586,928,346,820,2396,1192
"Broome County, New York: Summary level: 050, state:36> county:007",174349,31449,14157,800,142900,29990,1077,1655,1795,3718,2872
"Erie County, New York: Summary level: 050, state:36> county:029",862115,112279,39349,2019,749836,155992,9447,4713,4719,20583,19363
"Sullivan County, New York: Summary level: 050, state:36> county:105",69949,10724,3588,183,59225,10722,984,356,728,1790,1386
"Orange County, New York: Summary level: 050, state:36> county:071",361099,44424,17507,1734,316675,85290,3839,3277,2725,10174,9123
