,Total,Owner occupied,Renter occupied
"Albany County, New York: Summary level: 050, state:36> county:001",121119,71181,49938
"Bronx County, New York: Summary level: 050, state:36> county:005",475978,91116,384862
"Broome County, New York: Summary level: 050, state:36> county:007",81687,53948,27739
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",32347,23456,8891
"Cayuga County, New York: Summary level: 050, state:36> county:011",30354,21703,8651
"Chautauqua County, New York: Summary level: 050, state:36> county:013",51814,36199,15615
"Chemung County, New York: Summary level: 050, state:36> county:015",34867,24469,10398
"Clinton County, New York: Summary level: 050, state:36> county:019",32451,21956,10495
"Dutchess County, New York: Summary level: 050, state:36> county:027",107106,74277,32829
"Erie County, New York: Summary level: 050, state:36> county:029",379094,247295,131799
"Jefferson County, New York: Summary level: 050, state:36> county:045",45845,26530,19315
"Kings County, New York: Summary level: 050, state:36> county:047",919333,273302,646031
"Livingston County, New York: Summary level: 050, state:36> county:051",24038,18508,5530
"Madison County, New York: Summary level: 050, state:36> county:053",25991,19531,6460
"Monroe County, New York: Summary level: 050, state:36> county:055",298715,190550,108165
"Nassau County, New York: Summary level: 050, state:36> county:059",441732,354633,87099
"New York County, New York: Summary level: 050, state:36> county:061",746686,164659,582027
"Niagara County, New York: Summary level: 050, state:36> county:063",88995,61178,27817
"Oneida County, New York: Summary level: 050, state:36> county:065",90571,60483,30088
"Onondaga County, New York: Summary level: 050, state:36> county:067",185985,120322,65663
"Ontario County, New York: Summary level: 050, state:36> county:069",44328,30980,13348
"Orange County, New York: Summary level: 050, state:36> county:071",125228,86492,38736
"Oswego County, New York: Summary level: 050, state:36> county:075",45480,33130,12350
"Putnam County, New York: Summary level: 050, state:36> county:079",34050,28577,5473
"Queens County, New York: Summary level: 050, state:36> county:081",780349,340026,440323
"Rensselaer County, New York: Summary level: 050, state:36> county:083",64581,42066,22515
"Richmond County, New York: Summary level: 050, state:36> county:085",163468,110022,53446
"Rockland County, New York: Summary level: 050, state:36> county:087",97934,67060,30874
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",42436,29582,12854
"Saratoga County, New York: Summary level: 050, state:36> county:091",87414,61008,26406
"Schenectady County, New York: Summary level: 050, state:36> county:093",57463,37801,19662
"Steuben County, New York: Summary level: 050, state:36> county:101",41597,29102,12495
"Suffolk County, New York: Summary level: 050, state:36> county:103",496353,392268,104085
"Sullivan County, New York: Summary level: 050, state:36> county:105",29222,19716,9506
"Tompkins County, New York: Summary level: 050, state:36> county:109",38269,21196,17073
"Ulster County, New York: Summary level: 050, state:36> county:111",70353,48938,21415
"Warren County, New York: Summary level: 050, state:36> county:113",27530,19698,7832
"Wayne County, New York: Summary level: 050, state:36> county:117",37027,28610,8417
"Westchester County, New York: Summary level: 050, state:36> county:119",340097,209605,130492
