,Total,Owner occupied,Renter occupied
"Alden village, New York: Summary level: 160, state:36> place:01088",1142,739,403
"Alexander village, New York: Summary level: 160, state:36> place:01154",198,144,54
"Alexandria Bay village, New York: Summary level: 160, state:36> place:01187",466,247,219
"Alfred village, New York: Summary level: 160, state:36> place:01198",423,121,302
"Allegany village, New York: Summary level: 160, state:36> place:01286",727,468,259
"Almond village, New York: Summary level: 160, state:36> place:01440",197,141,56
"Altamont village, New York: Summary level: 160, state:36> place:01517",644,450,194
"Altmar village, New York: Summary level: 160, state:36> place:01550",136,73,63
"Altona CDP, New York: Summary level: 160, state:36> place:01572",129,86,43
"Amagansett CDP, New York: Summary level: 160, state:36> place:01594",430,360,70
"Amenia CDP, New York: Summary level: 160, state:36> place:01682",408,177,231
"Ames village, New York: Summary level: 160, state:36> place:01737",70,56,14
"Amityville village, New York: Summary level: 160, state:36> place:02044",3480,2314,1166
"Amsterdam city, New York: Summary level: 160, state:36> place:02066",7787,3978,3809
"Andes CDP, New York: Summary level: 160, state:36> place:02121",99,64,35
"Andover village, New York: Summary level: 160, state:36> place:02143",366,259,107
"Angelica village, New York: Summary level: 160, state:36> place:02176",391,299,92
"Angola village, New York: Summary level: 160, state:36> place:02198",771,568,203
"Angola on the Lake CDP, New York: Summary level: 160, state:36> place:02220",642,527,115
"Antwerp village, New York: Summary level: 160, state:36> place:02286",197,146,51
"Apalachin CDP, New York: Summary level: 160, state:36> place:02308",503,334,169
"Aquebogue CDP, New York: Summary level: 160, state:36> place:02374",863,582,281
"Arcade village, New York: Summary level: 160, state:36> place:02407",871,539,332
"Ardsley village, New York: Summary level: 160, state:36> place:02506",1538,1272,266
"Argyle village, New York: Summary level: 160, state:36> place:02550",133,77,56
"Arkport village, New York: Summary level: 160, state:36> place:02583",368,291,77
"Arlington CDP, New York: Summary level: 160, state:36> place:02616",1439,417,1022
"Armonk CDP, New York: Summary level: 160, state:36> place:02649",1351,1242,109
"Asharoken village, New York: Summary level: 160, state:36> place:02737",224,207,17
"Athens village, New York: Summary level: 160, state:36> place:02902",634,428,206
"Atlantic Beach village, New York: Summary level: 160, state:36> place:02968",696,615,81
"Attica village, New York: Summary level: 160, state:36> place:03001",1105,662,443
"Auburn city, New York: Summary level: 160, state:36> place:03078",11248,5344,5904
"Aurora village, New York: Summary level: 160, state:36> place:03188",164,108,56
"Au Sable Forks CDP, New York: Summary level: 160, state:36> place:03254",206,143,63
"Averill Park CDP, New York: Summary level: 160, state:36> place:03320",631,549,82
"Avoca village, New York: Summary level: 160, state:36> place:03331",378,310,68
"Avon village, New York: Summary level: 160, state:36> place:03353",1360,911,449
"Babylon village, New York: Summary level: 160, state:36> place:03408",4521,3398,1123
"Bainbridge village, New York: Summary level: 160, state:36> place:04033",562,353,209
"Baiting Hollow CDP, New York: Summary level: 160, state:36> place:04055",642,618,24
"Baldwin CDP, New York: Summary level: 160, state:36> place:04143",7497,5970,1527
"Baldwin Harbor CDP, New York: Summary level: 160, state:36> place:04154",2626,2307,319
"Baldwinsville village, New York: Summary level: 160, state:36> place:04198",3115,1969,1146
"Ballston Spa village, New York: Summary level: 160, state:36> place:04253",2423,1267,1156
"Balmville CDP, New York: Summary level: 160, state:36> place:04286",1096,862,234
"Bardonia CDP, New York: Summary level: 160, state:36> place:04396",1393,1202,191
"Barker village, New York: Summary level: 160, state:36> place:04440",219,157,62
"Barneveld village, New York: Summary level: 160, state:36> place:04528",106,79,27
"Barnum Island CDP, New York: Summary level: 160, state:36> place:04550",807,692,115
"Batavia city, New York: Summary level: 160, state:36> place:04715",6379,3389,2990
"Bath village, New York: Summary level: 160, state:36> place:04759",2822,1662,1160
"Baxter Estates village, New York: Summary level: 160, state:36> place:04803",361,271,90
"Bay Park CDP, New York: Summary level: 160, state:36> place:04891",747,647,100
"Bayport CDP, New York: Summary level: 160, state:36> place:04913",3217,2114,1103
"Bay Shore CDP, New York: Summary level: 160, state:36> place:04935",9491,5487,4004
"Bayville village, New York: Summary level: 160, state:36> place:05034",2458,2020,438
"Baywood CDP, New York: Summary level: 160, state:36> place:05039",2143,1858,285
"Beacon city, New York: Summary level: 160, state:36> place:05100",5528,2761,2767
"Beaver Dam Lake CDP, New York: Summary level: 160, state:36> place:05188",797,766,31
"Bedford CDP, New York: Summary level: 160, state:36> place:05309",737,604,133
"Bedford Hills CDP, New York: Summary level: 160, state:36> place:05342",1177,554,623
"Belfast CDP, New York: Summary level: 160, state:36> place:05562",425,219,206
"Bellerose village, New York: Summary level: 160, state:36> place:05639",394,373,21
"Bellerose Terrace CDP, New York: Summary level: 160, state:36> place:05661",572,485,87
"Belle Terre village, New York: Summary level: 160, state:36> place:05672",277,268,9
"Belleville CDP, New York: Summary level: 160, state:36> place:05683",88,30,58
"Bellmore CDP, New York: Summary level: 160, state:36> place:05738",5522,4906,616
"Bellport village, New York: Summary level: 160, state:36> place:05771",1038,836,202
"Belmont village, New York: Summary level: 160, state:36> place:05815",451,312,139
"Bemus Point village, New York: Summary level: 160, state:36> place:05848",109,65,44
"Bergen village, New York: Summary level: 160, state:36> place:06046",489,356,133
"Bethpage CDP, New York: Summary level: 160, state:36> place:06387",5803,5221,582
"Big Flats CDP, New York: Summary level: 160, state:36> place:06464",2241,1786,455
"Billington Heights CDP, New York: Summary level: 160, state:36> place:06574",586,458,128
"Binghamton city, New York: Summary level: 160, state:36> place:06607",20079,9212,10867
"Binghamton University CDP, New York: Summary level: 160, state:36> place:06644",0,0,0
"Black River village, New York: Summary level: 160, state:36> place:06794",579,387,192
"Blasdell village, New York: Summary level: 160, state:36> place:06849",1131,594,537
"Blauvelt CDP, New York: Summary level: 160, state:36> place:06860",1697,1589,108
"Bliss CDP, New York: Summary level: 160, state:36> place:06904",225,199,26
"Blodgett Mills CDP, New York: Summary level: 160, state:36> place:06937",126,100,26
"Bloomfield village, New York: Summary level: 160, state:36> place:06945",608,428,180
"Bloomingburg village, New York: Summary level: 160, state:36> place:06959",211,105,106
"Bloomville CDP, New York: Summary level: 160, state:36> place:07025",93,87,6
"Blue Point CDP, New York: Summary level: 160, state:36> place:07069",1652,1468,184
"Bohemia CDP, New York: Summary level: 160, state:36> place:07157",3564,2901,663
"Bolivar village, New York: Summary level: 160, state:36> place:07190",458,275,183
"Bolton Landing CDP, New York: Summary level: 160, state:36> place:07245",297,169,128
"Boonville village, New York: Summary level: 160, state:36> place:07355",838,413,425
"Brasher Falls CDP, New York: Summary level: 160, state:36> place:07960",263,152,111
"Breesport CDP, New York: Summary level: 160, state:36> place:08004",237,237,0
"Brentwood CDP, New York: Summary level: 160, state:36> place:08026",13973,10159,3814
"Brewerton CDP, New York: Summary level: 160, state:36> place:08059",1705,1096,609
"Brewster village, New York: Summary level: 160, state:36> place:08070",877,161,716
"Brewster Hill CDP, New York: Summary level: 160, state:36> place:08092",625,515,110
"Briarcliff Manor village, New York: Summary level: 160, state:36> place:08103",2674,2164,510
"Bridgehampton CDP, New York: Summary level: 160, state:36> place:08136",593,497,96
"Bridgeport CDP, New York: Summary level: 160, state:36> place:08147",605,442,163
"Bridgewater village, New York: Summary level: 160, state:36> place:08169",184,123,61
"Brighton CDP, New York: Summary level: 160, state:36> place:08257",15567,8836,6731
"Brightwaters village, New York: Summary level: 160, state:36> place:08323",1076,977,99
"Brinckerhoff CDP, New York: Summary level: 160, state:36> place:08334",962,878,84
"Broadalbin village, New York: Summary level: 160, state:36> place:08422",626,451,175
"Brockport village, New York: Summary level: 160, state:36> place:08466",2504,1194,1310
"Brocton village, New York: Summary level: 160, state:36> place:08488",661,398,263
"Bronxville village, New York: Summary level: 160, state:36> place:08532",2203,1745,458
"Brookhaven CDP, New York: Summary level: 160, state:36> place:09000",1063,896,167
"Brookville village, New York: Summary level: 160, state:36> place:10132",792,729,63
"Brownville village, New York: Summary level: 160, state:36> place:10231",351,212,139
"Brushton village, New York: Summary level: 160, state:36> place:10286",206,123,83
"Buchanan village, New York: Summary level: 160, state:36> place:10341",881,722,159
"Buffalo city, New York: Summary level: 160, state:36> place:11000",112037,47254,64783
"Burdett village, New York: Summary level: 160, state:36> place:11132",154,133,21
"Burke village, New York: Summary level: 160, state:36> place:11154",78,56,22
"Busti CDP, New York: Summary level: 160, state:36> place:11440",139,90,49
"Byersville CDP, New York: Summary level: 160, state:36> place:11550",30,18,12
"Cairo CDP, New York: Summary level: 160, state:36> place:11638",519,294,225
"Calcium CDP, New York: Summary level: 160, state:36> place:11671",1469,189,1280
"Caledonia village, New York: Summary level: 160, state:36> place:11704",938,641,297
"Callicoon CDP, New York: Summary level: 160, state:36> place:11748",79,23,56
"Calverton CDP, New York: Summary level: 160, state:36> place:11781",2879,2492,387
"Cambridge village, New York: Summary level: 160, state:36> place:11825",781,500,281
"Camden village, New York: Summary level: 160, state:36> place:11847",998,575,423
"Camillus village, New York: Summary level: 160, state:36> place:11902",558,280,278
"Campbell CDP, New York: Summary level: 160, state:36> place:11935",304,212,92
"Canajoharie village, New York: Summary level: 160, state:36> place:12111",830,529,301
"Canandaigua city, New York: Summary level: 160, state:36> place:12144",4988,2675,2313
"Canaseraga village, New York: Summary level: 160, state:36> place:12177",284,192,92
"Canastota village, New York: Summary level: 160, state:36> place:12188",1963,1192,771
"Candor village, New York: Summary level: 160, state:36> place:12210",314,225,89
"Canisteo village, New York: Summary level: 160, state:36> place:12254",914,618,296
"Canton village, New York: Summary level: 160, state:36> place:12331",1694,835,859
"Cape Vincent village, New York: Summary level: 160, state:36> place:12353",326,224,102
"Carle Place CDP, New York: Summary level: 160, state:36> place:12419",1889,1334,555
"Carmel Hamlet CDP, New York: Summary level: 160, state:36> place:12532",2206,1735,471
"Caroga Lake CDP, New York: Summary level: 160, state:36> place:12584",235,216,19
"Carthage village, New York: Summary level: 160, state:36> place:12683",1612,819,793
"Cassadaga village, New York: Summary level: 160, state:36> place:12749",267,207,60
"Castile village, New York: Summary level: 160, state:36> place:12771",419,279,140
"Castleton-on-Hudson village, New York: Summary level: 160, state:36> place:12870",520,399,121
"Castorland village, New York: Summary level: 160, state:36> place:12881",105,66,39
"Cato village, New York: Summary level: 160, state:36> place:12958",212,138,74
"Catskill village, New York: Summary level: 160, state:36> place:13002",1308,619,689
"Cattaraugus village, New York: Summary level: 160, state:36> place:13024",468,340,128
"Cayuga village, New York: Summary level: 160, state:36> place:13068",207,169,38
"Cayuga Heights village, New York: Summary level: 160, state:36> place:13079",1476,721,755
"Cazenovia village, New York: Summary level: 160, state:36> place:13145",946,553,393
"Cedarhurst village, New York: Summary level: 160, state:36> place:13233",2133,1391,742
"Celoron village, New York: Summary level: 160, state:36> place:13288",514,317,197
"Centereach CDP, New York: Summary level: 160, state:36> place:13376",10013,8575,1438
"Center Moriches CDP, New York: Summary level: 160, state:36> place:13420",2772,2203,569
"Centerport CDP, New York: Summary level: 160, state:36> place:13442",2033,1892,141
"Central Bridge CDP, New York: Summary level: 160, state:36> place:13530",174,72,102
"Central Islip CDP, New York: Summary level: 160, state:36> place:13552",9834,6685,3149
"Central Square village, New York: Summary level: 160, state:36> place:13585",818,472,346
"Centre Island village, New York: Summary level: 160, state:36> place:13618",157,138,19
"Chadwicks CDP, New York: Summary level: 160, state:36> place:13662",675,325,350
"Champlain village, New York: Summary level: 160, state:36> place:13739",461,242,219
"Chappaqua CDP, New York: Summary level: 160, state:36> place:13805",494,354,140
"Chateaugay village, New York: Summary level: 160, state:36> place:13981",306,198,108
"Chatham village, New York: Summary level: 160, state:36> place:14003",698,331,367
"Chaumont village, New York: Summary level: 160, state:36> place:14036",242,161,81
"Chautauqua CDP, New York: Summary level: 160, state:36> place:14058",173,142,31
"Chazy CDP, New York: Summary level: 160, state:36> place:14102",174,151,23
"Cheektowaga CDP, New York: Summary level: 160, state:36> place:15000",32762,23015,9747
"Chenango Bridge CDP, New York: Summary level: 160, state:36> place:15121",1169,1066,103
"Cherry Creek village, New York: Summary level: 160, state:36> place:15187",199,139,60
"Cherry Valley village, New York: Summary level: 160, state:36> place:15242",242,153,89
"Chester village, New York: Summary level: 160, state:36> place:15297",1699,1171,528
"Chestertown CDP, New York: Summary level: 160, state:36> place:15363",309,260,49
"Chestnut Ridge village, New York: Summary level: 160, state:36> place:15400",2498,2070,428
"Chittenango village, New York: Summary level: 160, state:36> place:15561",1902,1488,414
"Churchville village, New York: Summary level: 160, state:36> place:15638",825,679,146
"Clarence CDP, New York: Summary level: 160, state:36> place:15814",1009,701,308
"Clarence Center CDP, New York: Summary level: 160, state:36> place:15836",752,679,73
"Clark Mills CDP, New York: Summary level: 160, state:36> place:15902",976,592,384
"Clarkson CDP, New York: Summary level: 160, state:36> place:15946",1587,1230,357
"Claverack-Red Mills CDP, New York: Summary level: 160, state:36> place:16050",381,240,141
"Clayton village, New York: Summary level: 160, state:36> place:16089",804,388,416
"Clayville village, New York: Summary level: 160, state:36> place:16111",174,103,71
"Cleveland village, New York: Summary level: 160, state:36> place:16188",302,245,57
"Clifton Springs village, New York: Summary level: 160, state:36> place:16375",813,476,337
"Clinton village, New York: Summary level: 160, state:36> place:16419",899,546,353
"Clintondale CDP, New York: Summary level: 160, state:36> place:16452",524,280,244
"Clyde village, New York: Summary level: 160, state:36> place:16573",736,536,200
"Cobleskill village, New York: Summary level: 160, state:36> place:16628",1640,827,813
"Cohocton village, New York: Summary level: 160, state:36> place:16727",397,305,92
"Cohoes city, New York: Summary level: 160, state:36> place:16749",7346,3319,4027
"Cold Brook village, New York: Summary level: 160, state:36> place:16815",141,95,46
"Cold Spring village, New York: Summary level: 160, state:36> place:16936",858,494,364
"Cold Spring Harbor CDP, New York: Summary level: 160, state:36> place:16958",1707,1619,88
"Colonie village, New York: Summary level: 160, state:36> place:17332",3219,2633,586
"Colton CDP, New York: Summary level: 160, state:36> place:17398",195,116,79
"Commack CDP, New York: Summary level: 160, state:36> place:17530",11643,10709,934
"Conesus Hamlet CDP, New York: Summary level: 160, state:36> place:17620",120,76,44
"Conesus Lake CDP, New York: Summary level: 160, state:36> place:17622",1429,1182,247
"Congers CDP, New York: Summary level: 160, state:36> place:17739",2903,2482,421
"Constableville village, New York: Summary level: 160, state:36> place:17882",125,102,23
"Constantia CDP, New York: Summary level: 160, state:36> place:17893",377,244,133
"Coopers Plains CDP, New York: Summary level: 160, state:36> place:18036",247,177,70
"Cooperstown village, New York: Summary level: 160, state:36> place:18047",1011,535,476
"Copake Lake CDP, New York: Summary level: 160, state:36> place:18124",281,264,17
"Copenhagen village, New York: Summary level: 160, state:36> place:18135",252,134,118
"Copiague CDP, New York: Summary level: 160, state:36> place:18146",7448,5277,2171
"Coram CDP, New York: Summary level: 160, state:36> place:18157",14674,9903,4771
"Corfu village, New York: Summary level: 160, state:36> place:18201",314,209,105
"Corinth village, New York: Summary level: 160, state:36> place:18212",952,593,359
"Corning city, New York: Summary level: 160, state:36> place:18256",5253,2713,2540
"Cornwall-on-Hudson village, New York: Summary level: 160, state:36> place:18333",1194,821,373
"Cortland city, New York: Summary level: 160, state:36> place:18388",6592,2965,3627
"Cortland West CDP, New York: Summary level: 160, state:36> place:18443",501,476,25
"Country Knolls CDP, New York: Summary level: 160, state:36> place:18542",730,701,29
"Cove Neck village, New York: Summary level: 160, state:36> place:18597",84,71,13
"Coxsackie village, New York: Summary level: 160, state:36> place:18718",1113,675,438
"Cragsmoor CDP, New York: Summary level: 160, state:36> place:18762",223,198,25
"Cranberry Lake CDP, New York: Summary level: 160, state:36> place:18817",92,92,0
"Croghan village, New York: Summary level: 160, state:36> place:19070",270,136,134
"Crompond CDP, New York: Summary level: 160, state:36> place:19092",718,690,28
"Croton-on-Hudson village, New York: Summary level: 160, state:36> place:19213",2884,2262,622
"Crown Heights CDP, New York: Summary level: 160, state:36> place:19229",1032,859,173
"Crugers CDP, New York: Summary level: 160, state:36> place:19290",810,170,640
"Crystal Beach CDP, New York: Summary level: 160, state:36> place:19308",236,137,99
"Cuba village, New York: Summary level: 160, state:36> place:19356",684,425,259
"Cumberland Head CDP, New York: Summary level: 160, state:36> place:19408",667,581,86
"Cumminsville CDP, New York: Summary level: 160, state:36> place:19411",93,93,0
"Cutchogue CDP, New York: Summary level: 160, state:36> place:19466",1328,1149,179
"Cuylerville CDP, New York: Summary level: 160, state:36> place:19510",135,100,35
"Dalton CDP, New York: Summary level: 160, state:36> place:19587",141,121,20
"Dannemora village, New York: Summary level: 160, state:36> place:19642",409,251,158
"Dansville village, New York: Summary level: 160, state:36> place:19664",2113,1342,771
"Davenport Center CDP, New York: Summary level: 160, state:36> place:19774",170,147,23
"Deer Park CDP, New York: Summary level: 160, state:36> place:19972",9422,7754,1668
"Deferiet village, New York: Summary level: 160, state:36> place:19994",110,72,38
"DeKalb Junction CDP, New York: Summary level: 160, state:36> place:20049",155,143,12
"Delanson village, New York: Summary level: 160, state:36> place:20082",141,120,21
"Delevan village, New York: Summary level: 160, state:36> place:20115",501,288,213
"Delhi village, New York: Summary level: 160, state:36> place:20126",861,481,380
"Depauville CDP, New York: Summary level: 160, state:36> place:20302",305,214,91
"Depew village, New York: Summary level: 160, state:36> place:20313",6509,4834,1675
"Deposit village, New York: Summary level: 160, state:36> place:20346",800,440,360
"Dering Harbor village, New York: Summary level: 160, state:36> place:20379",4,2,2
"DeRuyter village, New York: Summary level: 160, state:36> place:20390",212,119,93
"Dexter village, New York: Summary level: 160, state:36> place:20500",482,316,166
"Dix Hills CDP, New York: Summary level: 160, state:36> place:20687",8227,7654,573
"Dobbs Ferry village, New York: Summary level: 160, state:36> place:20698",3736,2305,1431
"Dolgeville village, New York: Summary level: 160, state:36> place:20731",884,542,342
"Dover Plains CDP, New York: Summary level: 160, state:36> place:20841",626,354,272
"Downsville CDP, New York: Summary level: 160, state:36> place:20852",264,145,119
"Dresden village, New York: Summary level: 160, state:36> place:20896",119,83,36
"Dryden village, New York: Summary level: 160, state:36> place:20951",828,506,322
"Duane Lake CDP, New York: Summary level: 160, state:36> place:20989",169,169,0
"Duanesburg CDP, New York: Summary level: 160, state:36> place:20995",106,68,38
"Dundee village, New York: Summary level: 160, state:36> place:21050",801,405,396
"Dunkirk city, New York: Summary level: 160, state:36> place:21105",5608,3362,2246
"Durhamville CDP, New York: Summary level: 160, state:36> place:21226",223,100,123
"Earlville village, New York: Summary level: 160, state:36> place:21523",358,229,129
"East Atlantic Beach CDP, New York: Summary level: 160, state:36> place:21578",897,707,190
"East Aurora village, New York: Summary level: 160, state:36> place:21589",2542,1834,708
