,Total,Owner occupied,Renter occupied
"Albany County, New York: Summary level: 050, state:36> county:001",122551,73783,48768
"Bronx County, New York: Summary level: 050, state:36> county:005",467138,88816,378322
"Broome County, New York: Summary level: 050, state:36> county:007",79727,52647,27080
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",31938,22086,9852
"Cayuga County, New York: Summary level: 050, state:36> county:011",31533,22547,8986
"Chautauqua County, New York: Summary level: 050, state:36> county:013",56033,37641,18392
"Chemung County, New York: Summary level: 050, state:36> county:015",35644,23431,12213
"Clinton County, New York: Summary level: 050, state:36> county:019",32323,21909,10414
"Dutchess County, New York: Summary level: 050, state:36> county:027",107263,73102,34161
"Erie County, New York: Summary level: 050, state:36> county:029",379687,246434,133253
"Jefferson County, New York: Summary level: 050, state:36> county:045",46322,25715,20607
"Kings County, New York: Summary level: 050, state:36> county:047",901062,258193,642869
"Livingston County, New York: Summary level: 050, state:36> county:051",24342,18063,6279
"Madison County, New York: Summary level: 050, state:36> county:053",26805,20292,6513
"Monroe County, New York: Summary level: 050, state:36> county:055",296558,191120,105438
"Nassau County, New York: Summary level: 050, state:36> county:059",442039,352815,89224
"New York County, New York: Summary level: 050, state:36> county:061",728520,159713,568807
"Niagara County, New York: Summary level: 050, state:36> county:063",87848,61251,26597
"Oneida County, New York: Summary level: 050, state:36> county:065",91133,59586,31547
"Onondaga County, New York: Summary level: 050, state:36> county:067",181113,120887,60226
"Ontario County, New York: Summary level: 050, state:36> county:069",45029,33199,11830
"Orange County, New York: Summary level: 050, state:36> county:071",125643,85693,39950
"Oswego County, New York: Summary level: 050, state:36> county:075",44297,30718,13579
"Putnam County, New York: Summary level: 050, state:36> county:079",35352,28826,6526
"Queens County, New York: Summary level: 050, state:36> county:081",764825,328495,436330
"Rensselaer County, New York: Summary level: 050, state:36> county:083",62712,41641,21071
"Richmond County, New York: Summary level: 050, state:36> county:085",161785,111548,50237
"Rockland County, New York: Summary level: 050, state:36> county:087",98214,68731,29483
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",40937,29562,11375
"Saratoga County, New York: Summary level: 050, state:36> county:091",90230,66503,23727
"Schenectady County, New York: Summary level: 050, state:36> county:093",57691,36380,21311
"Steuben County, New York: Summary level: 050, state:36> county:101",41843,28967,12876
"Suffolk County, New York: Summary level: 050, state:36> county:103",500776,392826,107950
"Sullivan County, New York: Summary level: 050, state:36> county:105",27431,18138,9293
"Tompkins County, New York: Summary level: 050, state:36> county:109",39145,21568,17577
"Ulster County, New York: Summary level: 050, state:36> county:111",69127,45415,23712
"Warren County, New York: Summary level: 050, state:36> county:113",27884,19091,8793
"Wayne County, New York: Summary level: 050, state:36> county:117",36428,28676,7752
"Westchester County, New York: Summary level: 050, state:36> county:119",343481,208556,134925
