,Total,Owner occupied,Renter occupied
"Albany County, New York: Summary level: 050, state:36> county:001",123862,67447,56415
"Bronx County, New York: Summary level: 050, state:36> county:005",495513,92845,402668
"Broome County, New York: Summary level: 050, state:36> county:007",78398,50386,28012
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",31174,21556,9618
"Cayuga County, New York: Summary level: 050, state:36> county:011",31368,22034,9334
"Chautauqua County, New York: Summary level: 050, state:36> county:013",51579,35903,15676
"Chemung County, New York: Summary level: 050, state:36> county:015",34546,24556,9990
"Clinton County, New York: Summary level: 050, state:36> county:019",31249,20480,10769
"Dutchess County, New York: Summary level: 050, state:36> county:027",106319,72058,34261
"Erie County, New York: Summary level: 050, state:36> county:029",383099,246439,136660
"Jefferson County, New York: Summary level: 050, state:36> county:045",43145,23828,19317
"Kings County, New York: Summary level: 050, state:36> county:047",940176,270013,670163
"Livingston County, New York: Summary level: 050, state:36> county:051",24189,17133,7056
"Madison County, New York: Summary level: 050, state:36> county:053",26305,20372,5933
"Monroe County, New York: Summary level: 050, state:36> county:055",298151,190785,107366
"Nassau County, New York: Summary level: 050, state:36> county:059",436567,349758,86809
"New York County, New York: Summary level: 050, state:36> county:061",751244,176869,574375
"Niagara County, New York: Summary level: 050, state:36> county:063",84893,58768,26125
"Oneida County, New York: Summary level: 050, state:36> county:065",90396,57775,32621
"Onondaga County, New York: Summary level: 050, state:36> county:067",182581,117518,65063
"Ontario County, New York: Summary level: 050, state:36> county:069",43692,32169,11523
"Orange County, New York: Summary level: 050, state:36> county:071",125470,83610,41860
"Oswego County, New York: Summary level: 050, state:36> county:075",45115,33470,11645
"Putnam County, New York: Summary level: 050, state:36> county:079",34181,27459,6722
"Queens County, New York: Summary level: 050, state:36> county:081",774752,334859,439893
"Rensselaer County, New York: Summary level: 050, state:36> county:083",62585,40356,22229
"Richmond County, New York: Summary level: 050, state:36> county:085",167462,115316,52146
"Rockland County, New York: Summary level: 050, state:36> county:087",99875,66859,33016
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",42771,30520,12251
"Saratoga County, New York: Summary level: 050, state:36> county:091",90999,66095,24904
"Schenectady County, New York: Summary level: 050, state:36> county:093",52514,35131,17383
"Steuben County, New York: Summary level: 050, state:36> county:101",39517,27481,12036
"Suffolk County, New York: Summary level: 050, state:36> county:103",481796,383815,97981
"Sullivan County, New York: Summary level: 050, state:36> county:105",28394,19178,9216
"Tompkins County, New York: Summary level: 050, state:36> county:109",38112,20540,17572
"Ulster County, New York: Summary level: 050, state:36> county:111",69594,47653,21941
"Warren County, New York: Summary level: 050, state:36> county:113",24222,17112,7110
"Wayne County, New York: Summary level: 050, state:36> county:117",35841,26638,9203
"Westchester County, New York: Summary level: 050, state:36> county:119",338319,204901,133418
