,Total,Owner occupied,Renter occupied
"Bronx County, New York: Summary level: 050, state:36> county:005",513890,96969,416921
"Onondaga County, New York: Summary level: 050, state:36> county:067",183218,118478,64740
"Clinton County, New York: Summary level: 050, state:36> county:019",31422,20566,10856
"Putnam County, New York: Summary level: 050, state:36> county:079",34470,27311,7159
"Ontario County, New York: Summary level: 050, state:36> county:069",46025,33025,13000
"Steuben County, New York: Summary level: 050, state:36> county:101",39283,28510,10773
"Chautauqua County, New York: Summary level: 050, state:36> county:013",55345,38450,16895
"Kings County, New York: Summary level: 050, state:36> county:047",978091,291015,687076
"Saratoga County, New York: Summary level: 050, state:36> county:091",93547,68956,24591
"Westchester County, New York: Summary level: 050, state:36> county:119",355136,221141,133995
"Richmond County, New York: Summary level: 050, state:36> county:085",166297,109302,56995
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",42832,31344,11488
"Tompkins County, New York: Summary level: 050, state:36> county:109",40322,20193,20129
"Warren County, New York: Summary level: 050, state:36> county:113",29593,20969,8624
"Dutchess County, New York: Summary level: 050, state:36> county:027",110529,73749,36780
"Monroe County, New York: Summary level: 050, state:36> county:055",305284,191432,113852
"Oneida County, New York: Summary level: 050, state:36> county:065",90273,61874,28399
"Ulster County, New York: Summary level: 050, state:36> county:111",69376,46749,22627
"Chemung County, New York: Summary level: 050, state:36> county:015",33490,24072,9418
"Livingston County, New York: Summary level: 050, state:36> county:051",23409,17474,5935
"Madison County, New York: Summary level: 050, state:36> county:053",25986,20303,5683
"Albany County, New York: Summary level: 050, state:36> county:001",128284,74329,53955
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",33056,24297,8759
"Schenectady County, New York: Summary level: 050, state:36> county:093",62534,39422,23112
"Rensselaer County, New York: Summary level: 050, state:36> county:083",65790,40226,25564
"Queens County, New York: Summary level: 050, state:36> county:081",784552,346290,438262
"New York County, New York: Summary level: 050, state:36> county:061",768203,179243,588960
"Cayuga County, New York: Summary level: 050, state:36> county:011",31489,23033,8456
"Rockland County, New York: Summary level: 050, state:36> county:087",101424,69056,32368
"Niagara County, New York: Summary level: 050, state:36> county:063",90625,63919,26706
"Nassau County, New York: Summary level: 050, state:36> county:059",449798,362440,87358
"Jefferson County, New York: Summary level: 050, state:36> county:045",41214,23336,17878
"Suffolk County, New York: Summary level: 050, state:36> county:103",499744,404153,95591
"Oswego County, New York: Summary level: 050, state:36> county:075",46640,35713,10927
"Wayne County, New York: Summary level: 050, state:36> county:117",36634,28023,8611
"Broome County, New York: Summary level: 050, state:36> county:007",79309,50800,28509
"Erie County, New York: Summary level: 050, state:36> county:029",398326,257105,141221
"Sullivan County, New York: Summary level: 050, state:36> county:105",28960,20051,8909
"Orange County, New York: Summary level: 050, state:36> county:071",131421,87322,44099
