,Total,Owner occupied,Renter occupied
"Albany County, New York: Summary level: 050, state:36> county:001",124716,71870,52846
"Bronx County, New York: Summary level: 050, state:36> county:005",492481,89396,403085
"Broome County, New York: Summary level: 050, state:36> county:007",78810,50775,28035
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",30735,21824,8911
"Cayuga County, New York: Summary level: 050, state:36> county:011",31290,21833,9457
"Chautauqua County, New York: Summary level: 050, state:36> county:013",52916,37908,15008
"Chemung County, New York: Summary level: 050, state:36> county:015",34617,23747,10870
"Clinton County, New York: Summary level: 050, state:36> county:019",31426,21734,9692
"Dutchess County, New York: Summary level: 050, state:36> county:027",104190,69959,34231
"Erie County, New York: Summary level: 050, state:36> county:029",383657,249564,134093
"Jefferson County, New York: Summary level: 050, state:36> county:045",43516,23769,19747
"Kings County, New York: Summary level: 050, state:36> county:047",942402,268400,674002
"Livingston County, New York: Summary level: 050, state:36> county:051",25334,17981,7353
"Madison County, New York: Summary level: 050, state:36> county:053",25932,19387,6545
"Monroe County, New York: Summary level: 050, state:36> county:055",298271,191921,106350
"Nassau County, New York: Summary level: 050, state:36> county:059",440168,354287,85881
"New York County, New York: Summary level: 050, state:36> county:061",762228,172744,589484
"Niagara County, New York: Summary level: 050, state:36> county:063",86907,63049,23858
"Oneida County, New York: Summary level: 050, state:36> county:065",90583,59023,31560
"Onondaga County, New York: Summary level: 050, state:36> county:067",185474,121061,64413
"Ontario County, New York: Summary level: 050, state:36> county:069",43581,31533,12048
"Orange County, New York: Summary level: 050, state:36> county:071",124587,88015,36572
"Oswego County, New York: Summary level: 050, state:36> county:075",45646,32619,13027
"Putnam County, New York: Summary level: 050, state:36> county:079",34234,27855,6379
"Queens County, New York: Summary level: 050, state:36> county:081",785985,338516,447469
"Rensselaer County, New York: Summary level: 050, state:36> county:083",63289,40347,22942
"Richmond County, New York: Summary level: 050, state:36> county:085",164971,112509,52462
"Rockland County, New York: Summary level: 050, state:36> county:087",98873,67801,31072
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",40286,28625,11661
"Saratoga County, New York: Summary level: 050, state:36> county:091",90964,64349,26615
"Schenectady County, New York: Summary level: 050, state:36> county:093",56255,37187,19068
"Steuben County, New York: Summary level: 050, state:36> county:101",41046,28071,12975
"Suffolk County, New York: Summary level: 050, state:36> county:103",493287,385265,108022
"Sullivan County, New York: Summary level: 050, state:36> county:105",27524,18265,9259
"Tompkins County, New York: Summary level: 050, state:36> county:109",38120,20837,17283
"Ulster County, New York: Summary level: 050, state:36> county:111",69522,47857,21665
"Warren County, New York: Summary level: 050, state:36> county:113",26193,18463,7730
"Wayne County, New York: Summary level: 050, state:36> county:117",35577,26352,9225
"Westchester County, New York: Summary level: 050, state:36> county:119",342557,206805,135752
